"rownum","Id","Icon","i32_16","QuestFlag","WorldArea","i32_52","bool_56","bool_57","bool_58","HASH16","bool_61","bool_62","HighlightIcon","Text","PinText","i32_103","AreaName"
0,"Hideout","Art/2DArt/UIImages/InGame/WorldPanelHideoutWaypointPinIcon",1911,"","",60,"",1,"",55558,"","","Art/2DArt/UIImages/InGame/WorldPanelHideoutWaypointHighlightedPinIcon",1632,1593,54,""
1,"GuildHideout","Art/2DArt/UIImages/InGame/WorldPanelGuildWaypointPinIcon",1033,"","",60,1,"","",63057,"","","Art/2DArt/UIImages/InGame/WorldPanelGuildWaypointHighlightPinIcon",5920,5921,54,""
2,"Labyrinth","Art/2DArt/UIImages/InGame/WorldPanelLabyrinthWaypointPinIcon",1911,"",464,60,"","","",40083,"","","Art/2DArt/UIImages/InGame/WorldPanelLabyrinthWaypointHighlightedPinIcon",2858,2859,11,3924
3,"Menagerie","Art/2DArt/UIImages/InGame/WorldPanelBestiaryWaypointPinIcon",409,"","",60,"","","",8050,"","","Art/2DArt/UIImages/InGame/WorldPanelBestiaryWaypointHighlightedPinIcon",3863,3864,19,3925
4,"DelveHub","Art/2DArt/UIImages/InGame/WorldPanelDelveWaypointPinIcon",9,"","",60,"","","",49306,"","","Art/2DArt/UIImages/InGame/WorldPanelDelveWaypointHighlightedPinIcon",4036,4037,27,4041
5,"SynthesisHub","Art/2DArt/UIImages/InGame/WorldPanelSynthesisWaypointPinIcon",1911,2077,"",29,"","",1,871,"","","Art/2DArt/UIImages/InGame/WorldPanelSynthesisWaypointHighlightedPinIcon",4516,4513,32,4515
6,"SanctumHub","Art/2DArt/UIImages/InGame/WorldPanelSanctumWaypointPinIcon",414,"","",60,"","","",19144,"","","Art/2DArt/UIImages/InGame/WorldPanelSanctumWaypointHighlightedPinIcon",6850,6851,45,6877
7,"HallsOfTheDead","Art/2DArt/UIImages/InGame/WorldPanelAncestralWaypointPinIcon",677,"","",58,1,"","",15152,"","","Art/2DArt/UIImages/InGame/WorldPanelAncestralWaypointHighlightedPinIcon",6930,6931,46,6929
8,"Necropolis","Art/2DArt/UIImages/InGame/WorldPanelNecropolisWaypointPinIcon",419,"","",52,"","",1,42080,"","","Art/2DArt/UIImages/InGame/WorldPanelNecropolisWaypointHighlightedPinIcon",7144,7145,49,7143
9,"Kingsmarch","Art/2DArt/UIImages/InGame/WorldPanelKingsmarchWaypointPinIcon",608,"","",60,"","","",15868,"","","Art/2DArt/UIImages/InGame/WorldPanelKingsmarchWaypointHighlightedPinIcon",7302,7303,50,7304
10,"HeistHub","Art/2DArt/UIImages/InGame/WorldPanelRogueHarbourWaypointPinIcon",736,"","",60,"","","",3536,"","","Art/2DArt/UIImages/InGame/WorldPanelRogueHarbourWaypointHighlightedPinIcon",7773,7774,37,7775
11,"BrequelHub","Art/2DArt/UIImages/InGame/WorldPanelBreachWaypointPinIcon",636,"","",60,"","","",50288,"","","Art/2DArt/UIImages/InGame/WorldPanelBreachWaypointHighlightedPinIcon",7957,7958,51,7959
12,"DeepwaterHub","Art/2DArt/UIImages/InGame/WorldPanelDeepwaterWaypointPinIcon",1834,"","",59,"","","",18592,"","","Art/2DArt/UIImages/InGame/WorldPanelDeepwaterWaypointHighlightedPinIcon",8330,8331,53,8332
