"rownum","BaseItemTypesKey","Block"
0,910,24
1,911,23
2,912,26
3,913,25
4,914,24
5,915,23
6,916,25
7,917,26
8,918,25
9,919,24
10,920,23
11,921,25
12,922,26
13,923,25
14,924,24
15,925,23
16,926,25
17,927,25
18,928,27
19,929,29
20,930,25
21,931,26
22,932,24
23,933,27
24,934,26
25,935,25
26,936,26
27,937,24
28,938,27
29,939,26
30,940,25
31,941,26
32,942,24
33,943,27
34,944,26
35,945,25
36,946,24
37,947,26
38,948,28
39,949,22
40,950,24
41,951,22
42,952,24
43,953,23
44,954,25
45,955,24
46,956,22
47,957,24
48,958,23
49,959,25
50,960,24
51,961,22
52,962,24
53,963,23
54,964,25
55,965,22
56,966,24
57,967,26
58,968,24
59,969,24
60,970,27
61,971,26
62,972,25
63,973,24
64,974,27
65,975,26
66,976,25
67,977,24
68,978,27
69,979,26
70,980,25
71,981,22
72,982,24
73,983,26
74,984,24
75,985,22
76,986,24
77,987,26
78,988,24
79,989,22
80,990,24
81,991,26
82,992,24
83,993,22
84,994,24
85,995,24
86,996,25
87,997,26
88,998,24
89,999,24
90,1000,25
91,1001,26
92,1002,24
93,1003,24
94,1004,25
95,1005,26
96,1006,24
97,1007,20
