"rownum","string_0","string_8","i32_16","rid_20","rid_36","i32_52","bool_56","bool_57","bool_58","i32_59","string_63","rid_71","rid_87","i32_103","rid_107"
0,"Hideout","Art/2DArt/UIImages/InGame/WorldPanelHideoutWaypointPinIcon",1470,"","",55,"",1,"",55558,"Art/2DArt/UIImages/InGame/WorldPanelHideoutWaypointHighlightedPinIcon",1620,1581,51,""
1,"GuildHideout","Art/2DArt/UIImages/InGame/WorldPanelGuildWaypointPinIcon",1033,"","",55,1,"","",63057,"Art/2DArt/UIImages/InGame/WorldPanelGuildWaypointHighlightPinIcon",5897,5898,51,""
2,"Labyrinth","Art/2DArt/UIImages/InGame/WorldPanelLabyrinthWaypointPinIcon",1470,"",461,55,"","","",40083,"Art/2DArt/UIImages/InGame/WorldPanelLabyrinthWaypointHighlightedPinIcon",2847,2848,11,3909
3,"Menagerie","Art/2DArt/UIImages/InGame/WorldPanelBestiaryWaypointPinIcon",409,"","",55,"","","",8050,"Art/2DArt/UIImages/InGame/WorldPanelBestiaryWaypointHighlightedPinIcon",3848,3849,19,3910
4,"DelveHub","Art/2DArt/UIImages/InGame/WorldPanelDelveWaypointPinIcon",9,"","",55,"","","",49306,"Art/2DArt/UIImages/InGame/WorldPanelDelveWaypointHighlightedPinIcon",4021,4022,27,4026
5,"SynthesisHub","Art/2DArt/UIImages/InGame/WorldPanelSynthesisWaypointPinIcon",1470,2077,"",29,"","",1,871,"Art/2DArt/UIImages/InGame/WorldPanelSynthesisWaypointHighlightedPinIcon",4500,4497,32,4499
6,"SanctumHub","Art/2DArt/UIImages/InGame/WorldPanelSanctumWaypointPinIcon",414,"","",55,"","","",19144,"Art/2DArt/UIImages/InGame/WorldPanelSanctumWaypointHighlightedPinIcon",6823,6824,45,6850
7,"HallsOfTheDead","Art/2DArt/UIImages/InGame/WorldPanelAncestralWaypointPinIcon",677,"",1865,49,"","",1,15152,"Art/2DArt/UIImages/InGame/WorldPanelAncestralWaypointHighlightedPinIcon",6903,6904,46,6902
8,"Necropolis","Art/2DArt/UIImages/InGame/WorldPanelNecropolisWaypointPinIcon",419,"","",52,"","",1,42080,"Art/2DArt/UIImages/InGame/WorldPanelNecropolisWaypointHighlightedPinIcon",7117,7118,49,7116
9,"Kingsmarch","Art/2DArt/UIImages/InGame/WorldPanelKingsmarchWaypointPinIcon",608,"","",53,"","","",15868,"Art/2DArt/UIImages/InGame/WorldPanelKingsmarchWaypointHighlightedPinIcon",7272,7273,50,7274
