"rownum","Id","Area1","i32_24","i32_28","NotOnAtlas","IsUniqueMap","Node_DDSFile","IsNormalMap","RequiresSpecificItem","VoidstoneSlot","MapDeviceLayout","QuestStates","bool_92","NodeDisplayName","Area2","bool_125","Header"
0,"MapWorldsLookout",1095,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Lookout.dds",1,"","","",[],1,"",1095,1,""
1,"MapWorldsBeach",1096,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Beach.dds",1,"","","",[],1,"",1096,1,""
2,"MapWorldsGraveyard",1097,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Graveyard.dds",1,"","","",[],1,"",1097,1,""
3,"MapWorldsDungeon",1098,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Dungeon.dds",1,"","","",[],1,"",1098,1,""
4,"MapWorldsFoundry",1271,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/ThaumaturgyDungeon.dds",1,"","","",[],1,"",1271,1,""
5,"MapWorldsAlleyways",1099,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Alleyways.dds",1,"","","",[],1,"",1099,1,""
6,"MapWorldsPen",1100,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Pen.dds",1,"","","",[],1,"",1100,1,""
7,"MapWorldsDesert",1101,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Desert.dds",1,"","","",[],1,"",1101,1,""
8,"MapWorldsAridLake",1102,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/AridLake.dds",1,"","","",[],1,"",1102,1,""
9,"MapWorldsFloodedMine",1103,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Cavern.dds",1,"","","",[],1,"",1103,1,""
10,"MapWorldsMarshes",1104,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Marshes.dds",1,"","","",[],1,"",1104,1,""
11,"MapWorldsIceberg",1105,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Iceberg.dds",1,"","","",[],1,"",1105,1,""
12,"MapWorldsCage",1106,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Cage.dds",1,"","","",[],1,"",1106,1,""
13,"MapWorldsSprings",1107,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/FungalCaverns.dds",1,"","","",[],1,"",1107,1,""
14,"MapWorldsExcavation",1108,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Excavation.dds",1,"","","",[],1,"",1108,1,""
15,"MapWorldsLeyline",1109,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/SulphurWastes.dds",1,"","","",[],1,"",1109,1,""
16,"MapWorldsPeninsula",1110,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/DryPeninsula.dds",1,"","","",[],1,"",1110,1,""
17,"MapWorldsPort",1111,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Quay.dds",1,"","","",[],1,"",1111,1,""
18,"MapWorldsBurialChambers",1112,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/BurialChambers.dds",1,"","","",[],1,"",1112,1,""
19,"MapWorldsCells",1113,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Cells.dds",1,"","","",[],1,"",1113,1,""
20,"MapWorldsArcade",1114,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Arcade.dds",1,"","","",[],1,"",1114,1,""
21,"MapWorldsCitySquare",1115,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/CitySquare.dds",1,"","","",[],1,"",1115,1,""
22,"MapWorldsRelicChambers",1116,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Antiquary.dds",1,"","","",[],1,"",1116,1,""
23,"MapWorldsCourthouse",1117,11,15,"","","Art/2DItems/Maps/Atlas2Maps/New/Courthouse.dds",1,"","","",[],1,"",1117,1,""
24,"MapWorldsStrand",1118,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Strand.dds",1,"","","",[],1,"",1118,1,""
25,"MapWorldsChateau",1120,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Chateau.dds",1,"","","",[],1,"",1120,1,""
26,"MapWorldsGrotto",1122,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Grotto.dds",1,"","","",[],1,"",1122,1,""
27,"MapWorldsGorge",1123,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Glacier.dds",1,"","","",[],1,"",1123,1,""
28,"MapWorldsVolcano",1124,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Volcano.dds",1,"","","",[],1,"",1124,1,""
29,"MapWorldsLighthouse",1125,11,15,"","","Art/2DItems/Maps/Atlas2Maps/New/Beacon.dds",1,"","","",[],1,"",1125,1,""
30,"MapWorldsCanyon",1126,11,15,"","","Art/2DItems/Maps/Atlas2Maps/New/Canyon.dds",1,"","","",[],1,"",1126,1,""
31,"MapWorldsFrozenCabins",1266,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/FrozenCabins.dds",1,"","","",[],1,"",1266,1,""
32,"MapWorldsGraveTrough",1268,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Burn.dds",1,"","","",[],1,"",1268,1,""
33,"MapWorldsCrimsonTownship",1269,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/CrimsonTownship.dds",1,"","","",[],1,"",1269,1,""
34,"MapWorldsForkingRiver",1270,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/ForkingRiver.dds",1,"","","",[],1,"",1270,1,""
35,"MapWorldsColdRiver_",1272,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/ColdRiver.dds",1,"","","",[],1,"",1272,1,""
36,"MapWorldsForbiddenWoods",1273,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/ForbiddenWoods.dds",1,"","","",[],1,"",1273,1,""
37,"MapWorldsConservatory",1127,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Baths.dds",1,"","","",[],1,"",1127,1,""
38,"MapWorldsSulphurVents",1128,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Corrosion.dds",1,"","","",[],1,"",1128,1,""
39,"MapWorldsHauntedMansion",1129,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Chambers.dds",1,"","","",[],1,"",1129,1,""
40,"MapWorldsMaze",1130,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Maze.dds",1,"","","",[],1,"",1130,1,""
41,"MapWorldsChannel",1132,1,5,"","","Art/2DItems/Maps/Atlas2Maps/New/Channel.dds",1,"","","",[],1,"",1132,1,""
42,"MapWorldsToxicSewer",1133,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/Sewer.dds",1,"","","",[],1,"",1133,1,""
43,"MapWorldsAncientCity",1134,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/VaalCity.dds",1,"","","",[],1,"",1134,1,""
44,"MapWorldsIvoryTemple",1135,6,10,"","","Art/2DItems/Maps/Atlas2Maps/New/IvoryTemple.dds",1,"","","",[],1,"",1135,1,""
