"rownum","Id","SingleSpawnChance","DoubleSpawnChance","TripleSpawnChance","NoSpawnChance","Leagues","bool_40"
0,"None",0,0,0,100,[],""
1,"Act2Default",3,0,0,97,[11],""
2,"Act3Default",3,0,0,97,[11],""
3,"Act4Default",3,0,0,97,"[11,13]",""
4,"Act5EarlyDefault",3,0,0,97,"[11,13]",""
5,"Act5LateDefault",4,0,0,96,"[11,13,17]",""
6,"Act6EarlyDefault",8,0,0,92,"[11,13,17,9,21,19]",""
7,"Act6LateDefault",8,0,0,92,"[11,13,17,9,21,19,7]",""
8,"Act7Default",8,0,0,92,"[11,13,12,17,9,21,19,7]",""
9,"Act8Default",8,0,0,92,"[11,13,12,17,9,21,19,7]",""
10,"Act9Default",8,0,0,92,"[11,12,13,14,17,9,21,19,7]",""
11,"Act10Default",8,0,0,92,"[11,12,13,14,17,9,21,19,7]",""
12,"Map",0,0,0,100,[],1
13,"Tier1Map",26,3,1,70,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
14,"Tier2Map",27,3,1,69,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
15,"Tier3Map",28,3,1,68,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
16,"Tier4Map",29,3,1,67,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
17,"Tier5Map",30,4,1,65,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
18,"Tier6Map",31,4,1,64,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
19,"Tier7Map",32,4,1,63,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
20,"Tier8Map",33,4,1,62,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
21,"Tier9Map",34,4,1,61,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
22,"Tier10Map",35,5,1,59,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27]",""
23,"Tier11Map",36,5,1,58,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27,25,26]",""
24,"Tier12Map",37,5,1,57,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27,25,26]",""
25,"Tier13Map",38,5,1,56,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27,25,26]",""
26,"Tier14Map",39,5,1,55,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27,25,26]",""
27,"Tier15Map",40,5,1,54,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27,25,26]",""
28,"Tier16Map",41,6,1,52,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27,25,26]",""
29,"Tier17Map",42,6,1,51,"[11,12,13,14,9,7,18,20,15,16,17,24,21,19,27,25,26]",""
