"rownum","rid_0","i32_16","f32_20","bool_24"
0,3462,250,1,""
1,3463,250,1,""
2,3464,250,1,""
3,3465,250,1,""
4,3466,250,1,""
5,3467,250,1,""
6,3468,250,1,""
7,3469,250,1,""
8,3470,250,1,""
9,3471,250,1,""
10,3472,250,1,""
11,3473,250,1,""
12,3474,250,1,""
13,3475,250,1,""
14,3476,250,1,""
15,3477,250,1,""
16,3478,250,1,""
17,3479,250,1,""
18,3480,250,1,""
19,3481,250,1,""
20,3482,250,1,""
21,3483,250,1,""
22,3484,250,1,""
23,3485,250,1,""
24,3486,250,1,""
25,3487,250,1,""
26,3488,250,1,""
27,3489,250,1,""
28,3490,250,1,""
29,3491,250,1,""
30,4082,1000,1,""
31,4083,1000,1,""
32,4683,250,1,""
33,4685,500,1,""
34,4686,1000,1,""
35,4687,1500,1,""
36,4688,2000,1,""
37,5180,250,1,""
38,5181,250,1,""
39,5182,250,1,""
40,5183,250,1,""
41,5184,250,1,""
