"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Item","ModEffectStat","MapStats","i32_64","IsCatalyst","HASH16","CatalystMod"
0,"JewelleryElementalQuality","Quality (Elemental Damage Modifiers)","Qualité (Modificateurs de Dégâts élémentaires)","Qualität (Elementarschaden-Modifikatoren)","品質 (元素ダメージモッド)","퀄리티 (원소 피해 속성 부여)","Qualidade (Modificadores de Dano Elemental)","Качество (свойства урона от стихий)","Calidad (mods. de daño elemental)","ค่าคุณภาพ (ม็อดความเสียหายธาตุ)","品質 (元素傷害詞綴)",310,0,[],100,1,39847,21688
1,"JewelleryCasterQuality","Quality (Caster Modifiers)","Qualité (Modificateurs de Sorts)","Qualität (Zaubermodifikatoren)","品質 (キャスターモッド)","퀄리티 (시전 속성 부여)","Qualidade (Modificadores de Conjuração)","Качество (чародейские свойства)","Calidad (mods. de lanzador de hechizos)","ค่าคุณภาพ (ม็อดนักเวท)","品質 (法術詞綴)",311,1,[],100,1,46430,21689
2,"JewelleryAttackQuality","Quality (Attack Modifiers)","Qualité (Modificateurs d'Attaque)","Qualität (Angriffsmodifikatoren)","品質(アタックモッド)","퀄리티 (공격 속성 부여)","Qualidade (Modificadores de Ataque)","Качество (свойства атак)","Calidad (mods. de ataque)","ค่าคุณภาพ (ม็อดโจมตี)","品質 (攻擊詞綴)",312,2,[],100,1,28831,21690
3,"JewelleryDefensesQuality","Quality (Defence Modifiers)","Qualité (Modificateurs de Défenses)","Qualität (Defensiv-Modifikatoren)","品質 (防御力モッド)","퀄리티 (방어 속성 부여)","Qualidade (Modificadores Defensivos)","Качество (защитные свойства)","Calidad (mods. de defensa)","ค่าคุณภาพ (ม็อดป้องกัน)","品質 (防禦詞綴)",313,3,[],100,1,105,21691
4,"JewelleryResourceQuality","Quality (Life and Mana Modifiers)","Qualité (Modificateurs de Vie et de Mana)","Qualität (Lebens- und Mana-Modifikatoren)","品質 (ライフ・マナモッド)","퀄리티 (생명력과 마나 속성 부여)","Qualidade (Modificadores de Vida e Mana)","Качество (свойства здоровья и маны)","Calidad (mods. de vida y maná)","ค่าคุณภาพ (ม็อดพลังชีวิตและมานา)","品質 (生命和魔力詞綴)",314,4,[],100,1,51134,21692
5,"JewelleryResistanceQuality","Quality (Resistance Modifiers)","Qualité (Modificateurs de Résistances)","Qualität (Widerstands-Modifikatoren)","品質 (耐性モッド)","퀄리티 (저항 속성 부여)","Qualidade (Modificadores de Resistências)","Качество (свойства сопротивлений)","Calidad (mods. de resistencia)","ค่าคุณภาพ (ม็อดค่าต้านทาน)","品質 (抗性詞綴)",315,5,[],100,1,56602,21693
6,"JewelleryAttributeQuality","Quality (Attribute Modifiers)","Qualité (Modificateurs d'Attributs)","Qualität (Attributs-Modifikatoren)","品質 (能力値モッド)","퀄리티 (능력치 속성 부여)","Qualidade (Modificadores de Atributos)","Качество (свойства характеристик)","Calidad (mods. de atributos)","ค่าคุณภาพ (ม็อดค่าคุณสมบัติ)","品質 (能力值詞綴)",316,6,[],100,1,14740,21694
7,"JewelleryPhysicalChaosQuality","Quality (Physical and Chaos Damage Modifiers)","Qualité (Modificateurs de Dégâts physiques et de chaos)","Qualität (Physische und Chaosschaden-Modifikatoren)","品質(物理と混沌ダメージモッド)","퀄리티 (물리 및 카오스 피해 속성 부여)","Qualidade (Modificadores de Dano Físico e de Caos)","Качество (свойства физического урона и урона хаосом)","Calidad (mods. de daño físico y de caos)","ค่าคุณภาพ (ม็อดความเสียหายกายภาพและเคออส)","品質 (物理和混沌傷害詞綴)",317,7,[],100,1,32181,21695
8,"JewellerySpeedQuality_","Quality (Speed Modifiers)","Qualité (Modificateurs de Vitesse)","Qualität (Geschwindigkeitsmodifikatoren)","品質 (スピードモッド)","퀄리티 (속도 속성 부여)","Qualidade (Modificadores de Velocidade)","Качество (свойства скорости)","Calidad (mods. de velocidad)","ค่าคุณภาพ (ม็อดความเร็ว)","品質 (速度詞綴)",318,8,[],100,1,6015,21696
9,"JewelleryCriticalQuality","Quality (Critical Modifiers)","Qualité (Modificateurs de Critique)","Qualität (Kritische Modifikatoren)","品質 (クリティカルモッド)","퀄리티 (치명타 속성 부여)","Qualidade (Modificadores Críticos)","Качество (свойства критического удара)","Calidad (mods. de crítico)","ค่าคุณภาพ (ม็อดคริติคอล)","品質 (暴擊詞綴)",319,9,[],100,1,11749,21697
