"rownum","MonsterVarietiesKey","BestiaryGroupsKey","BestiaryEncountersKey","bool_48","IconSmall","Icon","Boss_MonsterVarietiesKey","BestiaryGenusKey","bool_97","BestiaryCapturableMonstersKey","IsDisabled","i32_107","bool_111"
0,108,3,10,"","","","",0,"","","",1646,1
1,110,3,10,"","","","",0,"","","",1646,1
2,111,3,10,"","","","",0,"",1,"",1646,1
3,125,3,10,"","","","",0,"","","",1646,1
4,126,3,10,"","","","",0,"","","",1646,1
5,127,3,10,"","","","",0,"","","",1646,1
6,128,3,10,"","","","",0,"","","",1646,1
7,129,3,10,"","","","",0,"","","",1646,1
8,133,3,10,"","","","",0,"","","",1646,1
9,137,3,10,"","","",129,0,"",7,1,1646,""
10,144,3,10,"","","","",0,"","","",1646,1
11,145,3,10,"","","","",0,"","","",1646,1
12,230,1,6,"","","","",1,"","","",1646,1
13,231,1,6,"","","","",1,"","",1,1646,""
14,233,1,6,"","","","",1,"","","",1646,1
15,249,1,6,"","","","",1,"","",1,1646,""
16,250,1,6,"","","","",1,"","","",1646,1
17,251,1,6,"","","","",1,"",16,"",1646,1
18,252,1,6,"","","","",1,"",15,"",1646,1
19,277,1,6,"","","","",2,"","","",1646,1
20,292,1,6,"","","","",2,"","","",1646,1
21,293,1,6,"","","","",2,"","","",1646,1
22,295,1,6,"","","","",2,"","","",1646,1
23,296,1,6,"","","","",2,"","","",1646,1
24,297,1,6,"","","","",2,"",23,"",1646,1
25,298,1,6,"","","","",1,"","","",1646,1
26,299,1,6,"","","","",1,"","","",1646,1
27,321,2,7,"","","","",4,"","","",1646,1
28,322,2,7,"","","","",4,"","","",1646,1
29,323,2,7,"","","","",4,"","","",1646,1
30,325,2,7,"","","","",4,"","",1,1646,""
31,339,0,1,"","","","",3,"","",1,1646,""
32,342,0,1,"","","","",3,"","","",1646,1
33,346,0,1,"","","","",3,"","","",1646,1
34,347,0,1,"","","","",3,"","","",1646,1
35,350,0,2,"","","","",3,"","","",1646,1
36,353,0,2,"","","","",3,"","","",1646,1
37,355,0,1,"","","","",3,"","","",1646,1
38,357,0,1,"","","","",3,"",37,"",1646,1
39,363,0,1,"","","","",3,"","","",1646,1
40,365,0,1,"","","",363,3,"",39,1,1646,""
41,366,0,1,"","","",363,3,"",39,1,1646,""
42,367,0,1,"","","",363,3,"",39,1,1646,""
43,369,1,5,"","","","",5,"","","",1646,1
44,372,1,5,"","","","",5,"","","",1646,1
45,373,1,5,"","","","",5,"",44,"",1646,1
46,374,1,5,"","","","",5,"","","",1646,1
47,380,1,5,"","","","",5,"","","",1646,1
48,381,1,5,"","","","",5,"",47,"",1646,1
49,382,1,4,"","","","",28,"","","",1646,1
50,386,1,4,"","","","",28,"","","",1646,1
51,387,1,4,"","","","",28,"","","",1646,1
52,393,1,4,"","","","",28,"","","",1646,1
53,394,1,4,"","","","",28,"",52,"",1646,1
54,396,1,5,"","","","",5,"","","",1646,1
