"rownum","Mod","Type","bool_32"
0,31762,2,""
1,31763,2,""
2,31764,2,""
3,31765,2,""
4,31766,2,""
5,31767,2,""
6,31768,2,""
7,31769,2,""
8,31770,2,""
9,31771,2,""
10,31772,2,""
11,31773,2,""
12,31774,1,""
13,31775,1,""
14,31776,1,""
15,31777,1,""
16,31778,1,""
17,31779,1,""
18,31780,1,""
19,31781,1,""
20,31782,1,""
21,31783,1,""
22,31784,1,""
23,31785,1,""
24,31786,1,""
25,31787,0,""
26,31788,0,""
27,31789,0,""
28,31790,0,""
29,31791,0,""
30,31792,0,""
31,31793,0,""
32,31794,0,""
33,31795,0,""
34,31796,0,""
35,31797,0,""
36,31798,0,""
37,31799,0,""
38,31800,0,""
39,31801,2,""
40,31802,2,""
41,31803,2,""
42,31804,2,""
43,31805,2,""
44,31806,2,""
45,31807,2,""
46,31808,2,""
47,31809,2,""
48,31810,2,""
49,31811,2,""
50,31812,2,""
51,31814,2,""
52,31816,1,""
53,31817,1,""
54,31818,1,""
55,31819,1,""
56,31820,1,""
57,31821,1,""
58,31822,1,""
59,31823,1,""
60,31824,1,""
61,31825,1,""
62,31826,1,""
63,31827,1,""
64,31828,1,""
65,31830,0,""
66,31831,0,""
67,31832,0,""
68,31833,0,""
69,31834,0,""
70,31835,0,""
71,31836,0,""
72,31837,0,""
73,31838,0,""
74,31839,0,""
75,31840,0,""
76,31841,2,1
77,31842,2,1
78,31843,2,1
79,31844,2,1
80,31845,2,1
81,31846,2,1
82,31847,2,1
83,31848,2,1
84,31849,2,1
85,31850,2,1
86,31851,2,1
87,31852,2,1
88,31853,2,1
89,31854,2,1
90,31855,2,1
91,31856,2,1
92,31857,2,1
93,31858,1,""
94,31859,1,""
95,31860,1,""
96,31861,1,""
97,31862,1,""
98,31863,1,""
99,31864,1,""
100,31865,1,""
101,31866,1,""
102,31867,1,""
103,31868,1,""
104,31869,1,""
105,31870,1,""
106,31871,1,""
107,31872,1,""
108,31873,1,""
109,31874,1,""
110,31876,1,""
111,31877,1,""
112,31879,1,""
113,31880,1,""
114,31881,1,""
115,31882,1,""
116,31883,1,""
117,31885,2,1
118,31886,2,1
119,31888,2,1
120,31889,2,1
121,31890,2,1
122,31891,2,1
123,31892,2,1
124,31893,0,""
125,31894,0,""
126,31895,0,""
127,31896,0,""
128,31897,0,""
129,31898,0,""
130,31899,0,1
131,31900,0,1
132,31929,2,1
133,31930,2,1
134,31931,2,1
135,31932,2,1
136,31933,2,1
137,31934,2,1
138,31935,2,1
139,31936,2,1
140,31937,2,1
141,31938,2,1
142,31939,2,1
143,31940,2,1
144,31941,2,1
145,31942,2,1
146,31943,2,1
147,31944,2,1
148,31945,2,1
149,31946,2,1
150,31947,1,""
151,31948,1,""
152,31949,1,""
153,31950,1,""
154,31951,1,""
155,31952,1,""
156,31953,1,""
157,31954,1,""
158,31955,1,""
159,31956,1,""
160,31957,1,""
161,31958,1,""
162,31959,1,""
163,31960,1,""
164,31961,1,""
165,31962,1,""
166,31963,1,""
167,31964,1,""
168,31966,1,""
169,31967,1,""
170,31968,1,""
171,31969,1,""
172,31970,1,""
173,31971,1,""
174,31972,1,""
175,31973,1,""
176,31974,2,1
177,31975,2,1
178,31976,2,1
179,31977,2,1
180,31978,2,1
181,31979,2,1
182,31980,2,1
183,31981,2,1
184,31982,0,""
185,31984,0,""
186,31985,0,""
187,31986,0,""
188,31987,0,""
189,31988,0,1
190,31989,0,1
191,32012,1,""
192,32013,1,""
193,32014,1,""
194,32015,2,1
195,32016,2,1
196,32017,2,1
197,32018,0,""
198,32019,0,""
199,32020,0,""
200,32021,0,1
201,32022,0,1
202,32023,0,1
203,32024,1,""
204,32025,1,""
205,32026,1,""
206,32027,2,1
207,32028,2,1
208,32029,2,1
209,32030,0,""
210,32031,0,""
211,32032,0,""
212,32033,0,1
213,32034,0,1
214,32035,0,1
215,31901,1,""
216,31902,2,""
217,31903,1,""
218,31904,2,""
219,31905,1,""
220,31906,2,""
221,31907,1,""
222,31908,2,""
223,31909,1,""
224,31910,2,""
225,31911,1,""
226,31912,2,""
227,31913,1,""
228,31914,2,""
229,31915,1,""
230,31916,2,""
231,31917,1,""
232,31918,2,""
233,31919,1,""
234,31920,2,""
235,31921,1,""
236,31922,2,""
237,31923,1,""
238,31924,2,""
239,31925,1,""
240,31926,2,""
241,31927,1,""
242,31928,2,""
243,31990,1,""
244,31991,2,""
245,31992,1,""
246,31993,2,""
247,31994,1,""
248,31995,2,""
249,31996,1,""
250,31997,2,""
251,31998,1,""
252,31999,2,""
253,32000,1,""
254,32001,2,""
255,32002,1,""
256,32003,2,""
257,32004,1,""
258,32005,2,""
259,32006,1,""
260,32007,2,""
261,32008,1,""
262,32009,2,""
263,32010,1,""
264,32011,2,""
