"rownum","rid_0","i32_16","i32_20","i32_24","i32_28","i32_32","rid_36","rid_52","i32_68","i32_72","i32_76","i32_80","bool_84","u16_85","bool_87"
0,0,0,7,5,245,38,"",8283,0,0,0,0,"",0,""
1,0,1,256,5,44,38,233,8284,62,41,48,39,1,0,""
2,0,2,339,5,45,38,234,8284,147,41,48,39,1,0,""
3,0,3,422,5,43,38,235,8284,230,41,46,39,1,0,""
4,0,4,505,5,41,38,236,8284,313,41,45,39,1,0,""
5,1,0,7,5,245,38,"",8283,0,0,0,0,"",0,""
6,1,1,256,5,44,38,237,8284,63,42,47,38,1,0,""
7,1,2,339,5,45,38,238,8284,148,42,45,38,1,0,""
8,1,3,422,5,43,38,239,8284,231,42,38,38,1,0,""
9,1,4,505,5,41,38,240,8284,314,42,37,38,1,0,""
10,2,0,7,5,245,38,"",8283,0,0,0,0,"",0,""
11,2,1,256,5,74,38,241,8284,45,42,89,38,1,0,""
