"rownum","BaseItem","Level","Cost","CostHardmode"
0,0,1,0,""
1,2,1,1,""
2,5,1,2,""
3,6,1,3,""
4,7,1,4,""
5,8,1,5,""
6,9,1,6,""
7,11,1,7,38
8,12,1,8,""
9,13,1,9,""
10,14,1,10,""
11,15,1,11,""
12,16,1,12,""
13,17,1,13,""
14,18,1,14,""
15,19,1,15,""
16,20,1,16,""
17,21,1,17,""
18,22,1,18,""
19,23,1,19,""
20,24,1,20,""
21,25,1,21,""
22,48,1,22,122
23,50,1,23,122
24,57,1,24,""
25,201,1,25,""
26,202,1,26,""
27,203,1,27,""
28,10,1,28,123
29,246,1,29,""
30,247,1,30,""
31,248,1,31,""
32,249,1,32,""
33,250,1,33,""
34,251,1,34,""
35,252,1,35,""
36,253,1,36,""
37,254,1,37,""
38,381,1,39,115
39,382,1,40,115
40,383,1,41,115
41,384,1,42,115
42,385,1,43,115
43,386,1,43,115
44,388,1,43,115
45,389,1,43,115
46,390,1,44,116
47,391,1,44,116
48,392,1,44,116
49,394,1,44,116
50,395,1,44,116
51,396,1,45,117
52,397,1,45,117
53,398,1,45,117
54,403,1,41,115
55,404,1,43,116
56,405,1,44,117
57,409,1,39,""
58,406,1,41,115
59,407,1,43,116
60,408,1,45,117
61,410,1,39,115
62,411,1,40,115
63,412,1,41,115
64,413,1,42,115
65,414,1,43,115
66,415,1,43,115
67,416,1,43,115
68,417,1,43,115
69,419,1,43,115
70,420,1,43,115
71,421,1,43,115
72,422,1,44,116
73,423,1,44,116
74,424,1,44,116
75,425,1,44,116
76,427,1,44,116
77,428,1,44,116
78,429,1,45,117
79,430,1,45,117
80,431,1,45,117
81,432,1,45,117
82,433,1,45,117
83,441,1,39,115
84,442,1,46,115
85,443,1,41,115
86,444,1,42,115
87,445,1,43,115
88,446,1,43,115
89,447,1,43,115
90,448,1,43,115
91,450,1,43,115
92,451,1,43,115
93,452,1,44,116
94,453,1,44,116
95,454,1,44,116
96,455,1,44,116
97,456,1,44,116
98,458,1,44,116
99,459,1,45,117
100,460,1,45,117
101,461,1,45,117
102,462,1,45,117
103,463,1,45,117
104,464,1,45,117
105,469,1,39,115
106,470,1,40,115
107,471,1,41,115
108,472,1,42,115
109,473,1,43,115
110,474,1,43,115
111,475,1,43,115
112,476,1,43,115
113,478,1,43,115
114,479,1,43,115
115,480,1,43,115
116,481,1,44,116
117,482,1,44,116
118,483,1,44,116
119,484,1,44,116
120,486,1,44,116
121,487,1,44,116
122,488,1,45,117
123,489,1,45,117
124,490,1,45,117
125,491,1,45,117
126,492,1,45,117
127,499,1,39,115
128,500,1,40,115
129,501,1,41,115
130,502,1,42,115
131,503,1,43,115
132,504,1,43,115
133,505,1,43,115
134,506,1,43,115
135,508,1,43,115
136,509,1,43,115
137,510,1,43,115
138,511,1,44,116
139,512,1,44,116
140,513,1,44,116
141,514,1,44,116
142,516,1,44,116
143,517,1,44,116
144,518,1,45,117
145,519,1,45,117
146,520,1,45,117
147,521,1,45,117
148,522,1,45,117
149,527,1,39,115
150,528,1,46,115
151,529,1,41,115
152,530,1,42,115
153,531,1,43,115
154,532,1,43,115
155,533,1,43,115
156,534,1,43,115
157,536,1,43,115
158,537,1,43,115
159,538,1,44,115
