"rownum","Mod","Chance","Guaranteed"
0,36700,45,""
1,36701,48,""
2,36702,51,""
3,36703,54,""
4,36704,57,""
5,36705,60,""
6,36706,63,""
7,36707,45,""
8,36708,48,""
9,36709,51,""
10,36710,54,""
11,36711,57,""
12,36712,60,""
13,36713,63,""
14,36714,45,""
15,36715,48,""
16,36716,51,""
17,36717,54,""
18,36718,57,""
19,36719,60,""
20,36720,63,""
21,36721,45,""
22,36722,48,""
23,36723,51,""
24,36724,54,""
25,36725,57,""
26,36726,60,""
27,36727,63,""
28,36728,48,""
29,36729,51,""
30,36730,54,""
31,36731,57,""
32,36732,60,""
33,36733,48,""
34,36734,51,""
35,36735,54,""
36,36736,57,""
37,36737,48,""
38,36738,51,""
39,36739,54,""
40,36740,57,""
41,36741,48,""
42,36742,51,""
43,36743,54,""
44,36744,57,""
45,36745,48,""
46,36746,51,""
47,36747,54,""
48,36748,57,""
49,36753,45,""
50,36754,48,""
51,36755,51,""
52,36749,48,""
53,36750,51,""
54,36751,54,""
55,36752,57,""
56,36756,48,""
57,36757,51,""
58,36758,54,""
59,36759,57,""
60,36760,48,""
61,36761,51,""
62,36762,54,""
63,36763,57,""
64,36764,60,""
65,36765,63,""
66,36766,48,""
67,36767,51,""
68,36768,54,""
69,36769,48,""
70,36770,51,""
71,36771,54,""
72,36772,48,""
73,36773,51,""
74,36774,54,""
75,36775,48,""
76,36776,51,""
77,36777,54,""
78,36778,48,""
79,36779,51,""
80,36780,54,""
81,36781,48,""
82,36782,51,""
83,36783,54,""
84,36784,48,""
85,36785,51,""
86,36786,54,""
87,36787,48,""
88,36788,51,""
89,36789,54,""
90,36790,57,""
91,36791,51,""
92,36792,54,""
93,36793,57,""
94,36794,48,""
95,36795,51,""
96,36796,54,""
97,36797,57,""
98,36798,48,""
99,36799,51,""
100,36800,54,""
101,36801,57,""
102,36802,54,""
103,36803,54,""
104,36804,48,""
105,36805,51,""
106,36806,54,""
107,36807,51,""
108,36808,54,""
109,36809,57,""
110,36810,45,""
111,36811,48,""
112,36812,51,""
113,36813,51,""
114,36814,51,""
115,36815,51,""
116,36816,45,""
117,36817,48,""
118,36818,51,""
119,36819,45,""
120,36820,48,""
121,36821,51,""
122,36822,51,""
123,36823,54,""
124,36824,57,""
125,36825,60,""
126,36826,51,""
127,36827,54,""
128,36828,57,""
129,36829,100,""
130,36830,100,""
131,36831,100,""
132,36832,100,""
133,36833,100,""
134,36834,100,""
135,36835,100,""
136,36836,100,""
137,36837,100,""
138,36838,54,""
139,36839,57,""
140,36840,60,""
141,36841,54,""
142,36842,57,""
143,36843,60,""
144,36844,54,""
145,36845,57,""
146,36846,60,""
147,36847,54,""
148,36848,57,""
149,36849,60,""
150,36850,100,1
151,36851,100,1
152,36852,100,1
153,36853,100,1
154,36854,100,1
155,36855,100,1
156,36856,100,1
157,36857,100,1
158,36858,100,1
159,36859,100,1
160,36860,100,1
161,36861,100,1
162,36862,100,1
163,36863,100,1
164,36864,100,1
165,36865,100,1
166,36866,100,1
167,36867,100,1
168,36868,100,1
169,36869,100,1
