"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem","GrantedEffect"
0,"Accuracy1",57597,[15546],40,0,0,8881,""
1,"Accuracy2",51147,[18475],1,0,0,8881,""
2,"Accuracy3",64775,[15534],1,0,0,8881,""
3,"Accuracy4",9632,[17904],1,0,0,8881,""
4,"Accuracy5",39178,[18374],50,0,0,8881,""
5,"Accuracy6",9755,"[83,571]",500,-2,0,8881,""
6,"Armour1",46180,[18002],1,0,0,8881,""
7,"Armour2",48720,[97],30,0,0,8881,""
8,"Armour3",59754,[8402],20,0,0,8881,""
9,"Armour4",7137,[18007],1,0,0,8881,""
10,"Armour5",59936,[18009],20,0,0,8881,""
11,"Armour6",10680,[18003],100,0,0,8881,""
12,"ArmourEvasion1",49522,"[18109,18110]",120,5,0,8881,""
13,"ArmourEvasion2",62285,"[8360,122]",8,8,0,8881,""
14,"ArmourEvasion3",5108,[223],80,0,0,8881,""
15,"ArmourEvasion4",23955,[18112],1,0,0,8881,""
16,"ArmourEvasion5",58876,"[18111,4713]",40,40,0,8881,""
17,"ArmourEvasion6",43258,"[18113,18114]",1,1,0,8881,""
18,"ArmourEnergyShield1",40578,[18037],2,0,0,8881,""
19,"ArmourEnergyShield2",37614,[18038],5,0,0,8881,""
20,"ArmourEnergyShield3",16215,[97],20,0,0,8881,""
21,"ArmourEnergyShield4",18301,[15181],20,0,0,8881,""
22,"ArmourEnergyShield5",8653,[18040],100,0,0,8881,""
23,"ArmourEnergyShield6",65504,[1283],-20,0,0,8881,""
24,"Attack1",28524,[1236],3,0,0,8881,""
25,"Attack2",39154,[7012],1,0,0,8881,""
26,"Attack3",38401,"[18684,18685]",1,6000,0,8881,""
27,"Attack4",64511,[18143],1,0,0,8881,""
28,"Attack5",11938,[18144],5,0,0,8881,""
29,"Attack6",19500,[21002],20,0,0,8881,""
30,"Attributes1",5356,[3395],5,0,0,8881,""
31,"Attributes2",41483,[7003],1,0,0,8881,""
32,"Attributes3",26621,[15368],5,0,0,8881,""
33,"Attributes4",52604,[15369],5,0,0,8881,""
34,"Attributes5",15826,[15370],5,0,0,8881,""
35,"Axe1",28354,[5311],1,0,0,8881,""
36,"Axe2",11049,[9224],15,0,0,8881,""
37,"Axe3",9088,[3550],40,0,0,8881,""
38,"Axe4",50175,"[12179,12114]",30,15,0,8881,""
39,"Axe5",64228,[15373],10,0,0,8881,""
40,"Axe6",233,[20927],2,0,0,8881,""
41,"Banner1",40037,[20765],1,0,0,8881,""
42,"Banner2",16991,[20764],5,0,0,8881,""
43,"Banner3",36934,[20762],10,0,0,8881,""
44,"Banner4",10268,[20766],3,0,0,8881,""
45,"Bleeding1",59626,[3442],1,0,0,8881,""
46,"Bleeding2",10546,[20937],50,0,0,8881,""
47,"Bleeding3",3449,[21008],4000,0,0,8881,""
48,"Bleeding4",23936,[4803],80,0,0,8881,""
49,"Bleeding5",38703,[15374],3,0,0,8881,""
50,"Bleeding6",59281,[21005],25,0,0,8881,""
51,"Blind1",43524,[15024],40,0,0,8881,""
52,"Blind2",7831,[980],100,0,0,8881,""
53,"Blind3",57463,[3724],60,0,0,8881,""
54,"Blind4",12100,[3546],100,0,0,8881,""
55,"Block1",55013,[493],2,0,0,8881,""
56,"Block2",44840,[8339],2,0,0,8881,""
