"rownum","JewelName","Limit"
0,626,1
1,498,1
2,503,1
3,502,1
4,504,1
5,507,1
6,508,1
7,510,1
8,511,1
9,513,1
10,521,1
11,522,1
12,525,1
13,526,1
14,527,1
15,535,1
16,536,1
17,537,1
18,538,1
19,540,1
20,541,1
21,718,1
22,719,1
23,720,1
24,721,1
25,743,1
26,816,1
27,851,1
28,852,1
29,853,1
30,854,1
31,855,1
32,856,1
33,892,1
34,890,2
35,889,1
36,888,2
37,878,2
38,887,1
39,886,2
40,884,2
41,883,1
42,879,1
43,880,1
44,882,2
45,881,2
46,897,2
47,898,1
48,644,2
49,609,1
50,885,1
51,606,2
52,625,1
53,628,1
54,627,1
55,645,1
56,646,1
57,801,2
58,543,1
59,542,1
60,544,1
61,545,1
62,546,1
63,547,1
64,548,1
65,643,1
66,733,3
67,532,1
68,927,2
69,928,2
70,939,1
71,983,2
72,989,1
73,984,1
74,1008,1
75,990,1
76,1109,2
77,533,1
78,1111,1
79,1140,2
80,1192,1
81,563,1
82,1208,1
83,1209,1
84,519,1
85,517,1
86,1259,2
87,1311,1
88,539,1
89,1295,1
90,1312,1
91,1313,1
92,514,1
93,985,1
94,520,1
95,1373,1
96,1374,1
97,1385,1
98,1386,1
99,1387,1
100,1393,1
101,1392,1
102,1434,1
103,1440,1
104,1461,1
105,1455,1
106,1483,1
107,1487,1
108,1491,1
109,1518,1
110,1527,1
111,3884,1
