"rownum","Id","MonsterVarieties","i32_24","bool_28","i32_29","i32_33","bool_37","bool_38","bool_39"
0,"FireMeteor",[8909],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8910],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8911],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8912],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8913],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8914],999,"",6000,6000,"","",1
6,"NamelessFrog","[8929,8930]",10,1,4000,4000,"","",""
7,"LightningPylon",[8915],16,"",50,0,"",1,""
8,"LightningPylonUber",[8916],16,"",50,0,"",1,""
9,"Necromantic1","[3817,3818,3819,3820,3821,3822,3823,3824,3825,3826,3827,3828,3831,3832,3833,3834,3835,3836,3837,3838]",4,1,6000,0,"","",1
10,"Necromantic2","[3817,3818,3819,3820,3821,3822,3823,3824,3825,3826,3827,3828,3831,3832,3833,3834,3835,3836,3837,3838]",5,1,5000,0,"","",1
11,"Necromantic3","[3817,3818,3819,3820,3821,3822,3823,3824,3825,3826,3827,3828,3830,3831,3832,3833,3834,3835,3836,3837,3838]",6,1,4000,0,"","",1
12,"Necromantic4","[3817,3818,3819,3820,3821,3822,3823,3824,3825,3826,3827,3828,3830,3831,3832,3833,3834,3835,3836,3837,3838]",7,1,3000,0,"","",1
13,"Vaal",[8917],1,"",800,0,1,"",""
14,"Golden",[8918],999,"",4000,0,"","",1
15,"PhysicalBleed",[8920],999,"",8000,0,"","",1
16,"PhysicalBleedUber",[8921],4,"",5000,0,"",1,1
17,"ChaosGreenVines",[8927],1,"",800,0,1,"",""
18,"GenericLifeQuicksand",[8924],999,"",2000,2000,"","",1
19,"GenericCharges",[8922],1,"",300,0,1,"",""
20,"GenericMassive",[8923],1,"",300,0,1,"",""
21,"GenericSpeed",[8919],1,"",300,0,1,"",""
22,"GenericFortify",[8925],999,"",5000,0,"","",1
23,"GenericEnergyShield",[8926],1,"",300,0,1,"",""
24,"UltimatumChaosCloud1",[9101],1,"",1000,0,"","",""
25,"UltimatumChaosCloud2",[9102],1,"",1000,0,"","",""
26,"UltimatumChaosCloud3",[9103],1,"",1000,0,"","",""
27,"UltimatumChaosCloud4",[9104],1,"",1000,0,"","",""
28,"UltimatumLightningRune1",[9105],3,"",50,0,"",1,1
29,"UltimatumLightningRune2",[9106],3,"",50,0,"",1,1
30,"UltimatumLightningRune3",[9106],5,"",50,0,"",1,1
31,"UltimatumLightningRune4",[9107],5,"",50,0,"",1,1
32,"UltimatumLightningRune1Trial",[9105],3,"",50,0,"","",""
33,"UltimatumLightningRune2Trial",[9106],3,"",50,0,"","",""
34,"UltimatumFlameSpitter1",[9136],2,"",50,0,"",1,1
35,"UltimatumFlameSpitter2",[9136],4,"",50,0,"",1,1
36,"UltimatumFlameSpitter3",[9137],4,"",50,0,"",1,1
37,"UltimatumFlameSpitter4",[9138],4,"",50,0,"",1,1
38,"UltimatumFlameSpitter1Trial",[9136],1,"",0,0,"",1,1
39,"UltimatumFlameSpitter2Trial",[9136],2,"",50,0,"",1,1
40,"UltimatumFlameSpitter3Trial",[9137],2,"",50,0,"",1,1
41,"UltimatumFlameSpitter4Trial",[9138],2,"",50,0,"",1,1
42,"UltimatumFrostInfection1",[9115],1,"",0,0,1,"",""
43,"UltimatumFrostInfection2",[9116],1,"",0,0,1,"",""
44,"UltimatumFrostInfection3",[9117],1,"",0,0,1,"",""
45,"UltimatumFrostInfection4",[9118],1,"",0,0,1,"",""
46,"UltimatumGraveyard1",[9133],2,"",50,0,"",1,1
47,"UltimatumGraveyard2",[9133],4,"",50,0,"",1,1
48,"UltimatumGraveyard3",[9134],4,"",50,0,"",1,1
49,"UltimatumGraveyard4",[9135],4,"",50,0,"",1,1
50,"UltimatumGraveyard1Trial",[9133],1,"",0,0,"",1,1
51,"UltimatumGraveyard2Trial",[9133],2,"",50,0,"",1,1
52,"UltimatumGraveyard3Trial",[9134],2,"",50,0,"",1,1
53,"UltimatumGraveyard4Trial",[9135],2,"",50,0,"",1,1
54,"UltimatumRevenant1",[9121],1,"",0,0,"",1,1
55,"UltimatumRevenant2",[9122],1,"",0,0,"",1,1
56,"UltimatumRevenant3",[9123],1,"",0,0,"",1,1
57,"UltimatumRevenant4",[9124],1,"",0,0,"",1,1
58,"UltimatumSawblade1",[9125],1,"",0,0,1,"",""
59,"UltimatumSawblade2",[9126],1,"",0,0,1,"",""
60,"UltimatumSawblade3",[9127],1,"",0,0,1,"",""
61,"UltimatumSawblade4",[9128],1,"",0,0,1,"",""
62,"UltimatumTotemPhys",[9140],1,"",0,0,"",1,1
63,"UltimatumTotemEle",[9141],1,"",0,0,"",1,1
64,"UltimatumAltarDaemon1",[9142],1,"",1000,0,1,1,""
65,"UltimatumAltarDaemon2",[9143],1,"",1000,0,1,1,""
