"rownum","Id","MiscAnimated","Particles","i32_40","i32_44","[string]_48","[string]_64","EffectPack"
0,"HarvestThornOnHit",[4232],[],1,0,[],[],""
1,"HarvestBulbOnHit",[4233],[],1,0,[],[],""
2,"HarvestScaleOnHit",[4234],[],1,0,[],[],""
3,"HarvestRavenBossScreechHit",[4360],[],1,1,"[""<root>""]",[],""
4,"HarvestSpikerBreathImpact",[4364],[],1,1,[],"[""root""]",""
5,"HarvestCatBossStealthHit",[4395],[],1,1,[],[],""
6,"HarvestPlagueSpiderViperStrikeImpact",[4422],[],1,1,[],"[""root""]",""
7,"HarvestMinerHammerGasHit",[4423],[],1,0,[],[],""
8,"HarvestSnakeHeadbuttImpact",[4470],[],1,1,[],"[""root""]",""
9,"HeistTemplarRangedSnipeImpact",[4491],[],1,1,[],[],""
10,"HeistMilitaryBounceShield",[4623],[],1,1,[],"[""frameupper""]",""
11,"GreenShockHit",[4647],[],1,0,[],[],""
12,"HeistYellowChaosHit",[4742],[],1,0,[],[],""
13,"RedLightningHit",[4820],[],1,0,[],[],""
14,"HeistTrapLaserBeamImpact",[4782],[],1,0,[],[],""
15,"HeistTwinsColdSnipeImpact",[4881],[],1,0,[],"[""root""]",""
16,"BrutalPirateLordHitEffect",[5075],[],1,0,[],[],""
17,"CrimsonPriestRuneHitEffect",[5125],[],1,0,"[""<lock>""]",[],""
18,"MavenOnHitEffect",[5286],[],1,0,[],[],""
19,"MavenBrainOnHitEffect",[5287],[],1,0,[],[],""
20,"BloodTendrilsOnHitEffect",[5333],[],1,3,[],[],""
21,"BloodScytheHitEffect",[5428],[],1,3,[],[],""
22,"BloodScytheHitEffectConsole",[5429],[],1,3,[],[],""
23,"OblivionToxicRainHitEffect",[5440],[],1,0,[],[],""
24,"ArcaneHit",[5586],[],1,0,[],[],""
25,"VoidEmperorFireDamage",[],[],1,0,[],[],308
26,"StygianFireHit",[5665],[],1,0,[],[],""
27,"DemonicLightningHit",[5701],[],1,0,[],[],""
28,"BloodTendrilsOnHitEffectTranscendence",[5705],[],1,3,[],[],""
29,"SpectralSpiralHitEffect",[],[],1,0,[],[],323
30,"TraumaStrikeHitEffect",[5719],[],1,0,[],[],""
31,"RageVortexHit",[5759],[],1,0,[],[],""
32,"BurningArrowMysticHit",[5803],[],1,0,[],[],""
33,"ExpeditionMedvedChaosHit",[5806],[],1,0,[],[],""
34,"ExpeditionVoranaHit",[5807],[],1,0,[],[],""
35,"ExpeditionPhsicalOnHit",[5808],[],1,0,[],[],""
36,"ExpeditionFireOnHit",[5809],[],1,0,[],[],""
37,"ExpeditionColdOnHit",[5810],[],1,0,[],[],""
38,"ExpeditionChaosOnHit",[5811],[],1,0,[],[],""
39,"OlrothBloodSpatter1",[5833],[],1,0,[],[],""
40,"OlrothBloodSpatter2",[5834],[],1,1,[],[],""
41,"OlrothBloodSpatter3",[5835],[],1,1,[],[],""
42,"MyrmidonLightningStrikeHit",[5851],[],1,0,[],[],""
43,"HellscapeDemonEliteScreechHit",[6147],[],1,1,"[""<root>""]",[],""
44,"DirebladeFireHit",[6166],[],1,0,[],[],""
45,"HellscapePaleBossSnipePierce",[6188],[],1,1,[],[],""
46,"HellscapePaleBossAxeTossPierce",[6193],[],1,1,[],[],""
47,"OblivionSummonRagingSpiritsHit",[6211],[],1,0,[],[],""
48,"OnyxOblivionSummonRagingSpiritsHit",[6212],[],1,0,[],[],""
49,"StygianScourgeArrowHit",[6300],[],1,0,[],[],""
50,"ProjectEssenceDrainHit",[6319],[],1,0,[],[],""
51,"ScientistEssenceDrainHit",[6320],[],1,0,[],[],""
52,"VoidSparkHit",[6330],[],1,0,[],[],""
53,"AuspiciousToxicRainHit",[6347],[],1,0,[],[],""
54,"BloodTendrilsOnHitEffectMercurial",[6407],[],1,3,[],[],""
55,"ToxicRainOnHitEffectVulcan",[6423],[],1,0,[],[],""
56,"ConsumeBossLightningHit",[6458],[],1,0,[],[],""
57,"VulcanLightningStrikeHit",[6482],[],1,0,[],[],""
58,"SummonRagingSpiritsDemonicHit",[6500],[],1,0,[],[],""
59,"CelestialEnergyBladeHit",[6524],[],1,3,[],[],""
60,"DivineLightningArrowHit",[6623],[],1,0,[],[],""
61,"OblivionFireTrapHit",[6629],[],1,0,[],[],""
62,"OozeCharacterEffectHit",[6639],[],1,3,[],[],""
63,"MagmaMoltenShellHit",[6640],[],1,3,[],[],""
64,"TraumaStrikeHitEffectCelestial",[6662],[],1,3,[],[],""
65,"MistCharacterEffectHit",[6664],[],1,1,[],[],""
66,"BattlePassThreeColdIronPointHit",[6670],[],1,3,[],[],""
67,"IllusionistCobraLashHit",[6779],[],1,0,[],[],""
68,"VoidEmperorLightningStrikeHit",[6790],[],1,0,"[""<root>""]",[],""
69,"StarfallRageSlashHit",[6796],[],1,0,[],[],""
70,"StarfallBloodScytheHit",[6800],[],1,3,[],[],""
71,"StarfallBloodScytheHitConsole",[6801],[],1,3,[],[],""
72,"HolyUndeadHit",[6805],[],1,0,[],[],""
73,"AutomatonLightningTendrilHit",[6807],[],1,0,[],[],""
74,"ClockworkCharacterEffectHit",[6820],[],1,1,[],[],""
75,"MTXTopazFlaskShieldHitEffect",[6873],[],1,1,[],[],""
76,"MTXRubyFlaskShieldHitEffect",[6874],[],1,1,[],[],""
77,"MTXSapphireFlaskShieldHitEffect",[6875],[],1,1,[],[],""
78,"MTXAmethystFlaskShieldHitEffect",[6876],[],1,2,[],[],""
79,"MtxBattlePassFourShavronnesWrappingsHitEffect",[6947],[],1,1,[],[],""
80,"SanctumReaperHit",[6927],[],1,0,[],[],""
81,"SawbladeLightningStrikeHit",[7122],[],1,0,[],[],""
82,"VineBloodScytheHit",[7149],[],1,3,[],[],""
83,"VineBloodScytheHitConsole",[7150],[],1,3,"[""<root>""]",[],""
84,"PlayerBlood",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",1,4,[],[],""
85,"PlayerBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_player.pet""]",1,4,[],[],""
86,"ExtraGoreRedSmall",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood_impact.pet""]",1,4,[],[],""
87,"ExtraGoreRedLarge",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood1_impact.pet""]",1,4,[],[],""
88,"ExtraGoreRedCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",1,4,[],[],""
89,"FirstBloodRed",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet""]",1,4,[],[],""
90,"FirstBloodRedCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/critical_strikes_red.pet""]",1,4,[],[],""
91,"RedBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact.pet""]",1,4,[],[],""
92,"RedBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood1_impact.pet""]",1,4,[],[],""
93,"RedBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_red.pet""]",1,4,[],[],""
94,"ZombieBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_zombie.pet""]",1,4,[],[],""
95,"ZombieBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood1_impact_zombie.pet""]",1,4,[],[],""
96,"ZombieBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_orange.pet""]",1,4,[],[],""
97,"ExtraGoreZombieSmall",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/zombie/blood_impact_zombie.pet""]",1,4,[],[],""
98,"ExtraGoreZombieLarge",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/zombie/blood1_impact_zombie.pet""]",1,4,[],[],""
99,"ExtraGoreZombieCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_orange.pet""]",1,4,[],[],""
100,"FirstBloodZombie",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/zombie/zombie_blood.pet""]",1,4,[],[],""
101,"FirstBloodZombieCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/zombie/critical_strikes_zombie.pet""]",1,4,[],[],""
102,"GreenGhostBlood",[],"[""Metadata/Particles/elemental_damages/ghost_hit_green.pet""]",1,4,[],[],""
103,"GreenGhostBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_ghost.pet""]",1,4,[],[],""
104,"PurpleGhostBlood",[],"[""Metadata/Particles/elemental_damages/ghost_hit_purp.pet""]",1,4,[],[],""
105,"PurpleGhostBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_ghost_shadow.pet""]",1,4,[],[],""
106,"MudBlood",[],"[""Metadata/Particles/elemental_damages/hit_stone_mud.pet""]",1,4,[],[],""
107,"StoneBlood",[],"[""Metadata/Particles/elemental_damages/hit_stone.pet""]",1,4,[],[],""
108,"StoneBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_rock.pet""]",1,4,[],[],""
109,"SpiderBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_spider.pet""]",1,4,[],[],""
110,"SpiderBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood1_impact_spider.pet""]",1,4,[],[],""
111,"SpiderBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_green.pet""]",1,4,[],[],""
112,"ExtraGoreSpiderSmall",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood_impact_spider.pet""]",1,4,[],[],""
113,"ExtraGoreSpiderLarge",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood1_impact_spider.pet""]",1,4,[],[],""
114,"ExtraGoreSpiderCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_green.pet""]",1,4,[],[],""
115,"FirstBloodSpider",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/spider_blood.pet""]",1,4,[],[],""
116,"FirstBloodSpiderCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/critical_strikes_green.pet""]",1,4,[],[],""
117,"BoneBlood",[],"[""Metadata/Particles/bonehit.pet""]",1,4,[],[],""
118,"BoneBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_skele.pet""]",1,4,[],[],""
119,"WaterBlood",[],"[""Metadata/Particles/elemental_damages/water_splash_01.pet""]",1,4,[],[],""
120,"WaterBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_water.pet""]",1,4,[],[],""
121,"LargeSpiderBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/large_blood/blood_impact_spider.pet""]",1,4,[],[],""
122,"LargeSpiderBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/large_blood/blood1_impact_spider.pet""]",1,4,[],[],""
123,"AfflictionBloodSmall",[],"[""Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type.pet""]",1,4,[],[],""
124,"AfflictionBloodLarge",[],"[""Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_large.pet""]",1,4,[],[],""
125,"AfflictionBloodCrit",[],"[""Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_crit.pet""]",1,4,[],[],""
126,"RobotBloodSmall",[],"[""Metadata/Particles/monster_effects/League_Heist/robot/blood/robot_blood.pet""]",1,4,[],[],""
127,"RobotBloodLarge",[],"[""Metadata/Particles/monster_effects/League_Heist/robot/blood/robot_blood_large.pet""]",1,4,[],[],""
128,"RobotBloodCrit",[],"[""Metadata/Particles/monster_effects/League_Heist/robot/blood/robot_blood_crit.pet""]",1,4,[],[],""
129,"BloodBoilEffect",[],[],1,0,[],[],532
130,"MtxMagmaBlood",[],"[""Metadata/Effects/Microtransactions/BodyArmours/DarkKing/fx/molten_blood/blood_impact_player.pet""]",1,0,[],[],""
131,"MtxMagmaBloodCrit",[],"[""Metadata/Effects/Microtransactions/BodyArmours/DarkKing/fx/molten_blood/critical_strikes_player.pet""]",1,0,[],[],""
132,"MtxCordycepBowHit",[7144],[],1,3,[],[],""
133,"MtxBeastmanArmourKillNormal",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
134,"MtxBeastmanArmourKillMagic",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
135,"MtxBeastmanArmourKillRare",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
136,"MtxBeastmanArmourKillUnique",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
137,"MtxBeastmanArmourHitNormal",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
138,"MtxBeastmanArmourHitMagic",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
139,"MtxBeastmanArmourHitRare",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
140,"MtxBeastmanArmourHitUnique",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
141,"MtxDivergenceArtilleryHit",[7334],[],1,4,[],[],""
142,"VoidEmperorLightningArrowHit",[7343],[],1,0,[],[],""
143,"DarkTempestLightningArrowHit",[7338],[],1,0,[],[],""
144,"DivergenceLightningArrowHitEffect",[7360],[],1,0,[],[],""
145,"BarkskinBlood",[],"[""Metadata/Effects/Spells/monsters_effects/aura/ascendancy/barkskin/fx/hit_splinters.pet""]",1,0,[],[],""
146,"MtxPetalBlood",[],"[""Metadata/Effects/Microtransactions/Character_FX/night_lotus/pet/flower_impact.pet""]",1,0,[],[],""
147,"MtxPetalBloodCrit",[],"[""Metadata/Effects/Microtransactions/Character_FX/night_lotus/pet/flower_critical_strike.pet""]",1,0,[],[],""
148,"MtxMoltenShellEggHit",[7512],[],1,0,[],[],""
149,"MtxCrimsonNebulaHit",[7542],[],1,0,[],[],""
150,"IgnoranceLightningBeamHit",[7759],[],1,0,[],[],""
151,"IgnoranceColdBeamHit",[7760],[],1,0,[],[],""
152,"SiriusHeraldOfThunderHit",[],"[""Metadata/Effects/Microtransactions/Spells/heralds/lightning/Sirus/fx/sirus_hit_feedback.pet""]",1,0,[],[],""
153,"ZanaHit",[8089],[],1,0,[],[],""
154,"MtxAbyssalHit",[],"[""Metadata/Effects/Microtransactions/Spells/Holy_Strike/Holy_skills_abyssal/fx/abyssal_damage.pet""]",1,0,[],[],""
155,"MtxSiriusHit1",[],"[""Metadata/Effects/Microtransactions/Spells/Holy_Sweep/Sirus/fx/sirus_hit_01.pet""]",1,0,[],[],""
156,"MtxSiriusHit2",[],"[""Metadata/Effects/Microtransactions/Spells/Holy_Sweep/Sirus/fx/sirus_hit_02.pet""]",1,0,[],[],""
157,"MtxSiriusHit3",[],"[""Metadata/Effects/Microtransactions/Spells/Holy_Sweep/Sirus/fx/sirus_hit_03.pet""]",1,0,[],[],""
158,"AbyssBloodHit",[],"[""Metadata/Effects/Spells/monsters_effects/League_AbyssTwo/blood_impacts/fx/blood_impact_abyss.pet""]",1,0,[],[],""
159,"AbyssBloodLarge",[],"[""Metadata/Effects/Spells/monsters_effects/League_AbyssTwo/blood_impacts/fx/blood1_impact_abyss.pet""]",1,0,[],[],""
