"rownum","Id","ExorciseIcon","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_24","IllustratuionIcon","TextAudioLong","Achievements","TextAudioShort","ItemClass"
0,"Helmet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconHelmet","Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭部",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationHelmet",17029,10304,17081,25
1,"BodyArmour","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBodyArmour","Body Armour","Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBodyArmour",17031,10298,17083,24
2,"Gloves","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconGloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGloves",17032,10303,17084,22
3,"Boots","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBoots","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBoots",17034,10299,17086,23
4,"Shield","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconShield","Shield","Bouclier","Schild","盾","방패","Escudo","Щит","Escudo","โล่","盾",0,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationShield",17036,10308,17088,26
5,"Belt","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBelt","Belt","Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBelt",17038,10297,17090,21
6,"Amulet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAmulet","Amulet","Amulette","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet",17040,10295,17092,4
7,"Ring","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Ring","Bague","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing",17042,10307,17094,5
8,"Dagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconDagger","Dagger","Dague","Dolch","短剣","단검","Adaga","Кинжал","Daga","มีด","匕首",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationDagger",17044,10302,17096,7
9,"RuneDagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRuneDagger","Rune Dagger","Dague runique","Runendolch","ルーンの短剣","룬 단검","Adaga Rúnica","Рунический кинжал","Daga rúnica","มีดอาคม","符紋匕首",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRuneDagger",17044,10302,17096,56
