"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32_44","AchievementItemsKey","i32_64"
0,6,0,[],[],0,0,"",0
1,0,0,[8295],[1200],0,0,"",0
2,0,1,[8295],[1800],15,1,"",6
3,0,2,[8295],[2400],102,2,"",13
4,0,3,[8295],[3000],187,3,"",20
5,0,4,[8295],[4000],300,4,"",25
6,0,5,[8295],[5200],444,4,"",29
7,0,6,[8295],[6400],630,4,"",35
8,0,7,[8295],[9000],865,4,"",0
9,0,8,[8295],[12500],1016,4,"",0
10,0,9,[8295],[17500],1496,4,"",0
11,0,10,[8295],[22750],2143,4,"",0
12,0,11,[8295],[30000],5271,4,"",0
13,0,12,[8295],[38500],12962,4,"",0
14,0,13,[8295],[46000],21521,4,"",0
15,0,14,[8295],[55000],33728,4,"",0
16,0,15,[8295],[65000],54709,4,"",0
17,1,0,[8296],[3],0,0,"",0
18,1,1,[8296],[4],92,0,"",6
19,1,2,[8296],[5],199,0,"",13
20,1,3,[8296],[6],370,0,"",20
21,1,4,[8296],[7],560,0,"",25
22,1,5,[8296],[8],762,0,"",29
23,1,6,[8296],[9],1255,0,"",35
24,1,7,[8296],[10],1495,0,"",0
25,1,8,[8296],[11],1860,0,"",0
26,1,9,[8296],[12],2312,0,"",0
27,1,10,[8296],[13],4046,0,"",0
28,1,11,[8296],[14],7081,0,"",0
29,1,12,[8296],[15],12391,0,"",0
30,1,13,[8296],[16],18678,0,"",0
31,1,14,[8296],[17],25082,0,"",0
32,1,15,[8296],[18],33246,0,"",0
33,1,16,[8296],[19],43909,0,"",0
34,1,17,[8296],[20],58214,0,"",0
35,2,0,[8297],[2],0,0,"",0
36,2,1,[8297],[3],70,0,"",0
37,2,2,[8297],[4],214,0,"",0
38,2,3,[8297],[5],586,0,"",0
39,2,4,[8297],[6],1386,0,"",0
40,2,5,[8297],[7],2050,0,"",0
41,3,0,[8298],[0],0,0,"",0
42,3,1,[8298],[30],50,1,"",6
43,3,2,[8298],[60],167,2,"",13
44,3,3,[8298],[90],312,3,"",20
45,3,4,[8298],[120],505,4,"",25
46,3,5,[8298],[150],688,4,"",29
47,3,6,[8298],[180],1012,4,"",35
48,3,7,[8298],[210],1224,4,"",0
49,3,8,[8298],[240],1397,4,"",0
50,3,9,[8298],[270],1487,4,"",0
51,3,10,[8298],[300],1682,4,"",0
