"rownum","Id","Normal","CanAllocate","Active","Mask","Header"
0,"CharacterSmall","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenPassiveFrameActive","",""
1,"CharacterNotable","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenNotableFrameActive","",""
2,"CharacterKeystone","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/PassiveSkillScreenKeystoneFrameActive","",""
3,"AbyssAlternateTreeNotable","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenNotableFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssNotableFrameMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
4,"AbyssAlternateTreeAscendancyNotable","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssLichPassiveSkillScreenAscendancyFrameLargeAllocated","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssLichAscendancyFrameLargeMask.dds","Art/2DArt/UIImages/InGame/NotablePassiveHeader"
5,"AbyssAlternateTreeKeystone","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/Abyss/AbyssPassiveSkillScreenKeystoneFrameActive","Art/2DArt/UIEffects/PassiveSkillScreen/AbyssKeystoneFrameMask.dds","Art/2DArt/UIImages/InGame/KeystonePassiveHeader"
6,"AtlasSmall","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/PassiveSkillScreenPassiveFrameActive","",""
7,"AtlasNotable","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenNotableFrameActive","",""
8,"AtlasKeystone","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameNormal","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameCanAllocate","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveSkillScreenKeystoneFrameActive","",""
9,"BrequelSmall","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreePassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreePassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreePassiveSkillScreenPassiveFrameActive","",""
10,"BrequelNotable","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeFancyPassiveSkillScreenPassiveFrameNormal","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeFancyPassiveSkillScreenPassiveFrameCanAllocate","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeFancyPassiveSkillScreenPassiveFrameActive","",""
11,"BrequelWomb","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeInventorySlot1x1","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeInventorySlot1x1","Art/2DArt/UIImages/InGame/BreachLeague/BreachTreeInventorySlot1x1Active","",""
