"rownum","rid_0","rid_16"
0,1164,1159
1,162,163
2,6031,6032
3,5992,5993
4,5996,5997
5,4382,4383
6,4373,4374
7,4391,4392
8,150,153
9,37,41
10,158,160
11,154,155
12,2883,2884
13,1419,1421
14,42,8412
15,33,36
16,1676,1677
17,977,982
18,4325,4335
19,5678,5683
20,5479,5480
21,1686,1688
22,4261,4262
23,5725,5727
24,5741,5742
25,6358,6361
26,1160,1161
27,1423,1426
28,9554,9555
29,6363,6364
30,8345,8353
31,5732,5733
32,9552,9553
33,4398,4399
34,4400,4401
35,10356,10359
36,10350,10353
37,10340,10342
38,6176,6178
