"rownum","Id","CounterStat","bool_24","bool_25"
0,"Unknown","","",""
1,"UnknownTattoo","",1,""
2,"NgamahuTattoo",19000,1,""
3,"KitavaTattoo",19001,1,""
4,"TukohamaTattoo",19002,1,""
5,"RongokuraiTattoo",19003,1,""
6,"TasalioTattoo",19004,1,""
7,"ArohonguiTattoo",19005,1,""
8,"RamakoTattoo",19006,1,""
9,"HinekoraTattoo",19007,1,""
10,"TawhoaTattoo",19008,1,""
11,"ValakoTattoo",19009,1,""
12,"HonouredHeartTattoo",19223,1,""
13,"HonouredMindTattoo",19224,1,""
14,"HonouredSoulTattoo",19225,1,""
15,"KeystoneTattoo","",1,""
16,"AlternateMastery","","",1
17,"AscendancyTattooRanger","",1,""
18,"AscendancyTattooDuelist","",1,""
19,"AscendancyTattooMarauder","",1,""
20,"AscendancyTattooTemplar","",1,""
21,"AscendancyTattooWitch","",1,""
22,"AscendancyTattooShadow","",1,""
23,"AscendancyTattooScion","",1,""
