"rownum","Id","BuffDefinitionsKey","Buff_StatValues","AuraRadius","[i32]_44","[i32]_60","BuffVisualsKey","f32_92","bool_96","StatsKey","i32_113","i32_117","bool_121","rid_122"
0,"UltimatumRecoveryDebuff1",1801,"[-60,-60,-60]",0,[],[],"",0,1,[],1,0,"",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1802,"[-60,-60]",0,[],[],"",0,1,[],1,0,"",""
2,"UltimatumBuffsExpireFaster",1803,[400],0,[],[],"",0,1,[],1,0,"",""
3,"UltimatumCooldownSpeedDebuff",1804,[-80],0,[],[],"",0,1,[],1,0,"",""
4,"UltimatumVulnerabilityDebuff",1797,[100],0,[],"[-100,2,-50]","",0,1,[],1,0,"",""
5,"UltimatumMonsterSpeedBuff",1808,"[50,50,50]",0,[],"[-100,10,0]","",0,1,[],1,0,"",""
6,"Unhinged",1717,[],0,[],[],"",0,1,[],1,0,"",""
7,"PainSuppression",1813,"[0,0,0]",0,[],[],"",0,1,"[14092,14024,14177]",1,0,"",""
8,"PlayerDebuffExtraCriticalRolls",1827,[-1],0,[],[],"",0,1,[],1,0,"",""
9,"PlayerDebuffHinderedMsOnFlaskUse",1828,[4000],0,[],[],"",0,1,[],1,0,"",""
10,"PlayerDebuffNoFlaskCharges",1829,[1],0,[],[],"",0,1,[],1,0,"",""
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1830,"[1,1]",0,[],[],"",0,1,[],1,0,"",""
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1831,[1000],0,[],[],"",0,1,[],1,0,"",""
13,"PlayerDebuffRandomProjectileDirection",1832,[1],0,[],[],"",0,1,[],1,0,"",""
14,"PlayerDebuffMinusMaxElementalResistances",2674,[-9],0,[],[],"",0,1,[],1,0,"",""
15,"PlayerDebuffReducedNonCurseAuraEffect",2675,[-50],0,[],[],"",0,1,[],1,0,"",""
16,"PlayDebuffNoBlock",2676,"[1,1]",0,[],[],"",0,1,[],1,0,"",""
17,"UltimatumFrostInfection",355,[],1,[9],[],1566,0,1,[],1,0,"",""
18,"PlayerDebuffAurasAlsoAffectEnemies",1834,[1],0,[],[],"",0,1,[],1,0,"",""
19,"ScionMovementSpeed",498,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
20,"OccultistWitherNearbyEnemies",1241,[15000],0,[],[],"",0,1,[],1,0,"",""
21,"ScionAuguryOfPenitence",579,[10],60,[3],[],"",0,1,[],1,0,"",""
22,"ScionAuguryOfPenitenceHardMode",579,[8],60,[3],[],"",0,1,[],1,0,"",""
23,"OccultistPowerChargeOnManaSpent",932,[],0,[],[],"",0,1,[],1,0,"",""
24,"OccultistNearbyEnemiesColdChaosResistLifeRegen",628,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"",""
25,"OccultistNearbyEnemiesColdChaosResistLifeRegenHardMode",628,"[-8,-100,-8]",60,[3],[],"",0,1,[],1,0,"",""
26,"ChampionMovementSpeed",497,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
