"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","bool_48","bool_49","bool_50","bool_51","bool_52"
0,"Metadata/Items/Currency/Mushrune1",3732,50,45,0,1,1,60,1,"","","",""
1,"Metadata/Items/Currency/Mushrune2",3733,140,45,1,1,1,60,1,"","","",""
2,"Metadata/Items/Currency/Mushrune3",3734,234,45,2,1,1,60,1,"","","",""
3,"Metadata/Items/Currency/Mushrune4",3735,327,45,3,1,1,60,1,"","","",""
4,"Metadata/Items/Currency/Mushrune5",3736,419,45,4,1,1,60,1,"","","",""
5,"Metadata/Items/Currency/Mushrune6",3737,511,45,5,1,1,60,1,"","","",""
6,"Metadata/Items/Currency/Mushrune6b",3738,605,45,6,1,1,60,1,"","","",""
7,"Metadata/Items/Currency/Mushrune7",3739,97,126,7,1,1,60,1,"","","",""
8,"Metadata/Items/Currency/Mushrune8",3740,188,126,8,1,1,60,1,"","","",""
9,"Metadata/Items/Currency/Mushrune9",3741,280,126,9,1,1,60,1,"","","",""
10,"Metadata/Items/Currency/Mushrune10",3742,373,126,10,1,1,60,1,"","","",""
11,"Metadata/Items/Currency/Mushrune11",3743,466,126,11,1,1,60,1,"","","",""
12,"Metadata/Items/Currency/Mushrune12",3744,559,126,12,1,1,60,"","","","",""
13,"CraftingItem","",364,230,13,2,4,59,"",1,"","",""
14,"CraftingInputs1","",498,230,15,1,1,68,"","",1,"",""
15,"CraftingInputs2","",498,314,16,1,1,68,"","",1,"",""
16,"CraftingInputs3","",498,398,17,1,1,68,"","",1,"",""
17,"BlightedMapSlots","",52,555,18,60,1,56,"","","","",""
18,"CraftingInputCorrupt","",574,282,78,1,1,68,"","",1,1,""
19,"Metadata/Items/Currency/MushruneCorrupt",3729,732,45,79,1,1,60,"","","","",""
20,"Metadata/Items/Currency/CurrencyExtractOil",4567,827,45,80,1,1,60,"","","","",1
21,"Metadata/Items/Currency/MushruneMirror",3730,732,130,81,1,1,60,"","","","",""
22,"Metadata/Items/Currency/MushruneUber",3731,827,130,82,1,1,60,"","","","",""
