"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","ItemClassCategory","RemovedIfLeavesArea","[rid]_33","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32_84","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","CanUpgradeRarity","bool_113","bool_114","MaxInventoryDimensions","Unmodifiable","CanBeFractured","EquipAchievements","UsedInMapDevice","bool_150","bool_151","bool_152"
0,"LifeFlask","Life Flasks","Flacons de Vie","Lebensfläschchen","ライフフラスコ","생명력 플라스크","Frascos de Vida","Флаконы жизни","Frascos de vida","ขวดยาพลังชีวิต","生命藥劑",0,"",[],[],"","","","",1911,"",1,"","","","",1,"","","","",1,[4],"",1,"","",1,1,""
1,"ManaFlask","Mana Flasks","Flacons de Mana","Manafläschchen","マナフラスコ","마나 플라스크","Frascos de Mana","Флаконы маны","Frascos de maná","ขวดยามานา","魔力藥劑",0,"",[],[],"","","","",1911,"",1,"","","","",1,"","","","",1,[4],"",1,"","",1,1,""
2,"HybridFlask","Hybrid Flasks","Flacons hybrides","Hybridfläschchen","ハイブリッドフラスコ","하이브리드 플라스크","Frascos Híbridos","Флаконы равновесия","Frascos híbridos","ขวดยาผสม","複合藥劑",0,"",[],[],"","","","",1911,"",1,"","","","",1,"","","","",1,[4],"",1,"","",1,1,""
3,"Currency","Currency","Objet monétaire","Währung","カレンシー","화폐","Item Monetário","Вещи на обмен","Objetos monetarios","เงินตรา","通貨",5,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[7],"","","","",1,1,""
4,"Amulet","Amulets","Amulettes","Amulette","アミュレット","목걸이","Amuletos","Амулеты","Amuletos","สร้อย","項鍊",6,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,"",1,1,1,1,[6],"",1,"","",1,1,""
5,"Ring","Rings","Bagues","Ringe","指輪","반지","Anéis","Кольца","Anillos","แหวน","戒指",7,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,"",1,1,1,1,[6],"",1,"","",1,1,""
6,"Claw","Claws","Griffes","Klauen","鉤爪","클로","Garras","Когти","Garras","กรงเล็บ","爪",8,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,0,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
7,"Dagger","Daggers","Dagues","Dolche","短剣","단검","Adagas","Кинжалы","Dagas","มีด","匕首",3,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,1,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
8,"Wand","Wands","Baguettes","Zauberstäbe","ワンド","마법봉","Varinhas","Жезлы","Varitas","ไม้กายสิทธิ์","法杖",9,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,2,1,1,1,1,[0],"",1,"","",1,1,""
9,"One Hand Sword","One Hand Swords","Épées à une main","Einhandschwerter","片手剣","한손 검","Espadas de Uma Mão","Одноручные мечи","Espadas a una mano","ดาบมือเดียว","單手劍",2,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,3,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
10,"Thrusting One Hand Sword","Thrusting One Hand Swords","Épées d'estoc à une main","Einhandstichschwerter","刺突剣","날카로운 한손 검","Espadas de Estocada de Uma Mão","Шпаги","Espadas agresivas a una mano","ดาบแทง","細劍",2,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,4,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
11,"One Hand Axe","One Hand Axes","Haches à une main","Einhandäxte","片手斧","한손 도끼","Machados de Uma Mão","Одноручные топоры","Hachas a una mano","ขวานมือเดียว","單手斧",10,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,3,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
12,"One Hand Mace","One Hand Maces","Masses à une main","Einhandstreitkolben","片手メイス","한손 철퇴","Maças de Uma Mão","Одноручные булавы","Mazas a una mano","กระบองมือเดียว","單手錘",1,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,3,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
13,"Bow","Bows","Arcs","Bögen","弓","활","Arcos","Луки","Arcos","ธนู","弓",11,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,5,1,1,1,1,[0],"",1,"","",1,1,""
14,"Staff","Staves","Bâtons","Stäbe","スタッフ","지팡이","Cajados","Посохи","Báculos","ไม้พลอง","長杖",4,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,6,1,1,1,1,"[2,0]","",1,"","",1,1,""
15,"Two Hand Sword","Two Hand Swords","Épées à deux mains","Zweihandschwerter","両手剣","양손 검","Espadas de Duas Mãos","Двуручные мечи","Espadas a dos manos","ดาบสองมือ","雙手劍",12,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,7,1,1,1,1,"[2,0]","",1,"","",1,1,""
16,"Two Hand Axe","Two Hand Axes","Haches à deux mains","Zweihandäxte","両手斧","양손 도끼","Machados de Duas Mãos","Двуручные топоры","Hachas a dos manos","ขวานสองมือ","雙手斧",13,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,8,1,1,1,1,"[2,0]","",1,"","",1,1,""
17,"Two Hand Mace","Two Hand Maces","Masses à deux mains","Zweihandstreitkolben","両手メイス","양손 철퇴","Maças de Duas Mãos","Двуручные булавы","Mazas a dos manos","กระบองสองมือ","雙手錘",14,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,8,1,1,1,1,"[2,0]","",1,"","",1,1,""
18,"Active Skill Gem","Skill Gems","Gemmes d'aptitude","Fertigkeitengemmen","スキルジェム","스킬 젬","Gemas de Habilidades","Камни умений","Gemas de habilidad","หินสกิล","技能寶石",15,"",[],[],"",1,"","",1911,"",1,"","","","","","","","","","",[],"","","","",1,1,""
19,"Support Skill Gem","Support Gems","Gemmes de soutien","Unterstützungsgemmen","サポートジェム","보조 젬","Gemas de Suporte","Камни поддержки","Gemas de asistencia ","หินเสริม","輔助寶石",16,"",[],[],"",1,"","",1911,"",1,"","","","","","","","","","",[],"","","","",1,1,""
20,"Quiver","Quivers","Carquois","Köcher","矢筒","화살통","Aljavas","Колчаны","Carcajes","ซองธนู","箭袋",17,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,9,1,1,1,1,[3],"",1,"","",1,1,""
21,"Belt","Belts","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояса","Cinturones","เข็มขัด","腰帶",18,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,"",1,1,1,1,[6],"",1,"","",1,1,""
22,"Gloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",19,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,"",1,1,1,1,[5],"",1,"","",1,1,""
23,"Boots","Boots","Bottes","Stiefel","靴","장화","Botas","Обувь","Botas","รองเท้า","鞋子",20,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,"",1,1,1,1,[5],"",1,"","",1,1,""
24,"Body Armour","Body Armours","Armures","Körperrüstungen","鎧","갑옷","Peitorais","Доспехи","Armaduras corporales","เสื้อเกราะ","胸甲",21,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,"",1,1,1,1,[5],"",1,"","",1,1,""
25,"Helmet","Helmets","Casques","Helme","兜","투구","Elmos","Шлемы","Cascos","หมวก","頭部",22,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,"",1,1,1,1,[5],"",1,"","",1,1,""
26,"Shield","Shields","Boucliers","Schilde","盾","방패","Escudos","Щиты","Escudos","โล่","盾",23,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,10,1,1,1,1,"[3,5]","",1,"","",1,1,""
27,"SmallRelic","Small Relics","Petites reliques","Kleine Relikte","スモールレリック","소형 유물","Relíquias Pequenas","Малые реликвии","Reliquias pequeñas","วัตถุโบราณเล็ก","小型聖物","","",[],[],"","","","",1911,"","","","","","","","","","","",1,[],"","","","",1,1,""
28,"MediumRelic","Medium Relics","Reliques moyennes","Mittlere Relikte","ミディアムレリック","중형 유물","Relíquias Médias","Средние реликвии","Reliquias medianas","วัตถุโบราณกลาง","中型聖物","","",[],[],"","","","",1911,"","","","","","","","","","","",1,[],"","","","",1,1,""
29,"LargeRelic","Large Relics","Grandes reliques","Große Relikte","ラージレリック","대형 유물","Relíquias Grandes","Большие реликвии","Reliquias grandes","วัตถุโบราณใหญ่","大型聖物","","",[],[],"","","","",1911,"","","","","","","","","","","",1,[],"","","","",1,1,""
30,"StackableCurrency","Stackable Currency","Objet monétaire empilable","Stapelbare Währung","スタック可能カレンシー","중첩 가능 화폐","Moedas Empilháveis","Валюта","Objetos monetarios apilables","เงินตรารวมกองได้","可堆疊通貨",5,"",[],[],"",1,"","",1911,"","","","","","","","","","","","",[7],"","","","",1,1,""
31,"QuestItem","Quest Items","Objets de quête","Quest-Gegenstände","クエストアイテム","퀘스트 아이템","Itens de Missão","Вещи для заданий","Objetos de misiones","ไอเทมเควสต์","任務物品",24,"",[],[],"","","","",1911,1,"","","","","","","","","","","",[],"","","","",1,1,""
32,"Sceptre","Sceptres","Sceptres","Zepter","セプター","셉터","Cetros","Скипетры","Cetros","คทา","權杖",1,"",[],[9539],"","",1,"",1911,"",1,1,1,1,1,1,3,1,1,1,1,"[1,2,0]","",1,"","",1,1,""
