"rownum","InfluencePack","MonsterPacks","BuffDefinition","[rid]_48","BuffStatValues","[rid]_80","i32_96","i32_100","InfluencePackSizeStat","i32_120","i32_124","i32_128","i32_132","bool_136","bool_137","bool_138","bool_139","ZanaInfluenceChanceStat","ZanaInfluenceMagicChanceStat","ZanaInfluenceRareChanceStat"
0,0,"[2450,2451,2452,2453]","",[],[],[],0,0,17483,20,20,15,15,"","","","","","",""
1,1,"[2450,2451,2452,2453]","",[],[],[],0,0,17483,30,30,20,20,"","","","","","",""
2,2,"[2450,2451,2452,2453]","",[],[],[],0,0,17483,40,40,25,25,"","","","","","",""
3,3,"[2458,2459,2460,2461,2462]","",[],[],[],0,0,17483,20,20,15,15,"","","","","","",""
4,4,"[2458,2459,2460,2461,2462]","",[],[],[],0,0,17483,30,30,20,20,"","","","","","",""
5,5,"[2458,2459,2460,2461,2462]","",[],[],[],0,0,17483,40,40,25,25,"","","","","","",""
6,6,"[2468,2469,2470,2471,2472]","",[],[],[],0,0,17483,20,20,15,15,"","","","","","",""
7,7,"[2468,2469,2470,2471,2472]","",[],[],[],0,0,17483,30,30,20,20,"","","","","","",""
8,8,"[2468,2469,2470,2471,2472]","",[],[],[],0,0,17483,40,40,25,25,"","","","","","",""
9,9,"[2478,2479,2480]","",[],[],[],0,0,17483,20,20,15,15,"","","","","","",""
10,10,"[2478,2479,2480]","",[],[],[],0,0,17483,30,30,20,20,"","","","","","",""
11,11,"[2478,2479,2480]","",[],[],[],0,0,17483,40,40,25,25,"","","","","","",""
12,12,[2484],"",[],[],[],0,0,"",15,15,15,15,"","","","","","",""
13,13,[2485],"",[],[],[],0,0,"",15,15,15,15,"","","","","","",""
14,14,[2486],"",[],[],[],0,0,"",15,15,15,15,"","","","","","",""
15,15,[2487],"",[],[],[],0,0,"",15,15,15,15,"","","","","","",""
16,16,[],"",[10937],[],[15],0,0,"",0,0,0,0,"","","","","","",""
17,17,[2488],"",[],[],[],0,0,"",6,6,6,6,"","","","","","",""
18,18,[2489],"",[],[],[],0,0,"",4,4,4,4,"","","","","","",""
19,19,[2490],"",[],[],[],0,0,"",6,6,6,6,"","","","","","",""
20,20,[],1473,[],"[1,25,30,8,30]",[],0,0,"",0,0,0,0,"","","","","","",""
21,21,[],1474,[],"[1,1,15,20,30,1,1]",[],0,0,"",0,0,0,0,"","","","","","",""
22,22,[],1475,[],"[1,30,10,30]",[],0,0,"",0,0,0,0,"","","","","","",""
23,23,[],1476,[],"[15,30,30,15,40]",[],0,0,"",0,0,0,0,"","","","","","",""
24,25,[],"",[],[],[],70,100,16290,3,3,3,3,1,"","","","","",""
25,26,[],"",[],[],[],70,100,16290,3,3,3,3,1,"","","","","",""
26,27,[],"",[],[],[],0,0,16290,8,18,8,18,1,"","","","","",""
27,28,[],"",[],[],[],0,0,16290,10,23,10,20,1,"","","","","",""
28,29,[],"",[],[],[],0,0,16290,12,28,12,22,1,"","","","","",""
29,30,[],"",[],[],[],0,0,16290,14,32,14,24,1,"","","","","",""
30,31,[],"",[],[],[],0,0,16290,16,36,16,26,1,"","","","","",""
31,32,[],"",[],[],[],0,0,16290,18,48,18,28,1,"","","","","",""
32,33,[],"",[],[],[],0,0,16290,20,60,20,30,1,"","","","","",""
33,34,[],"",[],[],[],0,0,16290,20,60,20,30,1,"","","","","",""
34,35,[],"",[],[],[],70,100,16291,3,3,3,3,1,"","","","","",""
35,36,[],"",[],[],[],70,100,16291,3,3,3,3,1,"","","","","",""
36,37,[],"",[],[],[],0,0,16291,8,18,8,18,1,"","","","","",""
37,38,[],"",[],[],[],0,0,16291,10,23,10,20,1,"","","","","",""
38,39,[],"",[],[],[],0,0,16291,12,28,12,22,1,"","","","","",""
39,40,[],"",[],[],[],0,0,16291,14,32,14,24,1,"","","","","",""
40,41,[],"",[],[],[],0,0,16291,16,36,16,26,1,"","","","","",""
41,42,[],"",[],[],[],0,0,16291,18,48,18,28,1,"","","","","",""
42,43,[],"",[],[],[],0,0,16291,20,60,20,30,1,"","","","","",""
43,44,[],"",[],[],[],0,0,16291,20,60,20,30,1,"","","","","",""
44,45,"[3114,3115,3116,3117,3118]","",[],[],[],0,0,"",8,18,5,12,"","","","",21625,21626,21627
45,46,"[3114,3115,3116,3117,3118]","",[],[],[],0,0,"",10,30,8,18,"","","","",21625,21626,21627
