"rownum","Id","LimitStat","ActiveCountStat","bool_40","bool_41","i32_42","bool_46","bool_47","bool_48","bool_49","bool_50","bool_51","bool_52","bool_53"
0,"SpectreMinion",727,3485,1,1,0,"","",1,"","","","",""
1,"DominatedNormalMinion",8142,8148,1,1,0,"","",1,"","","","",""
2,"DominatedMagicMinion",8143,8149,1,1,0,"","",1,"","","","",""
3,"DominatedRareMinion",8144,8150,1,1,0,"","",1,"","","","",""
4,"VaalDominatedMinion",17950,17990,1,1,0,"","",1,"","","","",1
5,"TotemMinion",957,3420,"",1,0,"","",1,1,"","","",""
6,"TrapMinion",953,3752,"",1,0,"","",1,1,1,1,"",""
7,"ZombieMinion",726,3488,1,1,0,"","",1,"","","","",""
8,"SkeletonMinion",728,3486,1,1,0,"","",1,"","","","",""
9,"VaalSkeletonMinion",728,3486,1,1,0,"","",1,"","","","",1
10,"SupportGhostMinion",8445,3489,1,1,0,"","",1,"","","","",""
11,"RemoteMineMinion",954,3751,"",1,0,"","",1,1,"",1,"",""
12,"IncaMinion",4608,"",1,1,0,"","",1,"","","","",""
13,"InsectMinion",4609,"",1,1,0,"","",1,"","","","",""
14,"WaterElementalMinion",1186,"",1,1,0,"","",1,"","","","",""
15,"GenericUnlimitedMinion","","",1,1,0,1,"",1,"","","","",""
16,"AxisSoldierMinion","","",1,1,0,1,"","","","","","",""
17,"AnimatedArmourMinion","",7658,1,1,1,"",1,1,"","","","",""
18,"AnimatedWeaponMinion",5772,5773,1,1,0,"",1,1,"","","","",""
19,"RagingSpiritMinion",2113,3487,1,1,0,"","",1,"","","","",""
20,"DoubleMinion",14261,"","",1,0,"","",1,1,"","","",1
21,"GenericUnlimitedMinionWithDrops","","",1,1,0,1,"","","","","","",""
22,"TaniwhaTailMinion",4610,"",1,1,0,"","",1,"","","","",""
23,"GolemMinion",2908,"",1,1,0,"","",1,"","","","",""
24,"MissionFollower","","","","",0,1,"","","","","","",""
25,"ManifestedUniqueWeaponMinion","",18594,1,1,0,1,"",1,"","","","",""
26,"RangedAnimatedWeaponMinion",3474,19334,1,1,0,"",1,1,"","","","",""
27,"WolfMinion",4611,3905,1,1,0,"","",1,"","","","",""
28,"TigerMinion",21953,21954,1,1,0,"","",1,"","","","",""
29,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","","","",""
30,"EssenceSpiritMinion",4917,4918,1,1,0,"","",1,"","","","",""
31,"SpiderMinion",21188,5344,1,1,0,"","",1,"","","","",""
32,"BeastMinion",6248,6488,1,1,0,"","",1,"","","","",""
33,"GenericLimitedMinion",5534,5535,1,1,0,"","",1,"","","","",""
34,"Harbinger","","",1,1,1,"","",1,"","","","",""
35,"MirageArcher",7140,"","","",0,"","",1,"",1,1,"",""
36,"Effigy",7297,"","",1,0,"","",1,"","","","",""
37,"Clone",8141,"",1,1,0,"","",1,"","","","",""
38,"HeraldScorpion",8204,"",1,1,0,"","",1,"","","","",""
39,"HeraldChampion",8216,8369,1,1,0,"","",1,"","","","",""
40,"Relic",8233,8234,1,1,0,"","",1,"","","","",""
41,"ReplicateMinion",9569,9570,1,1,0,"","",1,"","","","",""
42,"BurrowingViperMinion","","","",1,0,1,"",1,1,"","","",""
43,"MirageWarrior",10782,10783,"",1,0,"","",1,1,"","","",""
44,"DoubleCryWarrior",11934,11935,"",1,0,"","",1,1,"","","",""
45,"GenericLimitedTo3Minion","","",1,1,3,"","",1,"","","","",""
46,"MirageChieftain","","",1,1,0,1,"",1,"","","","",""
47,"GenericLimitedMinionWithDrops",5534,"",1,1,0,"","","","","","","",""
48,"TauntingContraption","","",1,1,1,"","",1,"","","","",""
49,"AbsolutionSentinel",14285,14310,1,1,0,"","",1,"","","","",""
50,"VaalAbsolutionSentinel",17949,17991,1,1,0,"","",1,"","","","",1
51,"Reaper",14716,21138,1,1,0,"","",1,"","","","",""
52,"ArbalistMinion",14511,"",1,1,0,"","",1,"","","","",""
53,"Triggerbots","","",1,1,0,1,"",1,"","","","",""
54,"VaalAnimatedWeaponMinion",5772,17827,1,1,0,"",1,1,"","","","",1
55,"VaalRangedAnimatedWeaponMinion",3474,17828,1,1,0,"",1,1,"","","","",1
56,"VaalIceShotMirage",18183,"","",1,0,"","",1,1,"","","",1
57,"IzaroSpiritMinion","","",1,1,1,"","",1,"","","","",""
58,"RadiantSentinel","","",1,1,1,"","",1,"","","","",""
59,"GuardianFireRelic","","",1,1,1,"","",1,"","","","",""
60,"GuardianColdRelic","","",1,1,1,"","",1,"","","","",""
61,"GuardianLightningRelic","","",1,1,1,"","",1,"","","","",""
62,"AncestralEmbraceMinion","","",1,1,1,"","",1,"","","","",""
63,"VoodooDoll","","","","",1,"","",1,"","","","",""
64,"BlinkMirrorArrowRainOfArrowsClones",19313,"",1,1,0,"","",1,"","","","",""
65,"BlinkMirrorArrowElementalHitClones",19314,"",1,1,0,"","",1,"","","","",""
66,"SacredWisp",20309,"","","",0,1,1,1,"",1,1,1,""
67,"HarbingerAscendancyArcane",21008,"",1,1,0,"","",1,"","","","",""
68,"HarbingerAscendancyTime",21007,"",1,1,0,"","",1,"","","","",""
69,"HarbingerAscendancyFocus",21009,"",1,1,0,"","",1,"","","","",""
70,"VoidSpawnMinion",21109,21110,1,1,0,"","",1,"","","","",""
71,"Mercenary","","","","",0,1,"",1,"","","","",""
72,"GhostTotemMinion",21417,"","",1,0,"","",1,1,"","","",""
73,"GraftMinion","","","","",0,1,"",1,"","","","",""
74,"TulGraftSpiderHand",21962,"",1,1,0,"","",1,"","","","",""
75,"LivingLightning",21960,"",1,1,0,"","",1,"","","","",""
