"rownum","rid_0","i32_16"
0,1,-66
1,2,-65
2,3,-64
3,4,-63
4,5,-62
5,6,-61
6,7,-60
7,8,-59
8,9,-58
9,10,-57
10,11,-56
11,12,-55
12,13,-54
13,14,-53
14,15,-52
15,16,-51
16,17,-50
17,18,-49
18,19,-48
19,20,-47
20,21,-46
21,22,-45
22,23,-44
23,24,-43
24,25,-42
25,26,-41
26,27,-40
27,28,-39
28,29,-38
29,30,-37
30,31,-36
31,32,-35
32,33,-34
33,34,-33
34,35,-32
35,36,-31
36,37,-30
37,38,-29
38,39,-28
39,40,-27
40,41,-26
41,42,-25
42,43,-24
43,44,-23
44,45,-22
45,46,-21
46,47,-20
47,48,-19
48,49,-18
49,50,-17
50,51,-16
51,52,-15
52,53,-14
53,54,-13
54,55,-12
55,56,-11
56,57,-10
57,58,-9
58,59,-8
59,60,-7
60,61,-6
61,62,-5
62,63,-4
63,64,-3
64,65,-2
65,66,-1
66,67,0
67,68,8
68,69,16
69,70,24
70,71,32
71,72,40
72,73,48
73,74,56
74,75,64
75,76,72
76,77,80
77,78,88
78,79,96
79,80,104
80,81,112
81,82,120
82,83,128
83,84,136
84,85,144
85,86,144
86,87,144
87,88,144
88,89,144
89,90,144
90,91,144
91,92,144
92,93,144
93,94,144
94,95,144
95,96,144
96,97,144
97,98,144
98,99,144
99,100,144
