"rownum","Id","DGRFile","i32_16","i32_20","i32_24","[i32]_28","i32_44"
0,"TwilightStrand4","Metadata/Terrain/Act1/Area1/Graphs/macro_beach4.tgr",105,70,100,[0],60
1,"TwilightStrand5","Metadata/Terrain/Act1/Area1/Graphs/macro_beach5.tgr",105,70,100,[0],60
2,"TwilightStrand6","Metadata/Terrain/Act1/Area1/Graphs/macro_beach6.tgr",105,70,100,[0],60
3,"ShoreEncampTownNormal","Metadata/Terrain/Act1/Town/Graphs/beachtown.dgr",105,150,100,[0],60
4,"Coast1_1_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_1_1.tgr",105,100,100,[0],60
5,"Coast1_1_4","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_1_4.tgr",105,100,100,[0],60
6,"Coast1_2_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_2_1.tgr",105,100,100,[0],60
7,"Coast1_2_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_2_2.tgr",105,100,100,[0],60
8,"Coast1_3_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_3_1.tgr",105,100,100,[0],60
9,"Coast1_4_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_4_1.tgr",105,100,100,[0],60
10,"Coast1_4_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_4_2.tgr",105,100,100,[0],60
11,"Coast1_5_1","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_5_1.tgr",105,100,100,[0],60
12,"Coast1_5_2","Metadata/Terrain/Act1/Area2/Graphs/macro_terraces1_5_2.tgr",105,100,100,[0],60
13,"Island1_1","Metadata/Terrain/Act1/Area2a/Graphs/island1_1.tgr",105,100,100,[0],60
14,"Island1_2","Metadata/Terrain/Act1/Area2a/Graphs/island1_2.tgr",105,100,100,[0],60
15,"Island1_3","Metadata/Terrain/Act1/Area2a/Graphs/island1_3.tgr",105,100,100,[0],60
16,"Island1_4","Metadata/Terrain/Act1/Area2a/Graphs/island1_4.tgr",105,100,100,[0],60
17,"Island1_5","Metadata/Terrain/Act1/Area2a/Graphs/island1_5.tgr",105,100,100,[0],60
18,"Island2_1","Metadata/Terrain/Act1/Area2a/Graphs/island2_1.tgr",105,100,100,[0],60
19,"Island2_2","Metadata/Terrain/Act1/Area2a/Graphs/island2_2.tgr",105,100,100,[0],60
20,"Island2_3","Metadata/Terrain/Act1/Area2a/Graphs/island2_3.tgr",105,100,100,[0],60
21,"Island3_1","Metadata/Terrain/Act1/Area2a/Graphs/island3_1.tgr",105,100,100,[0],60
22,"Island3_2","Metadata/Terrain/Act1/Area2a/Graphs/island3_2.tgr",105,100,100,[0],60
23,"Island3_3","Metadata/Terrain/Act1/Area2a/Graphs/island3_3.tgr",105,100,100,[0],60
24,"Island3_4","Metadata/Terrain/Act1/Area2a/Graphs/island3_4.tgr",105,100,100,[0],60
25,"Island4_1","Metadata/Terrain/Act1/Area2a/Graphs/island4_1.tgr",105,100,100,[0],60
26,"Island4_2","Metadata/Terrain/Act1/Area2a/Graphs/island4_2.tgr",105,100,100,[0],60
27,"Island4_3","Metadata/Terrain/Act1/Area2a/Graphs/island4_3.tgr",105,100,100,[0],60
28,"MudFlats1_1","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_1.tgr",120,100,100,[0],60
29,"MudFlats1_2","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_2.tgr",120,100,100,[0],60
30,"MudFlats1_3","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp1_3.tgr",120,100,100,[0],60
31,"MudFlats2_1","Metadata/Terrain/Act1/Area3/Graphs/macro_swamp2_1.tgr",120,100,100,[0],60
