"rownum","Id","CharactersKey","BaseItemTypesKey","SocketColours","WorldAreasKey"
0,"Dex1",3,612,"WWW",1349
1,"Dex2",3,1771,"",1349
2,"Dex3",3,1654,"",1349
3,"Dex4",3,1406,"",1349
4,"Dex5",3,1,"",1349
5,"Dex6",3,1,"",1349
6,"Dex7",3,1925,"",1349
7,"Dex8",3,1673,"",1349
8,"Dex9",3,502,"WWW",1349
9,"Dex10",3,502,"WWW",1349
10,"Dex11",3,1661,"",1349
11,"Dex12",3,1935,"",1349
12,"Str1",0,556,"WWW",1349
13,"Str2",0,910,"WWW",1349
14,"Str3",0,1741,"",1349
15,"Str4",0,1653,"",1349
16,"Str5",0,1406,"",1349
17,"Str6",0,1,"",1349
18,"Str7",0,1,"",1349
19,"Str8",0,719,"WWW",1349
20,"Str9",0,1884,"",1349
21,"Str10",0,556,"WWW",1349
22,"Int1",1,384,"WWW",1349
23,"Int2",1,949,"WWW",1349
24,"Int3",1,1646,"",1349
25,"Int4",1,1905,"",1349
26,"Int5",1,1406,"",1349
27,"Int6",1,1,"",1349
28,"Int7",1,1,"",1349
29,"Int8",1,1712,"",1349
30,"Int9",1,1931,"",1349
31,"Int10",1,384,"WWW",1349
32,"Int11",1,584,"WWW",1349
33,"Int12",1,584,"WWW",1349
34,"StrDex1",4,502,"WWW",1349
35,"StrDex2",4,472,"WWW",1349
36,"StrDex3",4,1661,"",1349
37,"StrDex4",4,1654,"",1349
38,"StrDex5",4,1406,"",1349
39,"StrDex6",4,1,"",1349
40,"StrDex7",4,1,"",1349
41,"StrDex8",4,1657,"",1349
42,"StrDex9",4,1884,"",1349
43,"StrDex10",4,669,"WWW",1349
44,"StrInt1",6,584,"WWW",1349
45,"StrInt2",6,584,"WWW",1349
46,"StrInt3",6,1653,"",1349
47,"StrInt4",6,1884,"",1349
48,"StrInt5",6,1406,"",1349
49,"StrInt6",6,1,"",1349
50,"StrInt7",6,1,"",1349
51,"StrInt8",6,1931,"",1349
52,"StrInt9",6,641,"WWW",1349
53,"StrInt10",6,1905,"",1349
54,"DexInt1",5,413,"WWW",1349
55,"DexInt2",5,413,"WWW",1349
56,"DexInt3",5,1712,"",1349
57,"DexInt4",5,1406,"",1349
58,"DexInt5",5,1,"",1349
59,"DexInt6",5,1,"",1349
60,"DexInt7",5,1905,"",1349
61,"DexInt8",5,1789,"",1349
62,"DexInt9",5,1792,"",1349
63,"DexInt10",5,384,"WWW",1349
64,"DexInt11",5,384,"WWW",1349
65,"StrDexInt1",2,472,"WWW",1349
66,"StrDexInt2",2,694,"WWW",1349
67,"StrDexInt3",2,1829,"",1349
68,"StrDexInt4",2,1657,"",1349
69,"StrDexInt5",2,1406,"",1349
70,"StrDexInt6",2,1,"",1349
71,"StrDexInt7",2,1,"",1349
72,"StrDexInt8",2,472,"WWW",1349
73,"StrDexInt9",2,1789,"",1349
74,"StrDexInt10",2,1712,"",1349
75,"StrDexInt11",2,584,"WWW",1349
76,"StrDexInt12",2,584,"WWW",1349
77,"StrDexInt13",2,1654,"",1349
78,"Dex2_1",3,1925,"",1364
79,"Dex2_2",3,1673,"",1364
80,"Dex2_3",3,1671,"",1364
81,"Dex2_4",3,1771,"",1364
82,"Dex2_5",3,1657,"",1364
83,"Dex2_6",3,1,"",1364
84,"Dex2_7",3,1,"",1364
85,"Dex2_8",3,1406,"",1364
86,"Dex2_9",3,502,"W",1364
87,"Dex2_10",3,502,"W",1364
88,"Dex2_11",3,612,"WW",1364
89,"Dex2_12",3,930,"W",1364
90,"Dex2_13",3,1935,"",1364
91,"Str2_1",0,1884,"",1364
92,"Str2_2",0,1653,"",1364
93,"Str2_3",0,1741,"",1364
94,"Str2_4",0,1,"",1364
95,"Str2_5",0,1,"",1364
96,"Str2_6",0,1406,"",1364
97,"Str2_7",0,719,"WW",1364
98,"Str2_8",0,556,"W",1364
99,"Str2_9",0,910,"W",1364
100,"Int2_1",1,1712,"",1364
101,"Int2_2",1,1931,"",1364
102,"Int2_3",1,1905,"",1364
103,"Int2_4",1,1646,"",1364
104,"Int2_5",1,1,"",1364
105,"Int2_6",1,1,"",1364
106,"Int2_7",1,1406,"",1364
107,"Int2_8",1,384,"W",1364
108,"Int2_9",1,384,"W",1364
109,"Int2_10",1,949,"W",1364
110,"StrDex2_1",4,1654,"",1364
111,"StrDex2_2",4,1884,"",1364
112,"StrDex2_3",4,1657,"",1364
113,"StrDex2_4",4,1661,"",1364
114,"StrDex2_5",4,1,"",1364
115,"StrDex2_6",4,1,"",1364
116,"StrDex2_7",4,1406,"",1364
117,"StrDex2_8",4,502,"W",1364
118,"StrDex2_9",4,502,"W",1364
119,"StrDex2_10",4,694,"WW",1364
120,"StrDex2_11",4,930,"W",1364
121,"StrDex2_12",4,910,"W",1364
122,"StrInt2_1",6,1653,"",1364
123,"StrInt2_2",6,1884,"",1364
124,"StrInt2_3",6,1712,"",1364
125,"StrInt2_4",6,1931,"",1364
126,"StrInt2_5",6,1905,"",1364
127,"StrInt2_6",6,1709,"",1364
128,"StrInt2_7",6,1,"",1364
129,"StrInt2_8",6,1,"",1364
130,"StrInt2_9",6,1406,"",1364
131,"StrInt2_10",6,584,"W",1364
132,"StrInt2_11",6,584,"W",1364
133,"StrInt2_12",6,719,"WW",1364
134,"StrInt2_13",6,910,"W",1364
135,"StrInt2_14",6,949,"W",1364
136,"DexInt2_1",5,1925,"",1364
137,"DexInt2_2",5,1712,"",1364
138,"DexInt2_3",5,1789,"",1364
139,"DexInt2_4",5,1905,"",1364
140,"DexInt2_5",5,1715,"",1364
141,"DexInt2_6",5,1,"",1364
142,"DexInt2_7",5,1,"",1364
143,"DexInt2_8",5,1406,"",1364
144,"DexInt2_9",5,413,"W",1364
145,"DexInt2_10",5,413,"W",1364
146,"DexInt2_11",5,384,"W",1364
147,"DexInt2_12",5,384,"W",1364
148,"DexInt2_13",5,930,"W",1364
149,"DexInt2_14",5,949,"W",1364
150,"StrDexInt2_1",2,1,"",1364
151,"StrDexInt2_2",2,1,"",1364
152,"StrDexInt2_3",2,1406,"",1364
153,"StrDexInt2_4",2,1829,"",1364
154,"StrDexInt2_5",2,1884,"",1364
155,"StrDexInt2_6",2,1673,"",1364
156,"StrDexInt2_7",2,1905,"",1364
157,"StrDexInt2_8",2,384,"W",1364
158,"StrDexInt2_9",2,694,"WW",1364
159,"StrDexInt2_10",2,502,"W",1364
160,"StrDexInt2_11",2,502,"W",1364
161,"StrDexInt2_12",2,384,"W",1364
