"rownum","i32_0","i32_4","Achievements"
0,2,90,"[8093,8339,8525,10275,10534,11129,11697]"
1,3,20,"[1010,11606]"
2,4,20,[1576]
3,5,3,[11340]
4,6,20,[11609]
5,8,0,[]
6,9,0,[]
7,1,0,[]
8,2,100,"[11689,11424]"
9,10,0,"[1175,7885]"
10,11,0,"[8220,4210]"
11,12,0,[8217]
12,13,0,[]
13,14,0,[]
14,15,0,[]
15,16,0,[2507]
16,17,1,[8432]
17,17,2,[8432]
18,17,3,[8432]
19,17,4,[8432]
20,17,5,"[1029,8432]"
21,18,2,[]
22,19,100,[]
23,19,250,"[7626,8349]"
24,19,400,[10484]
25,19,300,[]
26,19,600,[8875]
27,24,0,[]
28,20,10,[]
29,20,50,[]
30,20,100,[]
31,20,150,[]
32,21,0,[]
33,22,2,[]
34,22,3,[]
35,22,4,[]
36,22,5,[]
37,23,0,[8350]
38,25,0,[]
39,26,0,[1026]
40,27,0,[]
41,29,0,[]
42,19,1000,[8410]
