"rownum","MtxTypeGameSpecific","AOFile","bool_24"
0,261,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,262,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,263,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,264,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,265,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,266,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,267,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,268,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,269,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,270,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3460,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
