"rownum","ChestsKey","SpawnWeight","i32_20","bool_24","bool_25","SpawnWeightIncrease","SpawnWeightHardmode","bool_46","bool_47"
0,263,81,5,"",1,15735,0,1,""
1,265,0,5,"","","",0,"",""
2,266,599,15,"",1,"",0,"",""
3,267,565,12,"",1,"",0,"",""
4,268,14,5,"",1,22641,0,1,""
5,269,20,5,"",1,"",0,1,""
6,270,12,5,1,1,15736,0,1,""
7,271,10,5,1,1,15736,0,1,""
8,272,8,5,1,1,15736,0,1,""
9,273,6,5,1,1,15736,0,1,""
10,274,0,5,"","","",0,"",""
11,275,0,5,1,1,"",0,"",""
12,276,0,5,"",1,"",0,"",""
13,277,25,5,"",1,17237,0,1,""
14,278,0,5,"","","",0,"",""
15,279,104,5,"",1,"",0,1,""
16,280,167,10,"",1,"",0,"",""
17,281,0,10,"","","",0,"",""
18,282,112,10,"",1,"",0,1,""
19,283,0,10,"","","",0,"",""
20,284,1563,5,"",1,"",0,"",""
21,285,0,5,"","","",0,"",""
22,286,39,5,1,1,15737,0,1,""
23,289,0,5,"","","",0,"",""
24,503,0,5,"","","",0,"",""
25,264,0,5,"",1,"",0,"",""
26,1635,0,5,1,1,"",0,"",""
27,1636,0,10,1,1,"",0,"",""
28,1637,0,10,1,1,"",0,"",""
29,287,0,5,1,1,"",0,"",""
30,288,0,5,"",1,"",0,"",""
31,2337,0,5,1,"","",0,"",""
32,2338,0,5,1,1,"",0,"",""
33,291,0,5,"",1,15735,10,1,""
34,292,0,15,"",1,"",100,"",""
35,293,0,12,"",1,"",100,"",""
36,294,0,5,"",1,22641,10,"",""
37,295,0,5,"",1,"",5,1,""
38,296,0,5,1,1,15736,4,1,""
39,297,0,5,1,1,15736,3,1,""
40,298,0,5,1,1,15736,2,1,""
41,299,0,5,1,1,15736,1,1,""
42,300,0,5,"",1,17237,10,1,""
43,301,0,5,"",1,"",10,1,""
44,302,0,10,"",1,"",60,"",""
45,303,0,10,"",1,"",40,"",""
46,304,0,5,"",1,"",500,"",""
47,2360,0,5,"",1,"",0,"",1
48,2361,0,5,"",1,"",0,"",1
49,2362,0,5,"","","",0,"",""
50,2453,0,5,1,1,"",0,"",""
51,2454,0,5,"",1,"",0,"",""
