"rownum","MTX","TierThresholds","rid_32","[i32]_48","rid_64","TierCount","[rid]_84","[i32]_100","[i32]_116","bool_132","bool_133","rid_134","bool_150"
0,3513,"[0,10000,500000,2000000]",16340,[],"",4,[],[],[],1,"","",""
1,3521,"[0,150,500,1000,1500]",574,[],575,5,[],[],[],"","","",""
2,3520,"[0,150,500,1000,1500]",577,[],578,5,[],[],[],"","","",""
3,3584,"[74,75]",307,[],148,2,[],[],[],"","","",""
4,3583,"[74,75]",308,[],146,2,[],[],[],"","","",""
5,3585,"[74,75]",309,[],150,2,[],[],[],"","","",""
6,3586,"[74,75]",16252,[],142,2,[],[],[],"","","",""
7,3525,"[0,25,50,100,200,250,325]",244,[],179,7,[],[],[],"","","",""
8,3526,"[0,25,50,100,200,250,325]",244,[],179,7,[],[],[],"","","",""
9,3527,"[0,25,50,100,200,250,325]",244,[],179,7,[],[],[],"","","",""
10,3528,"[0,25,50,100,200,250,325]",244,[],179,7,[],[],[],"","","",""
11,3529,"[0,25,50,100,200,250,325]",244,[],179,7,[],[],[],"","","",""
12,3539,"[0,1,3,7,13,25,30]",16408,[],"",7,[],[],[],"","","",""
13,3540,"[0,1,3,7,13,25,30]",16408,[],"",7,[],[],[],"","","",""
14,3541,"[0,1,3,7,13,25,30]",16408,[],"",7,[],[],[],"","","",""
15,3542,"[0,1,3,7,13,25,30]",16408,[],"",7,[],[],[],"","","",""
16,3543,"[0,1,3,7,13,25,30]",16408,[],"",7,[],[],[],"","","",""
17,3530,"[0,20,30]",16406,[],"",3,[],[],[],"","","",""
18,3531,"[0,20,30]",16406,[],"",3,[],[],[],"","","",""
19,3532,"[0,20,30]",16406,[],"",3,[],[],[],"","","",""
20,3533,"[0,20,30]",16406,[],"",3,[],[],[],"","","",""
21,3555,"[0,1,3,5,7,9,11,12]",16484,[],"",8,[],[],[],"","","",""
22,3556,"[0,1,3,5,7,9,11,12]",16484,[],"",8,[],[],[],"","","",""
23,3557,"[0,1,3,5,7,9,11,12]",16484,[],"",8,[],[],[],"","","",""
24,3558,"[0,1,3,5,7,9,11,12]",16484,[],"",8,[],[],[],"","","",""
25,3575,"[0,1,5,10]",16460,[],"",4,[],[],[],"","","",""
26,3576,"[0,1,5,10]",16460,[],"",4,[],[],[],"","","",""
27,3577,"[0,1,5,10]",16460,[],"",4,[],[],[],"","","",""
28,3578,"[0,1,5,10]",16460,[],"",4,[],[],[],"","","",""
29,3551,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
30,3552,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
31,3553,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
32,3554,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
33,3567,"[0,1,3,5,7,9,11,13]",2664,[],8525,8,[],[],[],"","","",""
34,3568,"[0,1,3,5,7,9,11,13]",2664,[],8525,8,[],[],[],"","","",""
35,3569,"[0,1,3,5,7,9,11,13]",2664,[],8525,8,[],[],[],"","","",""
36,3570,"[0,1,3,5,7,9,11,13]",2664,[],8525,8,[],[],[],"","","",""
37,3504,"[0,1,10,15,20,25]",16239,[],"",6,[],[],[],"","","",""
38,3534,"[0,50,100,150,200,250,300,350]",574,[],575,8,[],[],[],"","","",""
39,3535,"[0,50,100,150,200,250,300,350]",580,[],581,8,[],[],[],"","","",""
40,3536,"[0,50,100,150,200,250,300,350]",577,[],578,8,[],[],[],"","","",""
41,3537,"[0,100,200,300,400,500,600,700]",17015,[],607,8,[],[],[],"","","",""
42,3538,"[0,50,100,150,200,250,300,350]",15488,[],17380,8,[],[],[],"","","",""
43,3679,"[0,50,100,150,200]",781,[],155,5,[],[],[],"","","",""
44,3678,"[0,50,100,150,200]",781,[],155,5,[],[],[],"","","",""
45,3677,"[0,50,100,150,200]",781,[],155,5,[],[],[],"","","",""
46,3680,"[0,50,100,150,200]",781,[],155,5,[],[],[],"","","",""
47,4950,"[0,10,20,30,40,50,60]",16249,[],"",7,[],[],[],"","","",""
48,3505,"[0,12,20,29]",16883,[48],"",4,[],[],[],1,"","",""
49,3506,"[0,14,22,32]",16883,[48],"",4,[],[],[],1,"","",""
50,3510,"[0,16,24,35]",16883,[48],"",4,[],[],[],1,"","",""
51,3508,"[0,18,26,38]",16883,[48],"",4,[],[],[],1,"","",""
52,3705,"[0,20,50,100]",16763,[],"",4,[],[],[],"","","",""
53,3707,"[0,20,50,100]",16763,[],"",4,[],[],[],"","","",""
54,3706,"[0,20,50,100]",16763,[],"",4,[],[],[],"","","",""
55,3708,"[0,20,50,100]",16763,[],"",4,[],[],[],"","","",""
56,3522,"[0,30,65,100,150,200]",1426,[],25,6,[],[],[],"","","",""
57,3737,"[0,10,20,30]",0,[],"",4,[],[],[],1,"","",""
58,3723,"[0,25,50,75]",244,[],179,4,[],[],[],"","","",""
59,3659,"[0,100000,1000000]",16340,[],"",3,[],[],[],1,"","",""
60,3774,"[0,18,26,38]",17518,[50],"",4,[],[],[],1,"","",""
61,3771,"[0,16,24,35]",17518,[50],"",4,[],[],[],1,"","",""
62,3773,"[0,12,20,29]",17518,[50],"",4,[],[],[],1,"","",""
63,3772,"[0,14,22,32]",17518,[50],"",4,[17570],[1],[4],1,"","",""
64,3763,"[1,34,70,90,120]",17716,[],124,5,[],[],[],"","","",""
65,3794,"[0,22,55,88]",244,[],179,4,[],[],[],"","","",""
66,3795,"[0,22,55,88]",244,[],179,4,[],[],[],"","","",""
67,3796,"[0,22,55,88]",244,[],179,4,[],[],[],"","","",""
68,3797,"[0,22,55,88]",244,[],179,4,[],[],[],"","","",""
69,3827,"[0,1]",367,[],"",2,[],[],[],"","","",""
70,5073,"[0,1,2]",368,[],"",3,[],[],[],"","","",""
71,3980,"[0,1000,5000,10000,15000,20000]",242,[],116,6,[],[],[],"","","",""
72,3938,"[0,18,26,38,38]",18441,"[52,53]",18373,5,"[18518,18518,17869,18518]","[1,1,1,1]","[3,4,5,5]",1,"","",""
73,3935,"[0,16,24,35]",18441,"[52,53]",18373,4,[],[],[],1,"","",""
74,3937,"[0,12,20,29]",18441,"[52,53]",18373,4,[],[],[],1,"","",""
75,3936,"[0,14,22,32]",18441,"[52,53]",18373,4,[],[],[],1,"","",""
76,4007,"[0,10,20,50,100,150,200]",18590,[],"",7,[],[],[],"","","",""
77,4021,"[1,1]",0,[],"",2,[],[],[],"","","",""
78,4076,[],"",[],"",0,[],[],[],"",1,18902,1
79,4116,"[0,2000,5000]",18965,[],"",3,[],[],[],"","","",""
80,4118,"[0,2000,5000]",18965,[],"",3,[],[],[],"","","",""
81,4119,"[0,2000,5000]",18965,[],"",3,[],[],[],"","","",""
82,4120,"[0,2000,5000]",18965,[],"",3,[],[],[],"","","",""
83,4115,"[0,5,10,15,20,25,30,35,40,45,50,55,60,65,70]",0,[],"",15,[],[],[],"","","",""
84,4029,"[0,22,29,35,35]",19060,"[54,55]",19058,5,[],[],[],1,"","",""
85,4026,"[0,24,32,38]",19060,"[54,55]",19058,4,[],[],[],1,"","",""
86,4028,"[0,20,26]",19060,"[54,55]",19058,3,[],[],[],1,"","",""
87,4170,"[1,1,1,1]",367,[],"",4,"[19155,19155,19155,19155]","[1,2,3,4]","[1,2,3,4]","","","",1
88,4198,"[0,0]",367,[],"",2,"[17734,17734]","[0,1]","[1,2]","","","",1
89,4186,"[0,0]",367,[],"",2,[],[],[],"","","",""
90,4189,"[0,0]",367,[],"",2,[],[],[],"","","",""
91,4188,"[0,0]",367,[],"",2,[],[],[],"","","",""
92,4187,"[0,0]",367,[],"",2,[],[],[],"","","",""
93,4193,"[0,0,0,0]",367,[],"",4,"[19349,19349,19349,19349]","[1,2,3,4]","[1,2,3,4]","","","",1
94,4230,"[0,22,28,35,35]",19697,"[59,60]",19695,5,[19687],[1],[3],1,"","",""
95,4228,"[0,26]",19697,"[59,60]",19695,2,[1373],[115],[2],1,"","",""
96,4229,"[0,20,32]",19697,"[59,60]",19695,3,[19698],[1],[3],1,"","",""
97,4227,"[0,0,24,38]",19697,"[59,60]",19695,4,[19527],[1],[4],1,"","",""
98,4206,"[0,0]",367,[],"",2,[19731],[1],[2],"","","",""
99,4429,"[0,24,28,38]",20373,"[61,62]",20371,4,[20033],[1],[4],1,"","",""
100,4432,"[0,22,26,35]",20373,"[61,62]",20371,4,[20332],[1],[4],1,"","",""
101,4431,"[0,20,32]",20373,"[61,62]",20371,3,[20093],[1],[3],1,"","",""
102,4450,"[0,0]",367,[],"",2,[],[],[],"","","",""
103,4495,"[1,1]",0,[],"",2,[],[],[],"","","",1
104,4482,"[1,1]",0,[],"",2,[],[],[],"","","",1
105,4483,"[1,1]",0,[],"",2,[],[],[],"","","",1
106,4487,"[1,1]",0,[],"",2,[],[],[],"","","",1
107,4486,"[1,1]",0,[],"",2,"[20827,20827]","[0,1]","[1,2]","","","",1
108,4502,"[1,1]",0,[],"",2,"[20923,20923]","[0,1]","[1,2]","","","",1
109,4503,"[1,1]",0,[],"",2,"[20923,20923]","[0,2]","[1,2]","","","",1
110,4584,"[1,1]",0,[],"",2,"[17734,17734]","[0,1]","[1,2]","","","",1
111,4577,"[1,1]",0,[],"",2,[],[],[],"","","",1
112,4597,"[1,1]",0,[],"",2,[],[],[],"","","",1
113,4585,"[1,1]",0,[],"",2,[],[],[],"","","",1
114,4620,"[1,1]",0,[],"",2,[],[],[],"","","",1
115,6935,"[0,0,0]",367,[],"",3,[],[],[],"","","",1
116,6933,"[0,0]",367,[],"",2,"[21307,21307]","[0,1]","[1,2]","","","",1
117,6897,"[1,1,1]",367,[],"",3,[],[],[],"","","",1
118,6898,"[1,1]",367,[],"",2,[],[],[],"","","",1
119,6899,"[1,1,1]",367,[],"",3,[],[],[],"","","",1
120,6900,"[1,1]",367,[],"",2,[],[],[],"","","",1
121,6924,"[1,1]",367,[],"",2,[],[],[],"","","",1
122,6968,"[1,1,1,1]",367,[],"",4,[],[],[],"","","",1
123,6970,"[1,1]",367,[],"",2,[],[],[],"","","",1
124,6971,"[1,1,1,1]",367,[],"",4,"[17734,17734,17734,17734]","[0,0,1,1]","[1,2,3,4]","","","",1
125,6969,"[1,1]",367,[],"",2,[],[],[],"","","",1
126,6972,"[1,1,1,1]",367,[],"",4,[],[],[],"","","",1
127,6973,"[1,1]",367,[],"",2,[],[],[],"","","",1
128,6974,"[1,1]",367,[],"",2,[],[],[],"","","",1
129,6975,"[1,1]",367,[],"",2,[],[],[],"","","",1
130,6903,"[1,1,1,1]",0,[],"",4,[],[],[],"","","",1
131,6909,"[1,1,1,1]",0,[],"",4,[],[],[],"","","",1
132,6976,"[1,1,1]",0,[],"",3,[],[],[],"","","",1
133,6977,"[1,1]",0,[],"",2,[],[],[],"","","",1
134,6999,"[1,1]",0,[],"",2,[],[],[],"","","",1
135,6995,"[1,1]",367,[],"",2,[],[],[],"","","",1
136,7019,"[1,1]",367,[],"",2,[],[],[],"","","",1
137,7021,"[1,1]",367,[],"",2,[],[],[],"","","",1
138,7028,"[1,1]",367,[],"",2,[],[],[],"","","",1
139,7029,"[1,1]",367,[],"",2,[],[],[],"","","",1
140,7030,"[1,1]",367,[],"",2,[],[],[],"","","",1
141,7031,"[1,1]",367,[],"",2,[],[],[],"","","",1
142,7133,"[1,1]",367,[],"",2,[],[],[],"","","",1
143,7135,"[1,1]",367,[],"",2,[],[],[],"","","",1
144,7120,"[1,1]",367,[],"",2,[],[],[],"","","",1
145,7121,"[1,1]",367,[],"",2,[],[],[],"","","",1
146,7122,"[1,1]",367,[],"",2,[],[],[],"","","",1
147,7119,"[1,1]",367,[],"",2,[],[],[],"","","",1
148,7191,"[1,1]",367,[],"",2,[],[],[],"","","",1
149,7203,"[1,1,1]",367,[],"",3,[],[],[],"","","",1
150,7192,"[1,2]",22110,[],"",2,[],[],[],"","","",""
