"rownum","Id","ChestsKey","SpawnWeight","MinLabyrinthTier","MaxLabyrinthTier","i32_36"
0,"Metadata/Chests/Labyrinth/Izaro/IzaroChest1",375,200,1,3,0
1,"Metadata/Chests/Labyrinth/Izaro/IzaroChest2",376,100,1,3,0
2,"Metadata/Chests/Labyrinth/Izaro/IzaroChest3",377,50,1,3,0
3,"Metadata/Chests/Labyrinth/Izaro/IzaroChest4",378,5,1,3,0
4,"Metadata/Chests/Labyrinth/Izaro/IzaroChest5",379,200,1,3,0
5,"Metadata/Chests/Labyrinth/Izaro/IzaroChest6",380,100,1,3,0
6,"Metadata/Chests/Labyrinth/Izaro/IzaroChest7",381,200,1,3,0
7,"Metadata/Chests/Labyrinth/Izaro/IzaroChest8",382,100,1,3,0
8,"Metadata/Chests/Labyrinth/Izaro/IzaroChest9",383,200,1,3,0
9,"Metadata/Chests/Labyrinth/Izaro/IzaroChest10",384,100,1,3,0
10,"Metadata/Chests/Labyrinth/Izaro/IzaroChest11",385,200,1,3,0
11,"Metadata/Chests/Labyrinth/Izaro/IzaroChest12",386,100,1,3,0
12,"Metadata/Chests/Labyrinth/Izaro/IzaroChest14",388,100,1,3,0
13,"Metadata/Chests/Labyrinth/Izaro/IzaroChest15",389,100,1,3,0
14,"Metadata/Chests/Labyrinth/Izaro/IzaroChest16",390,500,1,3,0
15,"Metadata/Chests/Labyrinth/Izaro/IzaroChest17",391,100,1,3,0
16,"Metadata/Chests/Labyrinth/Izaro/IzaroChest18",392,100,1,3,0
17,"Metadata/Chests/Labyrinth/Izaro/IzaroChest20",394,5,1,3,0
18,"Metadata/Chests/Labyrinth/Izaro/IzaroChest21",395,200,4,4,0
19,"Metadata/Chests/Labyrinth/Izaro/IzaroChest22",396,50,4,4,0
20,"Metadata/Chests/Labyrinth/Izaro/IzaroChest23",397,200,4,4,0
21,"Metadata/Chests/Labyrinth/Izaro/IzaroChest24",398,15,4,4,0
22,"Metadata/Chests/Labyrinth/Izaro/IzaroChest13",387,50,4,4,0
23,"Metadata/Chests/Labyrinth/Izaro/IzaroChest19",393,20,4,4,0
24,"Metadata/Chests/Labyrinth/Izaro/IzaroChest25",400,120,4,4,0
25,"Metadata/Chests/Labyrinth/Izaro/IzaroChest26",401,160,4,4,0
26,"Metadata/Chests/Labyrinth/Izaro/IzaroChest27",402,200,4,4,0
27,"Metadata/Chests/Labyrinth/Izaro/IzaroChest28",403,200,4,4,0
28,"Metadata/Chests/Labyrinth/Izaro/IzaroChest29",404,200,4,4,0
29,"Metadata/Chests/Labyrinth/Izaro/IzaroChest30",405,200,4,4,0
30,"Metadata/Chests/Labyrinth/Izaro/IzaroChest31",406,200,4,4,0
31,"Metadata/Chests/Labyrinth/Izaro/IzaroChest32",407,200,4,4,0
32,"Metadata/Chests/Labyrinth/Izaro/IzaroChest33",408,200,4,4,0
33,"Metadata/Chests/Labyrinth/Izaro/IzaroChest34",409,200,4,4,0
34,"Metadata/Chests/Labyrinth/Izaro/IzaroChest35",410,120,4,4,0
35,"Metadata/Chests/Labyrinth/Izaro/IzaroChest36",411,200,4,4,0
36,"Metadata/Chests/Labyrinth/Izaro/IzaroChest37",412,200,4,4,0
37,"Metadata/Chests/Labyrinth/Izaro/IzaroChest38",413,15,4,4,0
38,"Metadata/Chests/Labyrinth/Izaro/IzaroChest39",414,200,4,4,0
39,"Metadata/Chests/Labyrinth/Izaro/IzaroChest40",415,200,4,4,0
40,"Metadata/Chests/Labyrinth/Izaro/IzaroChest41",399,100,4,4,0
41,"Metadata/Chests/Labyrinth/Izaro/IzaroChest42",416,200,5,5,0
42,"Metadata/Chests/Labyrinth/Izaro/IzaroChest43",417,200,5,5,0
43,"Metadata/Chests/Labyrinth/Izaro/IzaroChest45",419,100,5,5,0
44,"Metadata/Chests/Labyrinth/Izaro/IzaroChest46",420,50,5,5,0
45,"Metadata/Chests/Labyrinth/Izaro/IzaroChest47",421,200,5,5,0
46,"Metadata/Chests/Labyrinth/Izaro/IzaroChest48",422,20,5,5,0
47,"Metadata/Chests/Labyrinth/Izaro/IzaroChest49",423,100,5,5,0
