"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid_24","NPCMasterKey","ShortName","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32_64","NPCAudios1","NPCAudios2","HASH16","row_102","Portrait","DialogueStyle","bool_142","rid_143","Gender","bool_167","i32_168"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Tarkleigh","Tarkleigh","タークリー","타클레이","Tarkleigh","Таркли","Tarkleigh","ทาร์กเลย์","塔格拉","Metadata/NPC/NPC","","","","","","","","","","","","",1,[0],[1],18329,"","",1,1,0,"M","",0
1,"Metadata/NPC/Act1/Nessa","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",1,[2],[3],16035,"","",1,1,11,"F","",0
2,"Metadata/NPC/Act1/Bestel","Bestel","Bestel","Bestel","ベストル","베스텔","Bestel","Бестель","Bestel","เบสเทล","畢斯特","Metadata/NPC/NPC","","","","","","","","","","","","",1,[4],[],-9048,"","",1,1,46,"M","",0
3,"Metadata/NPC/Act1/Doorman","Doorman","Portier","Pförtner","ドアマン","문지기","Porteiro","Изгнанник","Portero","คนเฝ้าประตู","守門人","Metadata/NPC/NPC","","","","","","","","","","","","",1,[],[],31831,"","",1,1,"","M","",0
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長","Metadata/NPC/NPC","","","Fairgraves","Fairgraves","Fairgraves","フェアグレーヴズ","페어그레이브즈","Fairgraves","Фейргрейвс","Fairgraves","แฟร์เกรฟส์","費爾船長",1,[],[5],-25816,"","",1,1,"","M","",0
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長","Metadata/Monsters/Skeletons/SkeletonBossEmerge","","","Fairgraves","Fairgraves","Fairgraves","フェアグレーヴズ","페어그레이브즈","Fairgraves","Фейргрейвс","Fairgraves","แฟร์เกรฟส์","費爾船長",0,[],[],-18233,"","",1,1,"","M","",0
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Exilé mourant","Sterbender Verbannter","死に際のエグザイル","죽어가는 유배자","Exilado Moribundo","Умирающий изгнанник","Exiliado agonizante","เอ็กไซล์เจียนตาย","垂死的流亡者","Metadata/NPC/NPC","","","","","","","","","","","","",1,[],[],-16916,"","",1,1,"","M","",0
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Brutus, le Geôlier","Brutus der Wächter","獄長ブルータス","간수 브루투스","Brutus, o Carcereiro","Изувер, старший смотритель","Brutus, el Guardián","บรูตัส เจ้าพัศดี","典獄長布魯特斯","Metadata/NPC/NPC","","","Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","典獄長布魯特斯",1,[],[],-20501,"","","",1,"","M","",0
8,"Metadata/NPC/Act1/Merveil","Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","莫薇兒","Metadata/NPC/NPC","","","","","","","","","","","","",1,[],[],20647,"","","",1,"","F","",0
9,"Metadata/NPC/Act2/Eramir","Eramir","Éramir","Eramir","エラミール","에라미어","Eramir","Эрамир","Eramir","เอระเมียร์","艾米爾","Metadata/NPC/NPC","","","","","","","","","","","","",2,[6],[7],5275,"","",1,1,"","M","",0
10,"Metadata/NPC/Act2/Yeena","Yeena","Yeena","Yeena","イーナ","이이나","Yeena","Йина","Yeena","ยีนา","伊娜","Metadata/NPC/NPC","","","","","","","","","","","","",2,[8],[9],66,"","",1,1,12,"F","",0
11,"Metadata/NPC/Act2/Greust","Greust","Greust","Greust","グルースト","그루스트","Greust","Груст","Greust","กรูสท์","古斯特","Metadata/NPC/NPC","","","","","","","","","","","","",2,[10],[11],-5225,"","",1,1,1,"M","",0
12,"Metadata/NPC/Act2/Silk","Silk","Fil-de-soie","Silk","シルク","실크","Silk","Шёлк","Silk","ซิลค์","斯克","Metadata/NPC/NPC","","","","","","","","","","","","",2,[12],[],-5272,"","",1,1,46,"M","",0
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira","Alira","Alira","Alira","アリーラ","알리라","Alira","Алира","Alira","อลิร่า","阿莉亞","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],-12674,"","",1,1,"","F","",0
14,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAliraGauntlet","Alira","Alira","Alira","アリーラ","알리라","Alira","Алира","Alira","อลิร่า","阿莉亞","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],26844,"","",1,1,"","F","",0
15,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraityn","Kraityn","Kraityn","Kraityn","クレイティン","크레이틴","Kraityn","Крайтин","Kraityn","เครทิน","克雷頓","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],22072,"","",1,1,"","M","",0
16,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderKraitynGauntlet","Kraityn","Kraityn","Kraityn","クレイティン","크레이틴","Kraityn","Крайтин","Kraityn","เครทิน","克雷頓","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],-1007,"","",1,1,"","M","",0
17,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderOak","Oak","Orme","Oak","オーク","오크","Oak","Дуб","Oak","โอ๊ค","歐克","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],6319,"","",1,1,"","M","",0
18,"Metadata/Monsters/LeagueAffliction/AfflictionDemonBossPhysicalWildOakGauntlet","Definitely Oak","Orme","Oak","間違いなくオーク","확실히 참나무","Definitivamente Oak","Однозначно Дуб","Definitivamente Oak","โอ๊คแน่ๆ","肯定是歐克","Metadata/NPC/NPC","","","","","","","","","","","","",2,[],[],-9403,"","",1,1,"","M","",0
19,"Metadata/NPC/Act3/Hargan","Hargan","Hargan","Hargan","ハーガン","하간","Hargan","Харган","Hargan","ฮาร์แกน","賀根","Metadata/NPC/NPC","","","","","","","","","","","","",3,[14],[15],-10828,"","",1,1,2,"M","",0
20,"Metadata/NPC/Act3/Dialla","Lady Dialla","Dame Dialla","Dialla","レディーディアーラ","디알라 부인","Lady Dialla","Госпожа Диалла","Lady Dialla","ท่านหญิงดิอัลล่า","達拉夫人","Metadata/NPC/NPC","","","Dialla","Dialla","Dialla","ディアーラ","디알라","Dialla","Диалла","Dialla","ดิอัลล่า","達拉夫人",3,[16],[17],12298,"","",1,1,"","F","",0
21,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Dame Dialla","Dialla","レディーディアーラ","디알라 부인","Lady Dialla","Госпожа Диалла","Lady Dialla","ท่านหญิงดิอัลล่า","達拉夫人","Metadata/NPC/NPC","","","Dialla","Dialla","Dialla","ディアーラ","디알라","Dialla","Диалла","Dialla","ดิอัลล่า","達拉夫人",3,[16],[],1838,"","",1,1,"","F","",0
22,"Metadata/NPC/Act3/Maramoa","Maramoa","Maramoa","Maramoa","マラモア","마라모아","Maramoa","Марамоа","Maramoa","มารามัว","馬拉莫","Metadata/NPC/NPC",843,"","","","","","","","","","","",3,[18],[19],20488,"","",1,1,46,"F","",0
23,"Metadata/NPC/Act3/Grigor","Grigor","Grigor","Grigor","グリゴー","그리고어","Grigor","Григор","Grigor","กริกอร์","葛里戈","Metadata/NPC/NPC","","","","","","","","","","","","",3,[20],[21],-7646,"","",1,1,"","M","",0
24,"Metadata/NPC/Act3/ClarissaTown","Clarissa","Clarissa","Clarissa","クラリッサ","클라리사","Clarissa","Кларисса","Clarissa","แคลร์ริสซา","卡爾麗莎","Metadata/NPC/NPC","","","","","","","","","","","","",3,[22],[23],32620,"","",1,1,13,"F","",0
25,"Metadata/NPC/Act3/ClarissaSlums","Clarissa","Clarissa","Clarissa","クラリッサ","클라리사","Clarissa","Кларисса","Clarissa","แคลร์ริสซา","卡爾麗莎","Metadata/NPC/NPC","","","","","","","","","","","","",3,[],[],-7194,"","",1,1,"","F","",0
26,"Metadata/NPC/Info/PrisonDiary","Shavronne's Journal","Journal de Shavronne","Shavronnes Tagebuch","シャヴロンの日誌","샤브론의 일지","Diário de Shavronne","Дневник Шавронн","Diario de Shavronne","บันทึกของแชฟรอนน์","薛朗的日記","Metadata/NPC/Info/StoryGlyphBase",542,"","","","","","","","","","","",1,[],[],10734,"","","",1,"","","",0
27,"Metadata/NPC/Act2/HelenaTown","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"","","","","","","","","","",2,[24],[25],18941,"","",1,1,"","F","",0
28,"Metadata/NPC/Act2/HelenaSins","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"","","","","","","","","","",2,[],[],22927,"","",1,1,"","F","",0
29,"Metadata/NPC/Act3/Siosa","Siosa","Siosa","Siosa","シオサ","시오사","Siosa","Сиоса","Siosa","ซิโอซา","薩歐賽","Metadata/NPC/NPC",844,"","","","","","","","","","","",3,[26],[27],4688,"","",1,1,34,"M","",0
30,"Metadata/NPC/Act3/Fairgraves","Captain Fairgraves","Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長","Metadata/NPC/NPC","","","Fairgraves","Fairgraves","Fairgraves","フェアグレーヴズ","페어그레이브즈","Fairgraves","Фейргрейвс","Fairgraves","แฟร์เกรฟส์","費爾船長",3,[28],[],-31106,"","",1,1,"","M","",0
31,"Metadata/NPC/Piety","Piety","Piété","Piety","パイエティ","파이어티","Piety","Вера","Piedad","พายตี้","派蒂","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],26069,"","",1,1,"","F","",0
32,"Metadata/NPC/Gravicius","Gravicius","Gravicius","Gravicius","グラヴィシウス","그라비시우스","Gravicius","Гравиций","Gravicius","กราวิเชียส","格拉維奇","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],4169,"","",1,1,"","M","",0
33,"Metadata/NPC/Dominus","Dominus","Dominus","Dominus","ドミナス","도미누스","Dominus","Владыка","Dóminus","โดมินัส","神主","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],1936,"","",1,1,"","M","",0
34,"Metadata/NPC/Act4/Kaom","King Kaom","Roi Kaom","König Kaom","カオム王","카옴 왕","Rei Kaom","Вождь Каом","Rey Kaom","กษัตริย์คอมม์","岡姆王","Metadata/NPC/NPC","","","Kaom","Kaom","Kaom","カオム","카옴","Kaom","Каом","Kaom","คอมม์","岡姆",0,[],[],-17963,"","","",1,"","M","",0
35,"Metadata/NPC/Act4/Maligaro","Maligaro, the Inquisitor","Maligaro, l'Inquisiteur","Maligaro der Inquisitor","審問官、マリガロ","이단심문관 말리가로","Maligaro, o Inquisidor","Дознаватель Малигаро","Malígaro, el Inquisidor","มาลิกาโร ผู้ไต่สวน","審判者馬雷葛蘿","Metadata/NPC/NPC","","","Maligaro","Maligaro","Maligaro","マリガロ","말리가로","Maligaro","Мелвавий","Malígaro","มาลิกาโร","馬雷葛蘿",0,[],[],-15572,"","","",1,"","M","",0
36,"Metadata/NPC/Act4/Shavronne","Shavronne","Shavronne","Shavronne","シャヴロン","샤브론","Shavronne","Шавронн","Shavronne","แชฟรอนน์","薛朗","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],17132,"","","",1,"","F","",0
