"rownum","Id","Tag","DisableDrops","MoreLikely","Count","rid_72"
0,"Bestiary",1109,"",21614,20482,""
1,"Breach",1102,20156,21615,20483,""
2,"Maps",1110,"",19973,20484,""
3,"Uniques",1111,"",19974,20485,""
4,"DivinationCards",1112,"",21616,20486,""
5,"Torment",1113,"",19971,20487,""
6,"Strongbox",1114,"",19972,20488,""
7,"Harbinger",1115,"",19977,20489,""
8,"Legion",1106,20160,21617,20490,""
9,"Delve",1116,"",21618,20491,""
10,"Blight",1101,20155,21619,20492,""
11,"Abyss",1100,20154,21620,20493,""
12,"Influence",1117,"",22811,20494,""
13,"Ultimatum",1108,20162,21621,20503,""
14,"Anarchy",1118,"",19976,20495,""
15,"Misc",1119,"","",20496,""
16,"Delirium",1103,20157,21622,20497,""
17,"Ritual",1107,20161,21623,20499,""
18,"Harvest",1105,20159,21624,20500,""
19,"Domination",1120,"",19975,20501,""
20,"Betrayal",1121,"",21625,20502,""
21,"Essence",1122,"",19970,20504,""
22,"Incursion",1123,"",21626,20506,""
23,"Beyond",1124,"",19969,20498,""
24,"Expedition",1104,20158,21627,20505,""
25,"Uber",1134,"","",20507,""
26,"Settlers",1125,21214,21628,21215,""
27,"Mercenaries",1359,22895,22876,22896,""
