"rownum","ModsKey","i32_16","i32_20","i32_24"
0,23431,2,9,0
1,23432,10,14,0
2,23433,1,10,100
3,23441,11,15,50
4,23434,2,9,0
5,23435,1,10,50
6,23436,11,15,100
7,23347,11,15,10
8,23348,11,15,10
9,23349,11,15,10
10,23350,10,14,0
11,23351,15,30,0
12,23352,10,14,0
13,23353,15,30,0
14,23354,10,14,0
15,23355,15,30,0
16,23356,1,10,20
17,23357,11,15,20
18,23358,1,10,35
19,23359,11,15,35
20,23360,5,9,0
21,23361,1,10,50
22,23362,11,15,50
23,23363,2,9,0
24,23364,1,5,25
25,23365,6,10,25
26,23446,11,15,25
27,23366,5,9,0
28,23367,1,5,25
29,23368,6,15,25
30,23369,5,9,0
31,23370,1,10,25
32,23371,11,15,25
33,23372,2,9,0
34,23373,1,5,25
35,23374,6,10,25
36,23447,11,15,25
37,23375,5,9,0
38,23376,1,10,25
39,23377,11,15,25
40,23378,5,9,0
41,23379,1,10,25
42,23380,11,15,25
43,23381,2,9,0
44,23382,1,5,25
45,23383,6,10,25
46,23444,11,15,25
47,23384,5,9,0
48,23385,1,10,25
49,23386,11,15,25
50,23387,5,9,0
51,23388,1,10,25
52,23389,11,15,25
53,23390,2,9,0
54,23391,1,5,25
55,23392,6,10,25
56,23445,11,15,25
57,23393,1,5,25
58,23394,6,10,25
59,23395,11,15,25
60,23396,1,5,25
61,23397,6,10,25
62,23398,11,15,25
63,23399,1,9,0
64,23400,1,5,25
65,23401,6,10,25
66,23448,11,15,25
67,23402,3,5,0
68,23403,6,10,0
69,23404,11,15,0
70,23405,6,10,20
71,23406,11,15,20
72,23407,1,5,20
73,23408,6,10,20
74,23409,11,15,20
75,23410,3,5,10
76,23411,6,10,10
77,23412,11,15,10
78,23413,2,9,0
79,23414,1,10,100
80,23415,11,15,100
81,23416,6,10,25
82,23417,11,15,25
83,23418,6,10,25
84,23419,11,15,25
85,23420,6,10,25
86,23421,11,15,25
87,23422,6,10,0
88,23423,11,15,0
89,23424,3,5,10
90,23425,6,10,10
91,23443,11,15,10
92,23426,6,10,10
93,23427,11,15,10
94,23428,3,5,30
95,23429,6,10,30
96,23430,11,15,30
97,23437,2,9,0
98,23438,3,5,40
99,23439,6,10,40
100,23442,11,15,40
