"rownum","Id","i32_8","rid_12","Description","bool_44"
0,"BottledUniqueBelt",0,"",256,""
1,"BottledUniqueBeltHardmode",0,"",256,1
2,"BottledUniqueJewel",0,"",257,""
3,"BottledUniqueRing",0,"",258,""
4,"BottledUniqueAmulet",0,"",259,""
5,"BottledUniqueFlask",0,"",260,""
6,"BottledHinekorasLock",0,"",261,""
7,"BottledFracturingOrb",0,"",262,""
8,"BottledDivineOrb",0,"",263,""
9,"BottledDivineOrbStack",0,"",264,""
10,"BottledReflectingMist",0,"",265,""
11,"BottledStackedDeckStack",0,"",266,""
12,"BottledBrokenMirror",0,"",267,""
13,"BottledAlbinoCrabClaw",0,"",268,""
14,"BottledChainHookOfAngling",0,"",269,""
15,"BottledUniqueJewelHardMode",0,"",257,1
16,"BottledUniqueRingHardMode",0,"",258,1
17,"BottledUniqueAmuletHardMode",0,"",259,1
18,"BottledUniqueFlaskHardMode",0,"",260,1
19,"BottledHinekorasLockHardMode",0,"",261,1
20,"BottledFracturingOrbHardMode",0,"",262,1
21,"BottledDivineOrbHardMode",0,"",263,1
22,"BottledReflectingMistHardMode",0,"",265,1
23,"BottledBrokenMirrorHardMode",0,"",267,1
24,"BottledAlbinoCrabClawHardMode",0,"",268,1
25,"BottledChainHookOfAnglingHardMode",0,"",269,1
