"rownum","Metadata","AreaLevel","SpawnsMonsters","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","bool_63","bool_64","bool_65","i32_66","i32_70","i32_74","i32_78","rid_82","bool_98","bool_99","Script1","bool_108","bool_109","Script2","[i32]_118","i32_134","i32_138","i32_142","i32_146","i32_150","i32_154","i32_158","i32_162"
0,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",1,"[7439,7441,7443,7452]",500,0,0,6000,8000,0,0,256,"",1,"","","","",1,5,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
1,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",10,"[7439,7441,7443,7452]",500,0,0,5500,7500,0,0,256,"",1,"","","","",1,5,5,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
2,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",20,"[7439,7441,7443,7452]",500,0,0,5000,7000,0,0,256,"",1,"","","","",1,5,10,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
3,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",30,"[7439,7441,7443,7452]",500,0,0,4500,6500,0,0,256,"",1,"","","","",1,5,15,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
4,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",40,"[7439,7441,7443,7452]",500,0,0,4000,6000,0,0,256,"",1,"","","","",1,5,20,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
5,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",50,"[7439,7441,7443,7452]",500,0,0,3750,5750,0,0,256,"",1,"","","","",1,5,25,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
6,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",60,"[7439,7441,7443,7452]",500,0,0,3500,5500,0,0,256,"",1,"","","","",1,5,25,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
7,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",70,"[7439,7441,7443,7452]",500,0,0,3250,5250,0,0,256,"",1,"","","","",1,5,25,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
8,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier1_1",80,"[7439,7441,7443,7452]",500,0,0,3000,5000,0,0,256,"",1,"","","","",1,5,30,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"",[],0,0,0,0,100,100,1,1
9,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",1,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
10,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",10,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
11,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",20,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
12,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",30,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
13,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",40,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
14,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",50,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
15,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",60,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
16,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",70,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
17,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounterTier2_1",80,"[7445,7453]",500,0,0,8000,10000,0,0,256,"",1,"","","","",1,1,0,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );",1,1,"","[3,1]",0,0,0,0,20,20,1,1
18,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",1,"[7439,7441,7443]",180,0,0,300,500,0,0,256,"",1,"","","","",4,4,15,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0,4,4,1,1
19,"Metadata/Monsters/LeagueBetrayal/AssassinationSpawners/AssassinationEncounter_Safehouse",20,"[7439,7441,7443]",180,0,0,300,500,0,0,256,"",1,"","","","",6,6,15,0,"","","","triggerer.AddBuff( kitava_heart_damage_taken, 3, -90, 0, 1500 );","",1,"",[],0,0,0,0,6,6,1,1
