"rownum","string_0","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool_72","WorldAreasKeys","Ruleset"
0,"IIQGrind",[],[1040],"[10773,11065,11699]",[],1,[0],[]
1,"TierGrind",[],[10159],[11389],[],1,[0],[]
2,"LeaguestoneGrind",[10],[],[],[],1,[0],[]
3,"Twinned",[3],[],[],[28],1,[0],[]
4,"RareUnid","[1,4]",[],[],[27],1,[0],[]
5,"Rare8Mod","[1,8]",[],[],[],1,[0],[]
6,"Rare8ModRed","[1,8,18]",[],"[10271,9525,9716]",[],1,[0],[]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0],[]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0],[]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0],[]
10,"ZanaMod",[11],[],[],[],1,[0],[]
11,"CraftedMods",[12],[],[],[],1,[0],[]
12,"Corrupted",[5],[],[],[],1,[0],[]
13,"AnySextant",[23],[],[],[],1,[0],[]
14,"NemesisSextant",[24],[],[],[],1,[0],[]
15,"GroundHasteSextant",[25],[],[],[],1,[0],[]
16,"NoReflectSextant",[26],[],[],[],1,[0],[]
17,"ExtraTeamMonstersSextant",[27],[],[],[],1,[0],[]
18,"BodyguardsSextant",[28],[],[],[],1,[0],[]
19,"BarrelSextant","[29,30,31,32,33,34]",[],[],[],"",[0],[]
20,"ConvertOnDeathSextant",[35],[],[],[],1,[0],[]
21,"OnslaughtIfHitRecentlySextant",[36],[],[],[],1,[0],[]
22,"QualityAffectsRaritySextant",[37],[],[],[],1,[0],[]
23,"CorruptedDropsSextant",[38],[],[],[],1,[0],[]
24,"MinStrongboxRaritySextant",[39],[],[],[],1,[0],[]
25,"PossessedRustedScarabSextant",[40],[],[],[],1,[0],[]
26,"PossessedPolishedScarabSextant",[41],[],[],[],1,[0],[]
27,"PossessedGildedScarabSextant",[42],[],[],[],1,[0],[]
28,"PossessedUniqueDropSextant",[44],[],[],[],1,[0],[]
29,"PossessedMapDropSextant",[45],[],[],[],1,[0],[]
30,"ShrineDurationSextant",[46],[],[],[],1,[0],[]
31,"CurrencyShardSextant",[47],[],[],[],1,[0],[]
32,"VaalMonstersSextant",[48],[],[],[],1,[0],[]
33,"BeyondSextant",[49],[],[],[],1,[0],[]
34,"TormentBetrayersSextant",[50],[],[],[],1,[0],[]
35,"TormentHereticsSextant",[51],[],[],[],1,[0],[]
36,"TormentGraverobbersSextant",[52],[],[],[],1,[0],[]
37,"CorruptEssenceSextant",[53],[],[],[],1,[0],[]
38,"LegionSextant","[23,55]",[],[],[],1,[0],[]
39,"Tempest",[54],[],[],[],1,[0],[]
40,"Total10Mods",[9],[],[1023],[],1,[0],[]
41,"HasQuality",[56],[],[],[],1,[0],[]
42,"RareDeliriumMap","[1,57]",[],[],[],1,[0],[]
43,"RareDeliriumMapMaxDelirium","[1,58]",[],[7101],[],1,[0],[]
44,"RareDeliriumMapMaxDelirium4ModsTier16","[1,58,6,21]",[],[8782],[],1,[0],[]
45,"TwinnedMapMaxDelirium","[3,58]",[],[],[],1,[0],[]
46,"RareMapAwakening8MaxDelirium","[1,59,58]",[],[],[],1,[0],[]
47,"ElderGuardianMapMaxDelirium","[60,58]",[],[],[],1,[0],[]
48,"8ModBlightedMap","[61,75,8]",[],[8947],[],1,[0],[]
49,"UniqueMap_HallOfGrandmasters",[],[],"[4219,11604]",[],1,"[1009,874,798,1207]",[]
50,"UniqueMap_WhakawairuaTuahu",[],[],"[11015,8365,8815,9007,11303,11596]",[],1,"[978,887,809,1119]",[]
51,"UniqueMap_VinktarSquare",[],[],"[4222,11016,8366,8816,9008,11304,11597]",[],1,"[1017,926,1173]",[]
52,"UniqueMap_VaultsOfAtziri",[],[],"[11006,8356,8806,8998,11294,11587]",[],1,"[954,861,784,1169]",[]
53,"UniqueMap_PutridCloister",[],[],"[11018,8368,8818,9010,11306,11599]",[],1,"[956,1192]",[]
54,"UniqueMap_PoorjoysAsylum",[],[],"[11010,8360,8810,9002,11298,11591]",[],1,"[1013,884,806,1189]",[]
55,"UniqueMap_PerandusManor",[],[],[],[],1,"[1025,915,1121]",[]
56,"UniqueMap_OlmecsSanctum",[],[],"[11013,8363,8813,9005,11301,11594]",[],1,"[985,892,825,1159]",[]
57,"UniqueMap_ObasCursedTrove",[],[],"[11012,8362,8812,9004,11300,11593]",[],1,"[1029,894,814,1226]",[]
58,"UniqueMap_MaoKun",[],[],"[11011,8361,8811,9003,11299,11592]",[],1,"[1011,863,786,1176]",[]
59,"UniqueMap_MaelstromOfChaos",[],[],"[11007,8357,8807,8999,11295,11588]",[],1,"[996,854,777,1147]",[]
60,"UniqueMap_HallowedGround",[],[],"[11019,8369,8819,9011,11307,11600]",[],1,"[938,1149]",[]
61,"UniqueMap_DeathAndTaxes",[],[],"[11014,8364,8814,9006,11302,11595]",[],1,"[1035,910,829,1228]",[]
62,"UniqueMap_CowardsTrial",[],[],"[11008,8358,8808,9000,11296,11589]",[],1,"[1003,842,764,1204]",[]
63,"UniqueMap_CaerBlaidd",[],[],"[11017,8367,8817,9009,11305,11598]",[],1,"[1022,877,1161]",[]
64,"UniqueMap_ActonsNightmare",[],[],"[11009,8359,8809,9001,11297,11590]",[],1,"[1007,869,793,1221]",[]
65,"UniqueMap_DoryanisMachinarium",[],[],"[11022,8372,8822,9014,11310,11603]",[],1,[1131],[]
66,"UniqueMap_TwilightTemple",[],[],"[11020,8370,8820,9012,11308,11601]",[],1,[1181],[]
67,"UniqueMap_PillarsOfArun",[],[],"[11021,8371,8821,9013,11309,11602]",[],1,[1157],[]
68,"VaalTemple",[],[],[],[],1,"[1065,933,840,1256]",[]
69,"TwinnedCaldera",[3],[],[],[],1,"[1055,936,1230]",[]
70,"TwinnedColosseum",[3],[],[],[],1,"[1056,937,1239]",[]
71,"TwinnedCore",[3],[],[],[],1,"[1057,935,1238]",[]
72,"TwinnedMalformation",[3],[],[],[],1,"[1018,908,1233]",[]
73,"TwinnedMaze",[3],[],[],[],1,"[1049,932,824,1130]",[]
74,"TwinnedMuseum",[3],[],[],[],1,"[1004,866,789,1191]",[]
75,"TwinnedNecropolis",[3],[],[],[],1,"[1034,909,828,1227]",[]
76,"TwinnedPalace",[3],[],[],[],1,"[1051,929,838,1245]",[]
77,"TwinnedPark",[3],[],[],[],1,[1232],[]
78,"TwinnedPhantasmagoria",[3],[],[],[],1,"[960,875,1141]",[]
79,"TwinnedPlaza",[3],[],[],[],1,"[1045,934,1243]",[]
80,"TwinnedScriptorium",[3],[],[],[],1,"[1046,1193]",[]
81,"TwinnedShrine",[3],[],[],[],1,"[1052,930,836,1235]",[]
82,"TwinnedTortureChamber",[3],[],[],[],1,"[1028,893,813,1225]",[]
83,"TwinnedWasteland",[3],[],[],[],1,"[1031,924,1199]",[]
84,"TwinnedAcademy",[3],[],[],[],1,"[955,918,834,1142]",[]
85,"TwinnedCarcass",[3],[],[],[],1,[1250],[]
86,"TwinnedTribunal",[3],[],[],[],1,[1151],[]
87,"TwinnedBoneCrypt",[3],[],[],[],1,"[984,891,790,1158]",[]
88,"TwinnedSepulchre",[3],[],[],[],1,[1182],[]
89,"TwinnedLair",[3],[],[],[],1,"[1041,1208]",[]
90,"TwinnedOvergrownShrine",[3],[],[],[],1,"[1006,868,792,1220]",[]
91,"TwinnedArsenal",[3],[],[],[],1,"[1015,923,774,1236]",[]
92,"TwinnedAcidLakes",[3],[],[],[],1,"[957,1240]",[]
93,"TwinnedCrimsonTemple",[3],[],[],[],1,[1242],[]
94,"TwinnedLookout",[3],[],[],[],1,[1095],[]
95,"TwinnedStrand",[3],[],[],[],1,"[977,886,808,1118]",[]
96,"TwinnedSpiderLair",[3],[],[],[],1,"[970,859,782,1136]",[]
97,"TwinnedJungleValley",[3],[],[],[],1,"[942,897,817,1140]",[]
98,"TwinnedVaalPyramid",[3],[],[],[],1,"[953,860,783,1168]",[]
99,"TwinnedOrchard",[3],[],[],[],1,"[1005,903,772,1205]",[]
100,"TwinnedSpiderForest",[3],[],[],[],1,"[976,872,796,1211]",[]
101,"TwinnedFactory",[3],[],[],[],1,"[944,1214]",[]
102,"TwinnedMesa",[3],[],[],[],1,"[966,1215]",[]
103,"TwinnedCastleRuins",[3],[],[],[],1,"[983,922,1222]",[]
104,"TwinnedMoonTemple",[3],[],[],[],1,[1180],[]
105,"TwinnedDarkForest",[3],[],[],[],1,"[1058,901,821,1241]",[]
106,"TwinnedTemple",[3],[],[],[],1,"[1012,883,805,1188]",[]
107,"TwinnedShipyard",[3],[],[],[],1,"[1039,920,835,1196]",[]
108,"TwinnedCursedCrypt",[3],[],[],[],1,"[1002,841,763,1203]",[]
109,"TwinnedPrimordialPool",[3],[],[],[],1,"[969,1210]",[]
110,"TwinnedPit",[3],[],[],[],1,"[967,846,1216]",[]
111,"TwinnedVilla",[3],[],[],[],1,"[961,882,804,1224]",[]
112,"TwinnedRacecourse_",[3],[],[],[],1,"[974,1229]",[]
113,"TwinnedGhetto",[3],[],[],[],1,"[945,858,781,1231]",[]
114,"TwinnedCitySquare",[3],[],[],[],1,[1115],[]
115,"TwinnedPeninsula",[3],[],[8009],[],1,"[964,902,822,1110]",[]
116,"TwinnedVolcano",[3],[],[],[],1,"[1054,913,1124]",[]
117,"TwinnedArena",[3],[],[],[],1,"[991,867,1190]",[]
118,"TwinnedPort",[3],[],[],[],1,"[1019,1111]",[]
119,"TwinnedPrecinct",[3],[],[],[],1,"[1027,917,833,1200]",[]
120,"TwinnedPlateau",[3],[],[],[],1,"[1036,911,830,1185]",[]
121,"TwinnedCanyon",[3],[],[],[],1,"[972,900,820,1126]",[]
122,"TwinnedCourthouse",[3],[],[],[],1,[1117],[]
123,"TwinnedBurialChambers",[3],[],[8196],[],1,"[963,1112]",[]
124,"T10HellscapeMaps",[63],[],[8391],[],1,[0],[]
125,"AoEMinotaur",[64],[],[8384],[],1,"[1063,1254]",[]
126,"MinusMaxPhoenix",[65],[],[8385],[],1,"[1062,1253]",[]
127,"FleetChimera","[67,68,69]",[],[8386],[],1,"[1060,1251]",[]
128,"MultiProjHydra",[66],[],[8387],[],1,"[1061,1252]",[]
129,"SynthesisUniqueMapCortex",[],[],[8413],[],1,[458],[]
130,"SynthesisUniqueMapMemory1",[],[],[8413],[],1,[459],[]
131,"SynthesisUniqueMapMemory2",[],[],[8413],[],1,[460],[]
132,"SynthesisUniqueMapMemory3",[],[],[8413],[],1,[461],[]
133,"SynthesisUniqueMapMemory4",[],[],[8413],[],1,[462],[]
134,"MapWith4SextantMods",[70],[],[8645],[],1,[0],[]
135,"TangleInfluenceMap",[71],[],[8528],[],1,[0],[]
136,"CleansingFireInfluenceMap",[72],[],[8526],[],1,[0],[]
137,"WrithingInvitation5ModsHeightOfHubris","[7,73]",[],[8792],[],1,[1298],[]
138,"ScreamingInvitation5ModsHeightOfHubris","[7,73]",[],[8793],[],1,[1301],[]
139,"PolaricInvitation5ModsHeightOfHubris","[7,73]",[],[8794],[],1,[1299],[]
140,"IncandescentInvitation5ModsHeightOfHubris","[7,73]",[],[8795],[],1,[1300],[]
141,"EaterOfWorldsWith70PercentBossAoE",[74],[],[8858],[],1,[1301],[]
142,"5ModBlightRavagedMap","[7,62,75,5]",[],[8948],[],1,[0],[]
143,"MapExplicitModGrind",[],[4566],[11639],[],1,[0],[]
144,"T168ModMap","[8,21,1,5]",[],[11692],[],1,[0],[]
145,"FinalTier14PlusAbyssMemoryLineMap","[78,79,81]",[],[9044],[],1,[0],[]
146,"FinalTier14PlusAmbushMemoryLineMap","[78,79,82]",[],[9039],[],1,[0],[]
147,"FinalTier14PlusAnarchyMemoryLineMap","[78,79,83]",[],[],[],1,[0],[]
148,"FinalTier14PlusBestiaryMemoryLineMap","[78,79,84]",[],[],[],1,[0],[]
149,"FinalTier14PlusBetrayalMemoryLineMap","[78,79,85]",[],[],[],1,[0],[]
150,"FinalTier14PlusBlightMemoryLineMap","[78,79,86]",[],[],[],1,[0],[]
151,"FinalTier14PlusBreachMemoryLineMap","[78,79,87]",[],[9042],[],1,[0],[]
152,"FinalTier14PlusDeliriumMemoryLineMap","[78,79,88]",[],[],[],1,[0],[]
153,"FinalTier14PlusDominationMemoryLineMap","[78,79,89]",[],[],[],1,[0],[]
154,"FinalTier14PlusEssenceMemoryLineMap","[78,79,90]",[],[9035],[],1,[0],[]
155,"FinalTier14PlusExpeditionMemoryLineMap","[78,79,91]",[],[],[],1,[0],[]
156,"FinalTier14PlusHarvestMemoryLineMap","[78,79,92]",[],[9037],[],1,[0],[]
157,"FinalTier14PlusHeistMemoryLineMap","[78,79,93]",[],[],[],1,[0],[]
158,"FinalTier14PlusIncursionMemoryLineMap","[78,79,94]",[],[9040],[],1,[0],[]
159,"FinalTier14PlusLegionMemoryLineMap","[78,79,95]",[],[],[],1,[0],[]
160,"FinalTier14PlusMetamorphMemoryLineMap","[78,79,96]",[],[],[],1,[0],[]
161,"FinalTier14PlusRitualMemoryLineMap","[78,79,97]",[],[],[],1,[0],[]
162,"FinalTier14PlusTormentMemoryLineMap","[78,79,98]",[],[9043],[],1,[0],[]
163,"FinalTier14PlusHarbingerMemoryLineMap","[78,79,99]",[],[9045],[],1,[0],[]
164,"Tier16AbyssMemoryLineMap","[21,81,78,102]",[],[9667],[],1,[0],[]
165,"Tier16AmbushMemoryLineMap","[21,82,78,102]",[],[9668],[],1,[0],[]
166,"Tier16AnarchyMemoryLineMap","[21,83,78,102]",[],[9104],[],1,[0],[]
167,"Tier16BestiaryMemoryLineMap","[21,84,78,102]",[],[9669],[],1,[0],[]
168,"Tier16BetrayalMemoryLineMap","[21,85,78,102]",[],[9104],[],1,[0],[]
169,"Tier16BlightMemoryLineMap","[21,86,78,102]",[],[9104],[],1,[0],[]
170,"Tier16BreachMemoryLineMap","[21,87,78,102]",[],[9670],[],1,[0],[]
171,"Tier16DeliriumMemoryLineMap","[21,88,78,102]",[],[9104],[],1,[0],[]
172,"Tier16DominationMemoryLineMap","[21,89,78,102]",[],[9671],[],1,[0],[]
173,"Tier16EssenceMemoryLineMap","[21,90,78,102]",[],[9672],[],1,[0],[]
174,"Tier16ExpeditionMemoryLineMap","[21,91,78,102]",[],[9104],[],1,[0],[]
175,"Tier16HarvestMemoryLineMap","[21,92,78,102]",[],[9674],[],1,[0],[]
176,"Tier16HeistMemoryLineMap","[21,93,78,102]",[],[9104],[],1,[0],[]
177,"Tier16IncursionMemoryLineMap","[21,94,78,102]",[],[9675],[],1,[0],[]
178,"Tier16LegionMemoryLineMap","[21,95,78,102]",[],[9104],[],1,[0],[]
179,"Tier16MetamorphMemoryLineMap","[21,96,78,102]",[],[9104],[],1,[0],[]
180,"Tier16RitualMemoryLineMap","[21,97,78,102]",[],[9104],[],1,[0],[]
181,"Tier16TormentMemoryLineMap","[21,98,78,102]",[],[9676],[],1,[0],[]
182,"Tier16HarbingerMemoryLineMap","[21,99,78,102]",[],[9673],[],1,[0],[]
183,"MavenWitnessT14Plus8ModMaps","[8,1,75]",[],[9235],[],1,[0],[113]
184,"MemoryAtlas100QuantityT14Plus","[80,102,75]",[],[9229],[],1,[0],[]
185,"Tier15Beachhead","[20,21]",[],[10157],[],"","[1259,1258,1094,1093,1092,1260]",[]
186,"WrithingInvitation70Quantity",[104],[],[11093],[],1,[1301],[]
187,"ScreamingInvitation70Quantity",[104],[],[11094],[],1,[1300],[]
188,"WrithingInvitation5Mods",[7],[],[11668],[],1,[1301],[]
189,"ScreamingInvitation5Mods",[7],[],[11668],[],1,[1300],[]
190,"PolaricVoid5Mods",[7],[],[11668],[],1,[1299],[]
191,"SeethingChime5Mods",[7],[],[11668],[],1,[1298],[]
192,"PolaricInvitation80Quantity",[103],[],[9243],[],1,[1299],[]
193,"IncandescentInvitation80Quantity",[103],[],[9696],[],1,[1300],[]
194,"MapPackSizeGrind",[],[1025],[9436],[],1,[0],[]
195,"SextantStrongboxes","[21,103,105,106]",[],[9443],[],1,[0],[]
196,"SextantBosses","[21,103,107,108]",[],[9442],[],1,[0],[]
197,"SextantPacks","[21,103,109,110]",[],[9444],[],1,[0],[]
198,"SextantGhostShrines1","[21,103,111,114]",[],[9445],[],1,[0],[]
199,"SextantGhostShrines2","[21,103,111,115]",[],[9445],[],1,[0],[]
200,"SextantGhostShrines3","[21,103,112,114]",[],[9445],[],1,[0],[]
201,"SextantGhostShrines4","[21,103,112,115]",[],[9445],[],1,[0],[]
202,"SextantGhostShrines5","[21,103,113,114]",[],[9445],[],1,[0],[]
203,"SextantGhostShrines6","[21,103,113,115]",[],[9445],[],1,[0],[]
204,"MapScarabTiers",[],[18656],[10031],[],1,[0],[]
205,"AtlasKiracMap",[119],[],[9440],[],1,[0],[]
