"rownum","Id","Value","Divisor"
0,"MonsterDamageReductionImprovement",670,100
1,"MonsterAccuracyBase",13,1
2,"MonsterAccuracyIncremental",38,1
3,"MonsterAccuracyImprovement",300,100
4,"MonsterEvasionBase",50,1
5,"MonsterEvasionIncremental",16,1
6,"MonsterEvasionIncrementalDexterity",16,1
7,"MonsterEvasionImprovement",212,100
8,"EnergyShieldRatioOfLife",40,1
9,"OldLeechModsEffectiveness",20,1
10,"AscendancyRespecCost",5,1
11,"SkillDamageBaseEffectiveness",3885209,1000000
12,"SkillDamageIncrementalEffectiveness",360246,1000000
13,"MaxHideoutDoodads",750,1
14,"PassiveTreeJewelDistanceMultiplier",120,100
15,"PartyQuantityBonusPerAdditionalPlayer",23,100
16,"PartyQuantityBonusPerAdditionalPlayerHardMode",53,100
17,"PartyRarityBonusPerAdditionalPlayer",0,100
18,"PartyRarityBonusPerAdditionalPlayerHardMode",0,100
19,"MercenaryPartyScalingValue",50,1
20,"SellPriceMultiplier",11,100
21,"UnidentifiedMagicMultiplier",125,100
22,"UnidentifiedRareMultiplier",250,100
23,"IdentifiedMagicMultiplier",100,100
24,"IdentifiedRareMultiplier",150,100
25,"PartyNormalMonsterLifePerAdditionalPlayer",50,1
26,"PartyMagicMonsterLifePerAdditionalPlayer",60,1
27,"PartyRareMonsterLifePerAdditionalPlayer",80,1
28,"PartyUniqueMonsterLifePerAdditionalPlayer",100,1
29,"AtlasPassiveRespecCost",2000,1
30,"GemGoldCostMultiplier",200,1
31,"ExceptionalGemGoldCostMultiplier",300,1
32,"AwakenedGemGoldCostMultiplier",400,1
33,"OverMaxLevelGemGoldCostMultiplier",150,1
34,"GoldPlusPercentPerInfluence",50,1
35,"GoldPlusPercentPerCorruption",50,1
36,"GoldPlusPercentPerQuality",2,1
37,"GoldPlusPercentPerAffix",10,1
38,"UniqueBaseGoldCost",2000,1
