"rownum","Id","BuffDefinitionsKey1","rid_24","StatValues","i32_56","[i32]_60","i32_76","i32_80","i32_84","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32_168","i32_172","i32_176","BuffDefinitionsKey2","IsOnlySpawningNearPlayer","PlayerBuffTemplate","MonsterBuffTemplate","bool_229"
0,"crit_storm",434,"","[1,0]",0,[],0,0,5000,"",81,623,463,"",0,0,10000,"","","","",""
1,"crit_storm_normal",434,"","[1,0]",0,[],0,0,8000,"",81,623,463,"",0,0,10000,"","","","",""
2,"uber_crit_storm",435,"","[1,1,0]",0,[],-55,0,5000,"",81,623,463,"",0,0,15000,"","","","",""
3,"replenishing_storm",436,"","[600,600]",0,[],-35,0,5000,"",78,620,460,"",0,0,2000,"","","","",""
4,"echoing_storm",437,"","[50,50,1]",0,[],0,0,8000,"",76,616,458,"",0,0,20000,"","","","",""
5,"divine_storm",438,"",[1],0,[],-35,0,5000,"",73,615,433,"",0,0,5000,"","","","",""
6,"rarity_storm",439,"","[2500,1250,120,30]",0,[],-15,0,5000,"",73,615,433,"",0,0,5000,"","","","",""
7,"uber_rarity_storm",440,"","[5000,2500,420,70]",0,[],-35,0,5000,"",73,615,433,"",0,0,5000,"","","","",""
8,"massive_storm",442,"","[30,-30,50,0]",0,[],-35,0,5000,"",75,617,457,"",0,0,20000,"","","","",""
9,"massive_storm_normal",442,"","[30,-30,50,0]",0,[],-35,0,8000,"",75,617,457,"",0,0,20000,"","","","",""
10,"tiny_storm",443,"","[-30,30,-50]",0,[],-35,0,5000,"",74,618,456,"",0,0,5000,"","","","",""
11,"tiny_storm_normal",443,"","[-30,30,-50]",0,[],-35,0,8000,"",74,618,456,"",0,0,5000,"","","","",""
12,"fire_damage_storm",444,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",83,625,466,"",0,0,20000,"","","","",""
13,"fire_damage_storm_normal",444,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",83,625,466,"",0,0,15000,"","","","",""
14,"cold_damage_storm",445,"","[50,50,100,0,0]",36,"[1,2,10]",-15,0,8000,"",82,624,465,"",0,0,20000,"","","","",""
