"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","ItemReference","ModReference"
0,"Test","Test","Test","Test","テスト","테스트","Teste","Test","Prueba","ทดสอบ","測試","This test case is designed to be overwitten by other content","Ce cas de test est conçu pour être remplacé par un autre contenu.","This test case is designed to be overwitten by other content","このテストケースはこの他のコンテンツに上書きされるようにデザインされている","이 테스트 케이스는 다른 콘텐츠로 덮어 쓰도록 만들어졌습니다.","Este teste é feito para ser substituído por outro conteúdo.","This test case is designed to be overwitten by other content","Este caso de prueba está diseñado sobrescribirse por otro contenido","กรณีทดสอบนี้มีไว้ให้แทนที่ด้วยเนื้อหาอื่น","此測試範例旨在被其他內容覆寫。","","","",""
1,"Intangibility","Intangibility","Intangibilité","Immaterialität","幽体化度","무형성","Intangibilidade","Неосязаемость","Intangibilidad","ความไร้รูป","無形性","When Allflame crafting, many crafts will apply \""Intangibility\"" to the resultant item, at a certain percentage. \r\n\r\nWhen then performing further Allflame crafts, there is a chance that Vesper will only be able to create one Ghostly Copy of the item, with that chance being equal to the Intangibility on the item being crafted upon.","Lors de l'Artisanat de l'Omniflamme, de nombreuses options d'artisanat appliquent un certain pourcentage d'« Intangibilité » à l'objet créé.\r\n\r\nLorsque vous effectuez d'autres opérations d'Artisanat de l'Omniflamme par la suite, il y a une chance que Vesper ne puisse créer qu'une seule Copie fantomatique de l'objet. Cette chance est égale au pourcentage d'Intangibilité présent sur l'objet utilisé pour l'artisanat.","Beim Anfertigen mit der Allflamme wenden viele Anfertigungsoptionen zu einem bestimmten Prozentsatz \""Immaterialität\"" auf den resultierenden Gegenstand an.\r\n\r\nWenn weitere Anfertigungen mit der Allflamme vorgenommen werden, gibt es eine Chance, dass Vesper nur eine geisterhafte Kopie des Gegenstands erzeugen kann. Diese Chance entspricht der Höhe der Immaterialität auf dem Gegenstand, der zum Anfertigen benutzt wird.","オールフレイムクラフト中に、多くのクラフトは一定のパーセンテージの「幽体化度」を結果としてできたアイテムに付与する。\r\n\r\nさらにオールフレイムクラフトを行うと、ヴェスパーは一定確率でアイテムの霊体形態を1個だけしか作成できないことがある。その確率はクラフト対象のアイテムが持つ「幽体化度」の値を同じ数値になる。","올플레임 제작에서는, 많은 제작이 결과물로 얻는 아이템에 일정 비율의 \""무형성\""을 적용합니다. \r\n\r\n그 후 올플레임 제작을 추가로 진행하면 베스퍼가 일정 확률로 해당 아이템의 실체 없는 복제본을 1개만 생성하며, 이 확률은 제작에 사용하는 아이템의 무형성과 동일합니다.","Ao criar com Omnichama, muitas criações conferem \""Intangibilidade\"" ao item final em uma porcentagem específica.\r\n \r\n Ao realizar criações subsequentes com Omnichama, existe a chance de Vesper criar apenas uma cópia fantasmagórica do item; essa probabilidade é equivalente à Intangibilidade do item que está sendo modificado.","В ремесле Всепламени многие виды ремесленной обработки будут накладывать определённый процент «неосязаемости» на результирующий предмет.\r\n\r\nПри последующей обработке Всепламенем есть шанс, что Веспер сможет создать только призрачную копию предмета, шанс чего равен неосязамости на обрабатываемом предмете.","Al usar la fabricación de la llama eterna, muchas fabricaciones aplicarán \""Intangibilidad\"" al objeto resultante, con un cierto porcentaje.\r\n\r\nAl realizar más fabricaciones de la llama eterna, hay una probabilidad de que Vesper solo pueda crear una copia fantasmal del objeto, y esa probabilidad será equivalente a la intangibilidad que tenga el objeto sobre el que se está fabricando.","เมื่อทำการคราฟท์ออลเฟลม การคราฟท์หลายอย่างจะทำให้ไอเทมที่ถูกคราฟท์ได้รับ \""ความไร้รูป\"" เพิ่มขึ้นเป็นเปอร์เซ็นต์\r\n\r\nเมื่อทำการคราฟท์ออลเฟลมอื่นๆ หลังจากนั้น เวสเปอร์จะมีโอกาสในการสร้างไอเทมสำเนาผีได้เพียงชิ้นเดียวเท่านั้น โอกาสนั้นเท่ากับความไร้รูปของไอเทมที่ถูกคราฟท์","當進行不滅之火工藝時，許多工藝會為產出的物品套用一定百分比的「無形性」。\r\n\r\n隨後進行更進一步的不滅之火工藝時，偉斯帕將有機率只能為該物品創造出一個幽魂複製品，而該機率等同於被施加工藝之物品上的無形性數值。","","","",""
2,"Phasing","Phasing","Déphasage","Schemenform","透明化","차원 능력","Forma Etérea","Форма призрака","Traspasar","ทะลุมิติ","迷蹤","While you have Phasing, your movement is not blocked by Enemies.","Tant que vous avez Déphasage, vos déplacements ne sont pas bloqués par les Ennemis.","Während der Charakter die Schemenform hat, kann dessen Bewegung nicht von Gegnern geblockt werden.","透明化を持っている間、移動が敵によって防がれなくなる。","\""차원 능력\"" 상태에서는 적에 의해 이동이 가로막히지 않습니다.","Enquanto tiver Forma Etérea, seu movimento não é bloqueado por inimigos.","В Форме призрака вы можете беспрепятственно проходить сквозь врагов.","Mientras tengas Traspasar, los enemigos no bloquearán tu movimiento.","เมื่อคุณมีสถานะ ทะลุมิติ คุณจะสามารถเดินผ่านศัตรูได้โดยไม่ถูกขัดขวาง","當你擁有迷蹤狀態時，你的移動不會被敵人阻擋。","","","",""
3,"ValourFunction","Valour","Vaillance","Heldenmut","勇猛","기백","Bravura","Доблесть","Valor","อาจหาญ","英勇值","Valour is gained while you have a Banner skill and augments the power of those skills.","La Vaillance est gagnée lorsque vous disposez d'une aptitude d'Étendard et augmente la puissance de ces aptitudes.","Der Charakter erhält Heldenmut, während eine Banner-Fertigkeit eingesetzt wird. Heldenmut erhöht außerdem die Stärke dieser Fertigkeiten.","バナースキルがある時に勇猛を獲得でき、そのスキルの能力を強くする","기백은 깃발 스킬을 보유한 동안 획득하며 깃발 스킬의 위력을 향상시킵니다.","Você obtém Bravura ao possuir uma habilidade de estandarte, e ela aumenta o poder dessas habilidades.","Доблесть накапливается, пока у вас есть умение знамён, и увеличивает силу таких умений.","El valor se gana mientras tengas una habilidad de estandarte y mejora el poder de esas habilidades.","อาจหาญ จะหามาได้ขณะที่คุณมี สกิลธง และเสริมพลังของสกิลเหล่านั้น","當你擁有鬥旗技能時可獲得勇氣，並用以增幅這些技能的效果。","","","",""
4,"ValourGain","Valour","Vaillance","Heldenmut","勇猛","기백","Bravura","Доблесть","Valor","อาจหาญ","英勇值","By default you gain 1 Valour on Melee Kill, or on Melee Hit against Rare or Unique enemies, no more than once every 0.5 seconds, up to a maximum of 50.","Par défaut, vous gagnez 1 de Vaillance en Tuant en Mêlée, ou en Touchant en Mêlée contre les ennemis Rares ou Uniques, pas plus d'une fois toutes les 0,5 seconde, jusqu'à un maximum de 50.","Standardmäßig erhält der Charakter 1 Heldenmut bei Nahkampftötung oder bei Nahkampftreffer gegen seltene oder einzigartige Gegner, nicht mehr als einmal alle 0,5 Sekunden, bis zu einem Maximum von 50.","デフォルトでは、近接キル時またはレアまたはユニーク敵への近接ヒット時に勇猛を1スタック獲得する。これは0.5秒に一度だけ起き、最大スタック数は50である","기본적으로 근접 처치 시 또는 희귀 적이나 고유 적 근접 명중 시 기백을 1 획득합니다. 기백은 0.5초마다 최대 1번, 최대 50까지 획득할 수 있습니다.","Por padrão, você ganha 1 de Bravura ao matar corpo a corpo ou ao atingir inimigos raros ou únicos corpo a corpo, no máximo uma vez a cada 0,5 segundo e até um limite de 50.","Изначально вы полуаете 1 доблести при убийстве в ближнем бою либо при ударе в ближнем бою по редкому или уникальному врагу, но не чаще одного раза каждые 0,5 секунды, вплоть до максимума в 50.","Por defecto ganas 1 de valor al matar cuerpo a cuerpo, o al impactar cuerpo a cuerpo a los enemigos raros o únicos, con un máximo de una vez cada 0.5 segundos y hasta un máximo de 50.","ปกติคุณจะได้รับสถานะ อาจหาญ 1 ระดับเมื่อสังหารประชิด หรือเมื่อปะทะ ประชิด ต่อ ศัตรูแรร์หรือยูนิค ได้ 1 ครั้งต่อ 0.5 วินาที สูงสุด 50 ระดับ","在默認情況下，你透過近戰擊殺、或是近戰擊中稀有或傳奇敵人時可獲得 1 點勇氣（每 0.5 秒最多觸發一次），勇氣上限最多可疊加至 50 點。","","","",""
5,"Enshroud","Enshrouded Item","Objet enveloppé","Ummantelter Gegenstand","エンシュラウドアイテム","휩싸인 아이템","Item Encoberto","Затуманенный предмет","Objeto envuelto","ไอเทมอำพราง","壟罩物品","Enshrouded items can be transformed in the Domain of Timeless Conflict to another Unique of the same item class, with a Vestigial implicit modifier derived from the Enshrouded item.\r\n\r\nTo transform an Enshrouded item place it in a Crystal of Permutation within the Domain of Timeless Conflict. Killing monsters in the Domain will charge the Enshrouded Item. When the Enshrouded item is fully charged it gains one [VariantRarity|Variant Rarity]. You can interact with the Crystal to drop the new item, or continue charging the item to gain more Variant Rarity, resulting in potentially rarer dropped items.","Les objets Enveloppés peuvent être transformés dans le Domaine du Conflit intemporel en un autre objet Unique de la même classe d'objet, doté d'un modificateur implicite Vestigial dérivé de l'objet Enveloppé.\r\n\r\nPour transformer un objet Enveloppé, placez-le dans un Cristal de permutation au sein du Domaine du Conflit intemporel. Tuer des monstres dans le Domaine chargera l'objet Enveloppé. Lorsque l'objet Enveloppé est entièrement chargé, vous pouvez interagir avec le Cristal pour faire tomber le nouvel objet au sol.","Ummantelte Gegenstände können im Reich des immerwährenden Krieges in einen anderen einzigartigen Gegenstand derselben Gegenstandsklasse umgewandelt werden, wobei ein spurenhafter impliziter Modifikator übernommen wird, der sich vom ummantelten Gegenstand ableitet.\r\n\r\nUm einen ummantelten Gegenstand umzuwandeln, muss dieser im Reich des immerwährenden Krieges in einen Kristall der Permutation gelegt werden. Das Töten von Monstern im Reich des immerwährenden Krieges lädt den ummantelten Gegenstand auf. Wenn der ummantelte Gegenstand vollständig aufgeladen ist, kann mit dem Kristall interagiert werden, um den neuen Gegenstand zu erhalten.","エンシュラウドアイテムはタイムレスコンフリクト領域で同じアイテムクラスの他のユニークに変化させることができ、結果としてできたユニークはエンシュラウドアイテムからモッドを1個痕跡暗黙モッドとして引き継ぐ。\r\n\r\nエンシュラウドアイテムを変異させるには、タイムレスコンフリクト領域の変異のクリスタルに入れればいい。その領域でモンスターを倒すとエンシュラウドアイテムにエネルギーがチャージされる。エンシュラウドアイテムが完全にチャージされた後にクリスタルとインタラクトすると新しいアイテムがドロップする。","휩싸인 아이템은 끝없는 분쟁의 영토에서 같은 아이템 종류의 다른 고유 아이템으로 변화시켜, 휩싸인 아이템에 있던 흔적 고정 속성 하나를 부여할 수 있습니다.\r\n\r\n변화시킬 휩싸인 아이템을 끝없는 분쟁의 영토에 있는 치환의 수정에 놓으십시오. 영토 내에서 몬스터를 처치하면 휩싸인 아이템이 충전됩니다. 휩싸인 아이템이 완전히 충전되었을 때 수정과 상호작용하면 새 아이템이 떨어집니다.","Itens encobertos podem ser transformados no Domínio do Conflito Sem Fim em outro item único da mesma classe, com um modificador implícito vestigial derivado do item encoberto.\r\n \r\nPara transformar um item encoberto, coloque-o em um Cristal de Permutação dentro do Domínio do Conflito Sem Fim. Derrotar monstros nesse domínio carregará o item. Quando estiver totalmente carregado, será possível interagir com o cristal para obter o novo item.","Затуманенные предметы можно преобразовать в другой уникальный предмет того же класса с вырожденным собственным свойством, взятым с затуманенного предмета.\r\n\r\nЧтобы преобразовать затуманенный предмет, поместите его в кристалл пермутации во Владениях вневременной войны. Убийство монстров во Владениях заряжает затуманенный предмет. Когда затуманенный предмет полностью заряжен, вы можете взаимодействовать с кристаллом пермутации, чтобы получить новый предмет.","Los objetos envueltos se pueden transformar en el Dominio de conflicto atemporal en otro objeto único de la misma clase de objeto, con un modificador implícito vestigial derivado del objeto envuelto.\r\n\r\nPara transformar un objeto envuelto, colócalo en un Cristal de permutación dentro del Dominio de conflicto atemporal. Matar monstruos en el Dominio cargará el objeto envuelto. Cuando el objeto envuelto esté completamente cargado, podrás interactuar con el Cristal para que caiga el nuevo objeto.","ไอเทมอำพราง สามารถนำไปแปรสภาพได้ในแดนแห่งความขัดแย้งเหนือกาลเวลา เพื่อให้มันกลายเป็นไอเทมยูนิคที่มีชนิดเดียวกันที่มีม็อดแฝงค้างกาล 1 อย่างที่มาจากไอเทมอำราง\r\n\r\nคุณสามารถแปรสภาพไอเทมอำพรางได้ด้วยการนำไปใส่ในคริสตัลพลิกอดีตภายในแดนแห่งความขัดแย้งเหนือกาลเวลา การสังหารมอนสเตอร์ในแดนนี้จะชาร์จไอเทมอำพราง เมื่อไอเทมอำรางมีชาร์จเต็มเมื่อไร คุณสามารถใช้งานคริสตัลเพื่อดรอปไอเทมใหม่ได้","壟罩物品可以在永恆鬥爭之域中轉化為同一物品類別的另一件傳奇物品，並帶有一條源自壟罩物品的痕跡固定詞綴。\r\n\r\n若要轉化壟罩物品，請將其放入永恆鬥爭之域中的陣列水晶。在此領域中擊殺怪物會為壟罩物品充能。當壟罩物品完全充能後，你便可以與水晶互動以取得新物品。","","","",""
6,"VariantRarity","Variant Rarity","Variant Rarity","Variant Rarity","Variant Rarity","Variant Rarity","Variant Rarity","Variant Rarity","Variant Rarity","Variant Rarity","Variant Rarity","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","The higher the Variant Rarity on an Enshrouded item, the more likely the Vestigial item will be a rarer Unique item. Variant Rarity is capped at 3.","","","",""
7,"Scrying","Map Scrying","Scrutation de Carte","Karte tauschen","マップの透視","지도 예지","Previsão de Mapa","Заговаривание карты","Cambiar el destino de un mapa","การส่งชะตาให้กับแผนที่","占卜地圖","Scrying causes the Divination Cards found in a Map to instead be the Divination Cards found in the Map area listed on the Scrying Orb.\r\n\r\nYou can only Scry to or from non-Unique Maps with bonus objectives.","La Scrutation remplace les Cartes divinatoires trouvées dans une Carte par celles trouvées dans la zone de Carte indiquée sur l'Orbe de scrutation.\r\n\r\nVous ne pouvez effectuer une Scrutation qu'entre des Cartes non Uniques disposant d'un objectif bonus.","Durch das Tauschen werden Weissagungskarten, die in einer bestimmten Karte gefunden werden können, stattdessen durch die Weissagungskarten aus der Karte getauscht, die auf der Tauschsphäre aufgeführt ist.\r\n\r\nDu kannst nur von oder zu Karten tauschen, die nicht einzigartig sind und die über Bonusziele verfügen.","透視を行うと、あるマップで見つかる占いカードが、代わりに透視のオーブに記載されたマップで見つかる占いカードになる。\r\n\r\n透視は、ボーナス目標を持つユニーク以外のマップ同氏でのみ行える。","예지는 지도에서 찾은 점술 카드가, 그 대신 예지의 오브에 나와 있는 지도 지역에서 찾은 점술 카드가 되게 합니다.\r\n\r\n부가 목표가 있는 비-고유 지도만 예지의 출발 지점 또는 목표 지점이 될 수 있습니다.","A previsão faz com que as Cartas de Adivinhação encontradas em um mapa passem a ser as Cartas de Adivinhação encontradas na área do mapa listada no Orbe da Vidência.\r\n \r\nÉ possível efetuar a previsão apenas para ou a partir de mapas não únicos com objetivos bônus.","Заговаривание заменяет гадальные карты на карте на гадальные карты с другой карты, указанной на Заговаривающей сфере.\r\n\r\nЗаговаривать можно только с или на неуникальные карты с дополнительными заданиями.","Cambiar el destino de un mapa hace que las cartas de adivinación que caen en ese mapa sean las cartas de adivinación que caerían en el área de mapa que se indica en el Orbe de visiones.\r\n\r\nSolo puedes cambiar el destino de mapas que no sean únicos y que tengan objetivos bonus.","การส่งชะตา ทำให้แผนที่หนึ่งให้ไพ่พยากรณ์จากด่านแผนที่ที่ระบุไว้ในลูกแก้วส่งชะตา แทนที่จะเป็นไพ่พยากรณ์ของเดิมที่พบได้จากแผนที่นั้นๆ\r\n\r\nการส่งชะตาจะสามารถใช้กับแผนที่ที่ไม่ใช่ยูนิคที่มีภารกิจโบนัสเท่านั้น ไม่ว่าจะเป็นต้นทางหรือปลายทางก็ตาม","占卜會使該地圖中掉落的命運卡，替換為占卜寶珠上所列地圖區域會掉落的命運卡。\r\n\r\n你只能在擁有額外目標的非傳奇地圖之間進行占卜。","","","",""
8,"ScryingOrb","","","","","","","","","","","","","","","","","","","","","","",0,""
9,"PactAffliction","Pact Afflictions","Afflictions de Pacte","Pakt-Bürden","契約の不幸","맹약 고난","Aflições de Pacto","Проклятия пакта","Desventajas de pacto","ทัณฑ์จากปฏิญาณ","誓約苦痛","Afflictions granted from Pact skills are a type of debuff. By default Afflictions last for 10 seconds and you can have a maximum of 5 Afflictions on you at a time. You cannot have more than one of the same type of Affliction.\r\n\r\nAfflictions from Pact skills do not count as Afflictions from the Forbidden Sanctum.","Les Afflictions octroyées par les aptitudes de Pacte sont un type d'effet néfaste. Par défaut, les Afflictions durent 10 secondes et vous pouvez avoir jusqu'à 5 Afflictions actives sur vous à la fois. Vous ne pouvez pas avoir plus d'une Affliction du même type à la fois.\r\n\r\nLes Afflictions issues des aptitudes de Pacte ne comptent pas comme des Afflictions provenant du Sanctuaire interdit.","Bürden, die von Pakt-Fertigkeiten gewährt werden, sind ein Typ von Schwächung. Standardmäßig halten Bürden 10 Sekunden lang an und es können gleichzeitig maximal 5 Bürden auf den Charakter wirken. Der Charakter kann nicht mehr als eine Version desselben Typs von Bürde haben.\r\n\r\nBürden von Pakt-Fertigkeiten zählen nicht als Bürden aus dem Verbotenen Sanktum.","契約スキルで付与される不幸とは、デバフの一種である。デフォルトでは不幸は10秒持続し、一度に持てる不幸の最大数は5個である。同じ種類の不幸を1個以上持つことはできない。\r\n\r\n契約スキルによる不幸は、禁断のサンクタムの不幸とは見なされない。","맹약 스킬로 부여되는 고난은 일종의 디버프입니다. 기본적으로 고난은 10초 지속되며, 한 번에 고난을 최대 5개 보유할 수 있습니다. 같은 유형의 고난은 하나만 보유할 수 있습니다.\r\n\r\n맹약 스킬로 부여받는 고난은 금지된 성역의 고난으로 간주되지 않습니다.","As aflições concedidas por habilidades de pacto são um tipo de penalidade. Por padrão, elas duram 10 segundos e é possível ter no máximo 5 aflições ativas simultaneamente. Não é possível ter mais de uma aflição do mesmo tipo.\r\n \r\nAs aflições provenientes de habilidades de pacto não são consideradas aflições do Santuário Proibido.","Проклятия, получаемые от умений Пактов, являются разновидностью отрицательного эффекта. Изначально они длятся 10 секунд и на вас могут действовать максимум 5 таких проклятий одновременно. Нельзя иметь более одной копии одного и того же проклятия.\r\n\r\nПроклятия от умений Пактов не считаются проклятиями из Запретного Святилища.","Las desventajas otorgadas por las habilidades de pacto son un tipo de efecto nocivo. Por defecto, las desventajas duran 10 segundos y puedes tener un máximo de 5 desventajas sobre ti a la vez. No puedes tener más de una desventaja del mismo tipo.\r\n\r\nLas desventajas de las habilidades de pacto no cuentan como desventajas del Santuario prohibido.","ทัณฑ์ ที่ได้รับจากสกิลปฏิญาณ เป็นดีบัฟชนิดหนึ่ง ปกติทัณฑ์ต่างๆ จะมีระยะเวลา 10 วินาที และคุณมีทัณฑ์ได้พร้อมกันสูงสุด 5 ประการ ทั้งนี้คุณไม่สามารถได้รับทัณฑ์ชนิดเดียวกันซ้ำกันได้\r\n\r\nทัณฑ์จากสกิลปฏิญาณ ไม่นับว่าเป็นทัณฑ์จากเทวสถานต้องห้าม","由誓約技能賦予的苦難屬於一種減益效果。在默認情況下，苦難會持續 10 秒，且你身上同時最多只能擁有 5 個苦難。你無法同時擁有複數個相同類型的苦難。\r\n\r\n來自誓約技能的苦難，不被視為聖所中的苦難。","","","",""
