"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32_92","ModsKeys0","ModsKeys1","PlayerPossessedMod","Animation"
0,3841,[9351],"[9352,9528,9527,9534]","[9353,9444,9530,9532]",10,100,1000,"",147,[],[],9353,""
1,3842,[9354],"[9355,9528,9527,9534]","[9356,9442,9530,9532]",6,100,2500,"",147,[],[],9356,""
2,3843,[9357],"[9358,9528,9527,9534]","[9359,9444,9530,9532]",10,100,1000,3286,147,[],[],9359,""
3,3844,[9360],"[9361,9528,9527,9534]","[9362,9444,9530,9532]",10,100,1000,"",147,[],[],9362,""
4,3845,[9389],"[9390,9528,9527,9534]","[9391,9445,9530,9532]",30,100,500,"",147,[],[],9391,""
5,3846,[9402],"[9403,9528,9527,9534]","[9404,9444,9530,9532]",15,100,1000,"",8,[],[],9404,""
6,3847,"[9369,9370]","[9371,9528,9527,9534]","[9372,9444,9530,9532]",15,100,1000,1984,147,[],[],9372,""
7,3848,[9395],"[9396,9528,9527,9534]","[9397,9444,9530,9532]",6,100,1000,"",147,[],[],9397,""
8,3849,[9363],"[9364,9528,9527,9534]","[9365,9444,9530,9532]",20,100,1000,"",147,[],[],9365,""
9,3850,[9366],"[9367,9528,9527,9534]","[9368,9445,9530,9532]",30,100,500,308,147,[],[],9368,""
10,3851,[9373],"[9374,9528,9527,9534]","[9375,9442,9530,9532]",1,100,2500,"",147,[],[],9375,""
11,3852,[9376],"[9377,9528,9527,9534]","[9378,9442,9379,9530,9532]",1,100,2500,"",147,[],[],9378,""
12,3853,[],"[9380,9528,9527,9534]","[9381,9445,9530,9532]",60,100,1,"",147,[],[],9381,""
13,3854,[9382],"[9383,9528,9527,9534]","[9384,9445,9530,9532]",60,100,500,"",147,[],[],9384,""
14,3855,[9386],"[9387,9528,9527,9534]","[9388,9442,9530,9532]",1,100,2500,"",147,[],[],9388,""
15,3856,[9392],"[9393,9528,9527,9534]","[9394,9442,9530,9532]",6,100,2500,"",147,[],[],9394,""
16,3857,"[9398,9399]","[9400,9528,9527,9534]","[9401,9444,9530,9532]",20,100,1000,48,147,[],[],9401,""
17,3858,[9405],"[9406,9528,9527,9534]","[9407,9445,9530,9532]",40,100,500,"",10,[],[],9407,""
18,3859,[9411],"[9412,9528,9527,9534]","[9413,9444,9530,9532]",20,100,1000,"",147,[],[],9413,""
19,3860,[9414],"[9415,9528,9527,9534]","[9416,9442,9530,9532]",1,100,2500,"",147,[],[],9416,""
20,3861,[9418],"[9419,9528,9527,9534]","[9420,9444,9530,9532]",10,100,1000,"",147,[],[],9420,""
21,3862,[9421],"[9423,9528,9527,9534]","[9424,9422,9445,9530,9532]",40,100,500,"",147,[],[],9424,""
22,3865,[9425],"[9426,9528,9527,9534]","[9441,9427,9445,9530,9532]",1,100,0,"",147,[],[],9441,""
23,3863,[9428],"[9429,9528,9527,9534]","[9430,9443,9531,9532]",1,100,0,"",147,[],[],9430,""
24,3864,[9431],"[9432,9528,9527,9534]","[9433,9443,9531,9532]",1,100,0,"",147,[],[],9433,""
25,3866,[9434],"[9435,9528,9527,9534]","[9436,9442,9530,9532]",1,100,0,"",147,[],[],9436,""
26,3867,[9434],"[9435,9528,9527,9534]","[9437,9442,9530,9532]",1,100,0,"",147,[],[],9437,""
27,3868,[9434],"[9435,9528,9527,9534]","[9438,9442,9530,9532]",1,100,0,"",147,[],[],9438,""
28,3869,[9434],"[9435,9528,9527,9534]","[9439,9442,9530,9532]",1,100,0,"",147,[],[],9439,""
29,3870,[9434],"[9435,9528,9527,9534]","[9440,9442,9530,9532]",1,100,0,"",147,[],[],9440,""
30,3871,[20928],"[20929,9528,9527,9534]","[20930,9445,9530,9532]",68,100,0,4109,147,[],[],20930,""
31,3872,[20925],"[20926,9528,9527,9534]","[20927,9445,9530,9532]",68,100,0,"",147,[],[],20927,""
32,3873,[20931],"[20932,9528,9527,9534]","[20933,9445,9530,9532]",68,100,0,"",147,[],[],20933,""
33,3874,[20934],"[20935,9529,9527,9534]","[20936,9445,9530,9533]",1,100,0,"",147,[],[],20936,488
