"rownum","rid_0","rid_16","i32_32","TextAudio","rid_52","i32_68","i32_72","i32_76","i32_80","i32_84","i32_88","i32_92","i32_96","bool_100","bool_101","bool_102"
0,0,0,0,[14803],"",1,3,0,0,0,0,0,0,"","",""
1,0,0,1,[14804],1,0,3,0,0,0,0,0,0,"","",""
2,0,0,2,[14805],6,0,3,0,0,0,0,0,0,"","",""
3,0,0,3,[14806],0,0,3,0,0,0,0,0,0,"","",""
4,0,0,4,[14807],4,0,3,0,0,0,0,0,0,"","",""
5,0,0,5,[16123],3,0,3,0,0,0,0,0,0,"","",""
6,0,0,6,[16124],5,0,3,0,0,0,0,0,0,"","",""
7,0,0,7,[16125],2,0,3,0,0,0,0,0,0,"","",""
8,0,0,8,[16128],"",1,3,0,0,0,0,0,0,"","",""
9,0,0,9,[16129],"",1,3,0,0,0,0,0,0,"","",""
10,0,0,10,[16130],"",1,3,0,0,0,0,0,0,"","",""
11,0,0,11,[16131],"",2,3,0,0,0,0,0,0,"","",""
12,0,0,12,[16132],"",2,3,0,0,0,0,0,0,"","",""
13,0,0,13,[16143],"",0,3,0,0,1,0,0,0,"","",""
14,0,0,14,[16144],"",0,3,1,0,0,0,0,0,"","",""
15,0,0,15,[16145],"",0,3,0,1,0,0,0,0,"","",""
16,0,0,16,[16147],"",0,3,1,0,0,0,0,0,"","",""
17,0,0,17,[16148],"",0,3,1,0,0,0,0,0,"","",""
18,0,0,18,[16149],"",0,3,2,0,0,0,0,0,"","",""
19,0,0,19,[16150],"",0,3,2,0,0,0,0,0,"","",""
20,0,0,20,[16140],"",2,3,0,0,0,0,1,0,"","",""
21,0,0,21,[16141],"",3,3,0,0,0,0,1,0,"","",""
22,0,0,22,[16141],"",1,3,0,0,0,0,1,0,"","",""
23,0,1,0,[16238],"",0,3,0,0,0,0,0,0,"",1,""
24,0,1,1,[16239],"",0,3,0,0,0,0,0,0,"",1,""
25,0,2,2,[16180],"",0,3,0,0,0,0,0,0,"",1,""
26,0,2,3,[16181],"",0,3,0,0,0,0,0,0,"",1,""
27,0,2,4,[16182],"",0,3,0,0,0,0,0,0,"",1,""
28,0,2,5,[16183],"",0,3,0,0,0,0,0,0,"",1,""
29,0,3,0,[16184],"",0,3,0,0,0,2,0,0,"","",""
30,0,3,1,[16185],"",0,3,0,0,0,2,0,0,"","",""
31,0,3,2,[16186],"",0,3,0,0,0,2,0,0,"","",""
32,0,3,3,[16187],"",0,3,0,0,0,2,0,0,"","",""
33,0,3,4,[16188],"",2,3,0,0,0,1,0,0,"","",""
34,0,3,5,[16189],"",0,3,0,0,0,1,0,0,"","",""
35,0,3,6,[16190],"",2,3,0,0,0,1,0,0,"","",""
36,0,3,7,[16191],"",0,3,0,0,0,1,0,0,"","",""
37,0,3,8,[16192],"",0,3,0,0,0,1,1,0,"","",""
38,0,3,9,[16193],"",0,3,0,0,0,1,1,0,"","",""
39,0,3,10,[16194],"",0,3,0,0,0,1,1,0,"","",""
40,0,3,11,[16195],"",1,3,0,0,0,1,1,0,"","",""
41,0,3,12,[16196],1,0,3,0,0,0,1,1,0,"","",""
42,0,3,13,[16197],6,0,3,0,0,0,1,1,0,"","",""
43,0,3,14,[16198],0,0,3,0,0,0,1,1,0,"","",""
44,0,3,15,[16199],4,0,3,0,0,0,1,1,0,"","",""
45,0,3,16,[16200],3,0,3,0,0,0,1,1,0,"","",""
46,0,3,17,[16201],5,0,3,0,0,0,1,1,0,"","",""
47,0,3,18,[16202],2,0,3,0,0,0,1,1,0,"","",""
48,0,3,19,[16207],"",0,3,0,0,0,2,1,0,"","",""
49,0,3,20,[16208],"",0,3,0,0,0,2,1,0,"","",""
50,0,3,21,[16209],"",0,3,0,0,0,2,1,0,"","",""
51,0,14,0,[16210],"",0,3,0,0,0,1,1,0,"","",""
52,0,14,1,[16211],"",0,3,0,0,0,1,1,0,"","",""
53,0,14,2,[16212],"",0,3,0,0,0,1,1,0,"","",""
54,0,14,3,[16214],"",0,3,0,0,0,1,1,0,"","",""
55,0,14,4,[16117],"",0,3,0,0,0,0,0,0,"","",""
56,0,12,0,[16154],"",2,3,0,0,0,0,0,0,"","",""
57,0,12,1,[16155],"",0,3,0,0,0,0,0,0,"","",""
58,0,12,2,[16156],"",0,3,0,0,0,0,0,0,"","",""
59,0,12,3,[16157],"",2,3,0,0,0,0,0,0,"","",""
60,0,12,4,[16158],"",0,3,0,0,0,0,1,0,"","",""
61,0,12,5,[16159],"",0,3,0,0,0,0,0,0,"","",""
62,1,13,0,[16160],"",0,3,0,0,0,0,0,0,"",1,""
63,2,13,1,[16161],"",0,3,0,0,0,0,0,0,"",1,""
64,3,13,2,[16162],"",0,3,0,0,0,0,0,0,"",1,""
65,4,13,3,[16163],"",0,3,0,0,0,0,0,0,"",1,""
66,5,13,4,[16164],"",0,3,0,0,0,0,0,0,"",1,""
67,6,13,5,[16165],"",0,3,0,0,0,0,0,0,"",1,""
68,7,13,6,[16166],"",0,3,0,0,0,0,0,0,"",1,""
69,8,13,7,[16167],"",0,3,0,0,0,0,0,0,"",1,""
70,9,13,8,[16168],"",0,3,0,0,0,0,0,0,"",1,""
71,10,13,9,[16169],"",0,3,0,0,0,0,0,0,"",1,""
72,1,13,10,[16170],"",0,3,0,0,0,0,0,0,"",1,""
73,2,13,11,[16171],"",0,3,0,0,0,0,0,0,"",1,""
74,3,13,12,[16172],"",0,3,0,0,0,0,0,0,"",1,""
75,4,13,13,[16173],"",0,3,0,0,0,0,0,0,"",1,""
76,5,13,14,[16174],"",0,3,0,0,0,0,0,0,"",1,""
77,6,13,15,[16175],"",0,3,0,0,0,0,0,0,"",1,""
78,7,13,16,[16176],"",0,3,0,0,0,0,0,0,"",1,""
79,8,13,17,[16177],"",0,3,0,0,0,0,0,0,"",1,""
80,9,13,18,[16178],"",0,3,0,0,0,0,0,0,"",1,""
81,10,13,19,[16179],"",0,3,0,0,0,0,0,0,"",1,""
82,2,0,0,[14895],"",2,1,0,0,0,0,0,0,"",1,1
83,2,0,1,[14896],"",2,0,0,0,0,0,0,0,"",1,1
84,2,0,2,[14897],"",2,2,0,0,0,0,0,0,"",1,1
85,2,0,3,[14898],"",3,1,0,0,0,0,0,0,"",1,1
86,2,0,4,[14899],"",3,0,0,0,0,0,0,0,"",1,1
87,2,0,5,[14900],"",3,2,0,0,0,0,0,0,"",1,1
88,2,0,6,[14901],"",1,1,0,0,0,0,0,0,"",1,1
89,2,0,7,[14902],"",1,0,0,0,0,0,0,0,"",1,1
