"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,3878,"",0
1,3879,"",0
2,3880,"",0
3,3881,"",0
4,3916,"",2
5,3917,"",3
6,3918,"",4
7,3919,"",5
8,3920,"",2
9,3921,"",3
10,3922,"",4
11,3923,"",5
12,3924,0,2
13,3925,0,3
14,3926,0,4
15,3927,0,5
16,3928,1,2
17,3929,1,3
18,3930,1,4
19,3931,1,5
20,3932,2,2
21,3933,2,3
22,3934,2,4
23,3935,2,5
24,3936,3,2
25,3937,3,3
26,3938,3,4
27,3939,3,5
28,3940,4,2
29,3941,4,3
30,3942,4,4
31,3943,4,5
32,3944,5,2
33,3945,5,3
34,3946,5,4
35,3947,5,5
36,3948,6,2
37,3949,6,3
38,3950,6,4
39,3951,6,5
40,3952,7,2
41,3953,7,3
42,3954,7,4
43,3955,7,5
44,3956,8,2
45,3957,8,3
46,3958,8,4
47,3959,8,5
48,3960,"",2
49,3961,"",3
50,3962,"",4
51,3963,"",5
52,3964,"",2
53,3965,"",3
54,3966,"",4
55,3967,"",5
56,3968,"",2
57,3969,"",3
58,3970,"",4
59,3971,"",5
