"rownum","Id","Monster","Tier","i32_28","[i32]_32","Achievements","SeedAnimation","i32_72","HatchAnimation","SeedType","bool_88"
0,"DropBearT1Red",8493,1,2,"[110,150,175]",[7020],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
1,"HellionT1Red",8495,1,1,"[110,150,175]",[7021],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
2,"WolfT1Red",8498,1,2,"[110,150,175]",[7022],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
3,"MonkeyT1Red",8500,1,2,"[110,150,175]",[7023],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
4,"InsectT1Red",8502,1,2,"[110,150,175]",[7024],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
5,"BeastT2Red",8504,2,1,"[110,150,175]",[7055],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
6,"HoundT2Red",8506,2,1,"[110,150,175]",[7056],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
7,"MinerHammerT2Red",8509,2,1,"[110,150,175]",[7057],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
8,"ChieftainT2Red",8511,2,1,"[110,150,175]",[7058],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
9,"SpikerT2Red",8514,2,1,"[110,150,175]",[7059],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
10,"BeastT3Red",8517,3,1,"[110,150,175]",[7119],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
11,"HellionT3Red",8520,3,1,"[110,150,175]",[7120],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",47,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
12,"BirddogT3Red",8523,3,1,"[110,150,175]",[7121],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
13,"BrambleHulkT3Red",8525,3,1,"[110,150,175]",[7122],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
14,"InsectSpawnerT3Red",8528,3,1,"[110,150,175]",[7123],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1,""
15,"BearBoss",8605,4,1,"[110,280,375]",[],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_hatch.ao",1,""
16,"MeleeSpiderT1Green",8531,1,1,"[130,140,150]",[7025],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
17,"WetaT1Green",8534,1,2,"[130,140,150]",[7026],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
18,"ParasiteT1Green",8537,1,2,"[130,140,150]",[7027],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
19,"ScorpionT1Green",8540,1,1,"[130,140,150]",[7028],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
20,"ThornSpiderT1Green",8543,1,1,"[130,140,150]",[7029],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
21,"SabreSpiderT2Green",8545,2,1,"[130,140,150]",[7060],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",63,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
22,"HuhuGrubT2Green",8547,2,2,"[130,140,150]",[7061],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_02/scale_tier02_03.ao",57,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2,""
