"rownum","Id","WorldAreasKey","MonsterVarietiesKeys","[i32]_40"
0,"ProxyKey1",6,"[1288,1289,1290]","[78,0,122,0,160]"
1,"ProxyKey2",7,[1116],"[78,0,122]"
2,"ProxyKey3",16,[513],"[446,0,480]"
3,"ProxyKey16",33,[1004],"[630,0]"
4,"ProxyKey17",36,[1128],[764]
5,"ProxyKey11",47,"[1590,1591]","[862,0]"
6,"ProxyKey13",49,[1989],[984]
7,"ProxyKey229",129,"[2006,2086,2140,1620,1698,3221]",[1152]
8,"ProxyKey8",488,"[4940,4939,4942]",[1274]
9,"ProxyKey15",489,"[4940,4939,4942]",[1274]
10,"ProxyKey18",490,"[4940,4939,4942]",[1274]
11,"ProxyKey19",491,"[4940,4939,4942]",[1274]
12,"ProxyKey21",492,"[4940,4939,4942]",[1274]
13,"ProxyKey22",493,"[4940,4939,4942]",[1274]
14,"ProxyKey31",494,"[4940,4939,4942]",[1274]
15,"ProxyKey32",495,"[4940,4939,4942]",[1274]
16,"ProxyKey33",496,"[4940,4939,4942]",[1274]
17,"ProxyKey34",497,"[4940,4939,4942]",[1274]
18,"ProxyKey36",498,"[4940,4939,4942]",[1274]
19,"ProxyKey37",488,[4959],[2158]
20,"ProxyKey43",489,[4959],[2158]
21,"ProxyKey44",490,[4959],[2158]
22,"ProxyKey7",491,[4959],[2158]
23,"ProxyKey12",492,[4959],[2158]
24,"ProxyKey20",493,[4959],[2158]
25,"ProxyKey23",494,[4959],[2158]
26,"ProxyKey26",495,[4959],[2158]
27,"ProxyKey29",496,[4959],[2158]
28,"ProxyKey35",497,[4959],[2158]
29,"ProxyKey39",498,[4959],[2158]
30,"ProxyKey51",561,"[4940,4939,4942]",[1274]
31,"ProxyKey52",562,"[4940,4939,4942]",[1274]
32,"ProxyKey53",563,"[4940,4939,4942]",[1274]
33,"ProxyKey54",564,"[4940,4939,4942]",[1274]
34,"ProxyKey55",565,"[4940,4939,4942]",[1274]
35,"ProxyKey56",566,"[4940,4939,4942]",[1274]
36,"ProxyKey57",567,"[4940,4939,4942]",[1274]
37,"ProxyKey58",568,"[4940,4939,4942]",[1274]
38,"ProxyKey59",569,"[4940,4939,4942]",[1274]
39,"ProxyKey60",570,"[4940,4939,4942]",[1274]
40,"ProxyKey61",571,"[4940,4939,4942]",[1274]
41,"ProxyKey65",561,[4959],[2158]
42,"ProxyKey68",562,[4959],[2158]
43,"ProxyKey70",563,[4959],[2158]
44,"ProxyKey71",564,[4959],[2158]
45,"ProxyKey72",565,[4959],[2158]
46,"ProxyKey73",566,[4959],[2158]
47,"ProxyKey74",567,[4959],[2158]
48,"ProxyKey75",568,[4959],[2158]
49,"ProxyKey76",569,[4959],[2158]
50,"ProxyKey77",570,[4959],[2158]
51,"ProxyKey78",571,[4959],[2158]
52,"ProxyKey79",633,"[4940,4939,4942]",[1274]
53,"ProxyKey80",634,"[4940,4939,4942]",[1274]
54,"ProxyKey81",635,"[4940,4939,4942]",[1274]
55,"ProxyKey82",636,"[4940,4939,4942]",[1274]
56,"ProxyKey83",637,"[4940,4939,4942]",[1274]
57,"ProxyKey84",638,"[4940,4939,4942]",[1274]
58,"ProxyKey45",639,"[4940,4939,4942]",[1274]
59,"ProxyKey46",640,"[4940,4939,4942]",[1274]
60,"ProxyKey47",641,"[4940,4939,4942]",[1274]
61,"ProxyKey48",642,"[4940,4939,4942]",[1274]
62,"ProxyKey49",643,"[4940,4939,4942]",[1274]
63,"ProxyKey50",633,[4959],[2158]
64,"ProxyKey85",634,[4959],[2158]
65,"ProxyKey86",635,[4959],[2158]
66,"ProxyKey87",636,[4959],[2158]
67,"ProxyKey88",637,[4959],[2158]
68,"ProxyKey89",638,[4959],[2158]
69,"ProxyKey90",639,[4959],[2158]
70,"ProxyKey91",640,[4959],[2158]
71,"ProxyKey92",641,[4959],[2158]
72,"ProxyKey93",642,[4959],[2158]
73,"ProxyKey94",643,[4959],[2158]
74,"ProxyKey95",705,"[4940,4939,4942]",[1274]
75,"ProxyKey96",706,"[4940,4939,4942]",[1274]
76,"ProxyKey97",707,"[4940,4939,4942]",[1274]
77,"ProxyKey98",708,"[4940,4939,4942]",[1274]
78,"ProxyKey99",709,"[4940,4939,4942]",[1274]
79,"ProxyKey100",710,"[4940,4939,4942]",[1274]
80,"ProxyKey101",711,"[4940,4939,4942]",[1274]
81,"ProxyKey102",712,"[4940,4939,4942]",[1274]
82,"ProxyKey103",713,"[4940,4939,4942]",[1274]
83,"ProxyKey104",714,"[4940,4939,4942]",[1274]
84,"ProxyKey105",715,"[4940,4939,4942]",[1274]
85,"ProxyKey106",705,[4959],[2158]
86,"ProxyKey107",706,[4959],[2158]
87,"ProxyKey108",707,[4959],[2158]
88,"ProxyKey109",708,[4959],[2158]
89,"ProxyKey110",709,[4959],[2158]
90,"ProxyKey111",710,[4959],[2158]
91,"ProxyKey112",711,[4959],[2158]
92,"ProxyKey113",712,[4959],[2158]
93,"ProxyKey114",713,[4959],[2158]
94,"ProxyKey115",714,[4959],[2158]
95,"ProxyKey116",715,[4959],[2158]
96,"ProxyKey40",522,"[4940,4939,4942]",[1274]
97,"ProxyKey5",523,"[4940,4939,4942]",[1274]
98,"ProxyKey6",524,"[4940,4939,4942]",[1274]
99,"ProxyKey9",525,"[4940,4939,4942]",[1274]
100,"ProxyKey10",526,"[4940,4939,4942]",[1274]
101,"ProxyKey14",527,"[4940,4939,4942]",[1274]
102,"ProxyKey117",528,"[4940,4939,4942]",[1274]
103,"ProxyKey118",529,"[4940,4939,4942]",[1274]
104,"ProxyKey119",530,"[4940,4939,4942]",[1274]
105,"ProxyKey120",531,"[4940,4939,4942]",[1274]
106,"ProxyKey121",532,"[4940,4939,4942]",[1274]
107,"ProxyKey62",522,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
108,"ProxyKey63",523,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
109,"ProxyKey64",524,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
110,"ProxyKey66",525,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
111,"ProxyKey67",526,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
112,"ProxyKey69",527,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
113,"ProxyKey42",528,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
114,"ProxyKey122",529,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
115,"ProxyKey123",530,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
116,"ProxyKey124",531,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
117,"ProxyKey125",532,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
118,"ProxyKey38",522,[4959],[2158]
119,"ProxyKey24",523,[4959],[2158]
120,"ProxyKey25",524,[4959],[2158]
121,"ProxyKey27",525,[4959],[2158]
122,"ProxyKey28",526,[4959],[2158]
123,"ProxyKey30",527,[4959],[2158]
124,"ProxyKey41",528,[4959],[2158]
125,"ProxyKey126",529,[4959],[2158]
126,"ProxyKey127",530,[4959],[2158]
127,"ProxyKey128",531,[4959],[2158]
128,"ProxyKey129",532,[4959],[2158]
129,"ProxyKey130",594,"[4940,4939,4942]",[1274]
130,"ProxyKey131",595,"[4940,4939,4942]",[1274]
131,"ProxyKey132",596,"[4940,4939,4942]",[1274]
132,"ProxyKey133",597,"[4940,4939,4942]",[1274]
133,"ProxyKey134",598,"[4940,4939,4942]",[1274]
134,"ProxyKey135",599,"[4940,4939,4942]",[1274]
135,"ProxyKey136",600,"[4940,4939,4942]",[1274]
136,"ProxyKey137",601,"[4940,4939,4942]",[1274]
137,"ProxyKey138",602,"[4940,4939,4942]",[1274]
138,"ProxyKey139",603,"[4940,4939,4942]",[1274]
139,"ProxyKey140",604,"[4940,4939,4942]",[1274]
140,"ProxyKey141",594,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
141,"ProxyKey142",595,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
142,"ProxyKey143",596,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
143,"ProxyKey144",597,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
144,"ProxyKey145",598,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
145,"ProxyKey146",599,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
146,"ProxyKey147",600,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
147,"ProxyKey148",601,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
148,"ProxyKey149",602,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
149,"ProxyKey150",603,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
150,"ProxyKey151",604,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
151,"ProxyKey152",594,[4959],[2158]
152,"ProxyKey153",595,[4959],[2158]
153,"ProxyKey154",596,[4959],[2158]
154,"ProxyKey155",597,[4959],[2158]
155,"ProxyKey156",598,[4959],[2158]
156,"ProxyKey157",599,[4959],[2158]
157,"ProxyKey158",600,[4959],[2158]
158,"ProxyKey159",601,[4959],[2158]
159,"ProxyKey160",602,[4959],[2158]
160,"ProxyKey161",603,[4959],[2158]
161,"ProxyKey162",604,[4959],[2158]
162,"ProxyKey163",666,"[4940,4939,4942]",[1274]
163,"ProxyKey164",667,"[4940,4939,4942]",[1274]
164,"ProxyKey165",668,"[4940,4939,4942]",[1274]
165,"ProxyKey166",669,"[4940,4939,4942]",[1274]
166,"ProxyKey167",670,"[4940,4939,4942]",[1274]
167,"ProxyKey168",671,"[4940,4939,4942]",[1274]
168,"ProxyKey169",672,"[4940,4939,4942]",[1274]
169,"ProxyKey170",673,"[4940,4939,4942]",[1274]
170,"ProxyKey171",674,"[4940,4939,4942]",[1274]
171,"ProxyKey172",675,"[4940,4939,4942]",[1274]
172,"ProxyKey173",676,"[4940,4939,4942]",[1274]
173,"ProxyKey174",666,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
174,"ProxyKey175",667,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
175,"ProxyKey176",668,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
176,"ProxyKey177",669,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
177,"ProxyKey178",670,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
178,"ProxyKey179",671,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
179,"ProxyKey180",672,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
180,"ProxyKey181",673,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
181,"ProxyKey182",674,"[4935,4936,4937,4938,4943,4944]","[7942,0]"
