"rownum","string_0","rid_8","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","bool_32","bool_33","rid_34","rid_50","rid_66","string_82","i32_90","i32_94"
0,"UniqueMaps","","Unique Maps","Cartes Uniques","Einzigartige Karten","ユニークマップ","고유 지도","Mapas Únicos","Уникальные карты","Mapas únicos","แผนที่ยูนิค","傳奇地圖","","","","","","Art/2DArt/UIImages/InGame/MTX/MapStash/MapTabUnique",-16843010,-16843010
1,"SpecialTypes","","Special Maps","Cartes spéciales","Spezielle Karten","スペシャルマップ","특별 지도","Mapas Especiais","Особые карты","Mapas especiales","แผนที่พิเศษ","特殊地圖","","","","","","Art/2DArt/UIImages/InGame/MTX/MapStash/MapTabElderShaperConqueror",-16843010,-16843010
2,"Conqueror1","","Baran, The Crusader","Baran, le Croisé","Baran der Kreuzritter","クルセイダー、バラン","십자군 바란","Baran, o Cruzado","Бэран, Крестоносец","Baran, el Cruzado","บาราน ผู้พิชิตอธรรม","聖戰軍王．巴倫","","","",0,"","",1,0
3,"Conqueror2","","Veritania, The Redeemer","Véritania, la Rédemptrice","Veritania die Erlöserin","レディーマー、ヴェリタニア","대속자 베리타니아","Veritania, a Redentora","Веритания, Избавительница","Veritania, la Redentora","เวริทาเนีย ผู้พิชิตบาป","救贖者．維羅提尼亞","","","",1,"","",1,0
4,"Conqueror3","","Al-Hezmin, The Hunter","Al-Hezmin, le Chasseur","Al-Hezmin der Jäger","ハンター、アル・ヘズミン","사냥꾼 알-헤즈민","Al-Hezmin, o Caçador","Аль-Хезмин, Охотник","Al-Hezmin, el Cazador","อัล-เฮซมิน ผู้พิชิตเหยื่อ","狩獵者．奧赫茲明","","","",2,"","",1,0
5,"Conqueror4","","Drox, The Warlord","Drox, le Seigneur de guerre","Drox der Kriegsfürst","ウォーロード、ドロックス","전쟁군주 드록스","Drox, o Senhor da Guerra","Дрокс, Вождь","Drox, el Jefe de guerra","ดร็อกซ์ ผู้พิชิตศึก","總督軍．圖拉克斯","","","",3,"","",1,0
6,"ElderGuardian1","","The Enslaver","L'Asservisseur","Der Sklavenschinder","エンスレイバー","조종자","O Escravizador","Поработитель","El Esclavista","ผู้กดขี่","異界．奴役","",1,0,"","","",1,0
7,"ElderGuardian2","","The Eradicator","L'Éradicateur","Der Vernichter","エラディケイター","박멸자","O Erradicador","Искоренитель","El Erradicador","ผู้ขจัด","異界．根除","",1,1,"","","",1,0
8,"ElderGuardian3","","The Constrictor","Le Constricteur","Der Unterdrücker","コンストリクター","위압자","O Constritor","Угнетатель","El Constrictor","ผู้บีบรัด","異界．干擾","",1,2,"","","",1,0
9,"ElderGuardian4","","The Purifier","Le Purificateur","Der Läuterer","ピュリファイヤー","정화자","O Purificador","Искупитель","El Purificador","ผู้ชำระล้าง","異界．淨化","",1,3,"","","",1,0
10,"ShaperGuardianKey",5311,"Shaper Guardian Map","Gardien du Façonneur, Carte","Wächter-Karte des Schöpfers","シェイパーガーディアンマップ","쉐이퍼 수호자 지도","Mapa de Guardião do Criador","Карта хранителя Создателя","Mapa de guardián del Creador","แผนที่องครักษ์เชปเปอร์","塑界守護者地圖",1,"","","","","",1,0
11,"VaalTempleKey",5310,"Vaal Temple Map","Vaal temple, Carte","'Vaal-Tempel'-Karte","ヴァールテンプルマップ","바알 사원 지도","Mapa do Templo Vaal","Карта храма ваал","Mapa de templo vaal","แผนที่ Vaal Temple","瓦爾密殿","","","","","","",1,0
12,"NightmareMapKey",5312,"Nightmare Map","Cauchemar, Carte","Albtraum-Karte","ナイトメアマップ","악몽 지도","Mapa do Pesadelo","Карта кошмара","Mapa de pesadilla","แผนที่ฝันร้าย","夢魘地圖","","","","","","",1,0
13,"ValdoMapKey",5309,"Valdo Map","Valdo, Carte","Valdo-Karte","ヴァルドマップ","발도 지도","Mapa de Valdo","Карта Валдо","Mapa de Valdo","แผนที่วาลโด","瓦爾多地圖","","","","","","",1,0
