"rownum","Id","ChestsKey","UniqueChestsKey","MinLevel","MaxLevel","Weight","i32_52"
0,"CurrencyRoom1",699,"",1,100,3000,0
1,"CurrencyRoom2",700,"",1,100,2400,0
2,"CurrencyRoom4",703,"",1,100,1200,2
3,"CurrencyRoom6",704,"",1,100,1200,2
4,"CurrencyRoom7",701,"",1,100,2400,0
5,"CurrencyRoom8",705,"",75,100,200,1
6,"CurrencyRoom12",707,"",68,100,200,2
7,"ChestsRoom1",593,"",1,100,2400,0
8,"ChestsRoom2",594,"",1,100,2400,0
9,"ChestsRoom3",595,"",1,100,2400,0
10,"ChestsRoom4",596,"",1,100,200,1
11,"ChestsRoom5",597,"",68,100,1,1
12,"ChestsRoom8",600,"",68,100,200,1
13,"ChestsRoom9",601,"",80,100,40,1
14,"ChestsRoom11",602,"",1,100,1200,1
15,"ChestsRoom12",603,"",68,100,40,1
16,"ChestsRoom14",607,"",73,100,40,1
17,"ChestsRoom29",620,"",1,100,1200,2
18,"ChestsRoom30",621,"",68,100,1200,2
19,"ChestsRoom31",622,"",1,100,1200,2
20,"ChestsRoom32",623,"",1,100,1200,2
21,"ChestsRoom33",624,"",1,100,1200,2
22,"ChestsRoom34",625,"",1,100,1200,2
23,"TrinketsRoom1",675,"",1,100,1200,0
24,"TrinketsRoom2",678,"",1,100,400,0
25,"TrinketsRoom3",691,"",60,100,60,0
26,"TrinketsRoom4",692,"",60,100,12,0
27,"TrinketsRoom5",693,"",55,100,35,0
28,"TrinketsRoom6",690,"",81,100,15,0
29,"TrinketsRoom8",698,"",80,100,175,0
30,"TrinketsRoom9",695,"",68,100,60,0
31,"TrinketsRoom10",696,"",80,100,6,0
32,"TrinketsRoom11",697,"",1,100,50,0
33,"TrinketsRoom12",687,"",46,100,100,0
34,"TrinketsRoom14",684,"",40,100,200,0
35,"MapsRoom1",708,"",58,100,2400,0
36,"MapsRoom2",709,"",58,100,1200,2
37,"MapsRoom3",710,"",58,100,1200,1
38,"MapsRoom4",711,"",58,100,200,1
39,"MapsRoom10",715,"",58,100,1200,1
40,"GemsRoom1",717,"",1,100,2400,0
41,"GemsRoom2",718,"",1,100,1200,2
42,"GemsRoom3",719,"",1,100,1200,1
43,"GemsRoom4",721,"",68,100,40,1
44,"GemsRoom5",720,"",1,100,200,1
45,"GemsRoom6",722,"",1,100,200,1
46,"ArmourRoom1",659,"",1,100,1200,0
47,"ArmourRoom2",660,"",50,100,2,0
48,"ArmourRoom4",662,"",35,100,30,0
49,"ArmourRoom6",664,"",1,100,150,0
50,"ArmourRoom8",666,"",60,100,50,0
51,"ArmourRoom9",667,"",60,100,10,0
52,"ArmourRoom11",668,"",55,100,30,0
53,"ArmourRoom12",669,"",81,100,12,0
54,"ArmourRoom14",671,"",80,100,150,0
55,"ArmourRoom15",672,"",68,100,50,0
56,"ArmourRoom16",673,"",80,100,5,0
57,"ArmourRoom17",674,"",1,100,150,0
58,"WeaponsRoom1",634,"",1,100,1200,0
59,"WeaponsRoom2",635,"",50,100,2,0
60,"WeaponsRoom5",637,"",35,100,30,0
61,"WeaponsRoom7",639,"",1,100,150,0
62,"WeaponsRoom9",641,"",60,100,50,0
63,"WeaponsRoom10",642,"",60,100,10,0
64,"WeaponsRoom11",643,"",55,100,30,0
65,"WeaponsRoom12",644,"",81,100,12,0
66,"WeaponsRoom14",646,"",80,100,150,0
67,"WeaponsRoom15",647,"",68,100,50,0
68,"WeaponsRoom16",648,"",80,100,5,0
69,"WeaponsRoom17",649,"",1,100,150,0
70,"StrongboxRoom1",284,"",1,100,4753,0
71,"StrongboxRoom2",267,"",1,100,2454,0
72,"StrongboxRoom3",266,"",1,100,2550,0
73,"StrongboxRoom4",268,"",1,100,220,0
74,"StrongboxRoom5",277,"",1,100,323,0
75,"StrongboxRoom6",280,"",1,100,1110,0
76,"StrongboxRoom7",279,"",20,100,817,0
77,"StrongboxRoom8",282,"",1,100,855,0
78,"StrongboxRoom9",263,"",26,100,693,0
79,"StrongboxRoom10",269,"",68,100,200,0
80,"StrongboxRoom11",286,"",55,100,431,0
81,"StrongboxRoom13","",2,20,100,18,0
82,"StrongboxRoom14","",3,60,100,12,0
83,"StrongboxRoom15","",15,30,100,30,0
84,"StrongboxRoom16","",16,35,100,30,0
85,"StrongboxRoom17","",17,40,100,30,0
86,"StrongboxRoom18","",18,56,100,9,0
87,"StrongboxRoom19","",19,56,100,9,0
88,"StrongboxRoom20","",20,56,100,9,0
89,"StrongboxRoom21","",21,56,100,3,0
90,"StrongboxRoom22","",26,40,100,18,0
91,"MinionBoss3RoomChest",731,"",1,100,1,0
92,"FireBoss3RoomChest",730,"",1,100,1,0
93,"LightningBoss3RoomChest",729,"",1,100,1,0
94,"Poison3RoomChest",726,"",1,100,1,0
95,"Trap3RoomChest",727,"",1,100,1,0
96,"Healing3RoomChest",725,"",1,100,1,0
97,"Storm3RoomChest",728,"",1,100,1,0
98,"ExplosivesRoomChest",733,"",1,100,1,0
99,"BreachRoomChest",724,"",1,100,1,0
100,"HardModeCurrency1",735,"",1,100,1,0
101,"HardModeCurrency2",736,"",1,100,1,0
102,"HardModeCurrency3",737,"",1,100,1,1
103,"HardModeGems1",738,"",1,100,1,0
104,"HardModeGems2",739,"",1,100,1,0
105,"HardModeGems3",740,"",1,100,1,1
106,"HardModeTrinkets1",741,"",1,100,1,0
107,"HardModeTrinkets2",742,"",1,100,1,0
108,"HardModeTrinkets3",743,"",1,100,1,1
109,"HardModeArmour1",744,"",1,100,1,0
110,"HardModeArmour2",745,"",1,100,1,0
111,"HardModeArmour3",746,"",1,100,1,1
112,"HardModeWeapons1",747,"",1,100,1,0
113,"HardModeWeapons2",748,"",1,100,1,0
114,"HardModeWeapons3",749,"",1,100,1,1
115,"HardModeMaps1",750,"",68,100,1,0
116,"HardModeMaps2",751,"",68,100,1,0
117,"HardModeMaps3",752,"",68,100,1,1
118,"HardModeGeneric1",753,"",1,100,100,0
119,"HardModeGeneric2",754,"",1,100,100,0
120,"HardModeGeneric3",755,"",1,100,100,0
121,"HardModeGeneric4",756,"",1,100,1,1
122,"HardModeStrongbox1",291,"",26,100,10,0
123,"HardModeStrongbox2",292,"",1,100,100,0
124,"HardModeStrongbox3",293,"",1,100,100,0
125,"HardModeStrongbox4",294,"",1,100,10,0
126,"HardModeStrongbox5",295,"",62,67,5,0
127,"HardModeStrongbox6",296,"",68,71,4,0
128,"HardModeStrongbox7",297,"",72,75,3,0
129,"HardModeStrongbox8",298,"",76,79,2,0
130,"HardModeStrongbox9",299,"",80,100,1,0
131,"HardModeStrongbox10",300,"",12,100,10,0
132,"HardModeStrongbox11",301,"",20,100,10,0
133,"HardModeStrongbox12",302,"",1,100,60,0
134,"HardModeStrongbox13",303,"",1,100,40,0
135,"HardModeStrongbox14",304,"",1,100,500,0
136,"HardModeHealingRoom",757,"",1,100,1,0
137,"HardModePoisonRoom",758,"",1,100,1,0
138,"HardModeTrapRoom",759,"",1,100,1,0
139,"HardModeBossLightningRoom",760,"",1,100,1,0
140,"HardModeBossFireRoom",761,"",1,100,1,0
141,"HardModeBossMinionRoom",762,"",1,100,1,0
