"rownum","Id","AOFile","PreloadGroupsKeys","EffectCategory","i32_36","HASH32"
0,"NPCQuestMarker","Metadata/Effects/Quest/exclamationmark.ao",[],1,0,1958576222
1,"NPCQuestMarkerOrange","Metadata/Effects/Quest/orangeexclamationmark.ao",[],2,0,3372819582
2,"CounterEndurance","Metadata/Effects/Spells/orbs/rig_endurance.ao",[],2,0,2675355425
3,"CounterCharge","Metadata/Effects/Spells/orbs/rig_charge.ao",[],2,0,3152051206
4,"CounterFrenzy","Metadata/Effects/Spells/orbs/rig_frenzy.ao",[],2,0,1682897042
5,"TownPortal","Metadata/Effects/Spells/portal/town_portal.ao",[],1,0,2368650790
6,"MapDevicePortalSmall","Metadata/Effects/Spells/portal/portal2.ao",[],1,0,864074752
7,"MapDevicePortalLarge","Metadata/Effects/Spells/portal/portal2Maproom.ao",[],1,0,223081550
8,"Quiver","Metadata/Items/Quivers/DefaultQuiver.ao",[],1,0,2516488380
9,"DefaultArrow","Metadata/Items/Quivers/Arrow.ao",[],1,0,3257037012
10,"LevelUp","Metadata/Effects/misc/levelup_new/rig.ao",[],3,0,4280584025
11,"BloodRageEffect","Metadata/Effects/Spells/blood_rage/rig.ao",[],4,0,4222230926
12,"EnduringCryEffect","Metadata/Effects/Spells/warcries/enduring_cry/enduring_cry.ao",[],4,400,240748885
13,"WaterNovaEffect","Metadata/Effects/Spells/monsters_effects/waternova/rig.ao",[],4,260,321998091
14,"IceNovaEffect","Metadata/Effects/Spells/icenova_02/ice_nova.ao",[],4,300,4066385562
15,"FlickerStrikeEffect","Metadata/Effects/Spells/flicker_strike_new/rig.ao",[],4,0,2998848949
16,"FlickerStrikeOutEffect","Metadata/Effects/Spells/flicker_strike_new/Flicker_Out.ao",[],4,0,4211873716
17,"FlickerStrikeInEffect","Metadata/Effects/Spells/flicker_strike_new/Flicker_In.ao",[],4,0,1006669798
18,"ShieldChargeEnd","Metadata/Effects/Spells/shield_charge/rig.ao",[],4,0,2537335503
19,"RaiseSpectreEffect","Metadata/Effects/Spells/raise_specter_02/rig.ao",[],3,0,3791232352
20,"RaiseSpectreSummonEffect","Metadata/Effects/Spells/raise_specter_02/summon.ao",[],3,0,3885970488
21,"InfernalBlowEffect","Metadata/Effects/Spells/inner_fire_player/rig.ao",[],4,0,4261518550
22,"GlacialHammerOneHand","Metadata/Effects/Spells/icehammer/Onehander/rig.ao",[],4,0,2221584017
23,"GlacialHammerTwoHand","Metadata/Effects/Spells/icehammer/Twohanded/rig.ao",[],4,0,319940684
24,"GlacialHammerStaff","Metadata/Effects/Spells/icehammer/Staff/rig.ao",[],4,0,2937451073
25,"RaisedZombie","Metadata/Monsters/Zombies/Raised/Raised.ao",[],4,0,748149779
26,"ShockNovaEffect","Metadata/Effects/Spells/shock_nova/rig.ao",[],4,0,2227067672
27,"ViperStrikeOrb","Metadata/Effects/Spells/orbs/rig_poisonstrikes.ao",[],4,0,3436448129
28,"ViperStrikeEffect","Metadata/Effects/Spells/viper_strike/rig.ao",[],4,0,3081851164
29,"PhaseRunEffect","Metadata/Effects/Spells/phase_run/rig.ao",[],4,0,3806277643
30,"FuseArrow","Metadata/Effects/Spells/explosivearrow_2/projectile/arrow_base_stuck.ao",[],3,0,2786102529
31,"FuseArrowExplode","Metadata/Effects/Spells/explosivearrow_2/explosion/explosion.ao",[],4,165,1681772990
32,"IncaBossExplosion","Metadata/Effects/Spells/monsters_effects/inca_shadow/red/largeslam.ao",[],4,0,1677068079
33,"IncaBossSummon","Metadata/Effects/Spells/monsters_effects/inca_shadow/black/rig.ao",[],4,0,558268571
34,"TemporalChainsOrb","Metadata/Effects/Spells/curses/temporal_chains.ao",[],4,0,3289586973
35,"ElementalWeaknessOrb","Metadata/Effects/Spells/curses/reduce_resistance.ao",[],4,0,4142156310
36,"FireWeaknessOrb","Metadata/Effects/Spells/curses/ele_weakness/fire.ao",[],4,0,3767183306
37,"ColdWeaknessOrb","Metadata/Effects/Spells/curses/ele_weakness/ice.ao",[],4,0,3061578464
38,"LightningWeaknessOrb","Metadata/Effects/Spells/curses/ele_weakness/light.ao",[],4,0,2001116390
39,"WarlordsMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_warlord.ao",[],4,0,1877035532
40,"PunishmentOrb","Metadata/Effects/Spells/curses/punishment.ao",[],4,0,3057635180
41,"EnfeebleOrb","Metadata/Effects/Spells/curses/enfeeble.ao",[],4,0,3151969978
42,"AssassinsMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_assassin.ao",[],4,0,3481332523
43,"ProjectileWeaknessOrb","Metadata/Effects/Spells/curses_02/marks/mark_sniper.ao",[],4,0,1688788628
44,"VulnerabilityOrb","Metadata/Effects/Spells/curses/vulnerability.ao",[],4,0,3731188064
45,"MinionSacrificeOrb","Metadata/Effects/Spells/curses_02/orbs/minion_sacrifice_orb/minion_sacrifice.ao",[],4,0,1683309194
46,"PoachersMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_poacher.ao",[],4,0,115418229
47,"AlchemistsMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_alchemy.ao",[],4,0,3222903469
48,"PenanceMarkOrb","Metadata/Effects/Spells/curses_02/marks/mark_penance.ao",[],4,0,2749089887
49,"TemporalChainsCast","Metadata/Effects/Spells/curses_02/area/temporal_chains_aoe.ao",[],4,300,1131452644
