"rownum","Id","i32_8","Stats","StatsValues","CraftingItemType","i32_60","CorpsesNotConsumed","CraftingItemTypes","Achievements","MatchingMonsters"
0,"NULL",0,[],[],"",0,"",[],[],0
1,"DoesNothing",1,[],[],"",0,"",[],[],0
2,"AdditionalExplicitMod",3,[19849],[1],"",0,"",[],[],0
3,"MinusExplicitMod",4,[19849],[-1],"",0,"",[],[],0
4,"Quality",5,[19851],[5],"",0,"",[],[],0
5,"Fracture",6,[19852],[25],"",0,"",[],"[10315,10329]",0
6,"MorePhysicalModWeighting1",7,[19999],[200],"",0,"",[],"[10319,10333]",0
7,"MorePhysicalModWeighting2",8,[19999],[500],"",0,"",[],"[10319,10333]",0
8,"MoreFireModWeighting1",9,[20000],[200],"",0,"",[],"[10319,10333]",0
9,"MoreFireModWeighting2",10,[20000],[500],"",0,"",[],"[10319,10333]",0
10,"MoreColdModWeighting1",11,[20001],[200],"",0,"",[],"[10319,10333]",0
11,"MoreColdModWeighting2",12,[20001],[500],"",0,"",[],"[10319,10333]",0
12,"MoreLightningModWeighting1",13,[20002],[200],"",0,"",[],"[10319,10333]",0
13,"MoreLightningModWeighting2",14,[20002],[500],"",0,"",[],"[10319,10333]",0
14,"MoreChaosModWeighting1",15,[20003],[200],"",0,"",[],"[10319,10333]",0
15,"MoreChaosModWeighting2",16,[20003],[500],"",0,"",[],"[10319,10333]",0
16,"MoreLifeModWeighting1",17,[20004],[200],"",0,"",[],"[10319,10333]",0
17,"MoreLifeModWeighting2",18,[20004],[500],"",0,"",[],"[10319,10333]",0
18,"MoreManaModWeighting1",19,[20005],[200],"",0,"",[],"[10319,10333]",0
19,"MoreManaModWeighting2",20,[20005],[500],"",0,"",[],"[10319,10333]",0
20,"MoreAttackModWeighting1",21,[20006],[100],"",0,"",[],"[10319,10333]",0
21,"MoreAttackModWeighting2",22,[20006],[300],"",0,"",[],"[10319,10333]",0
22,"MoreCasterModWeighting1",23,[20007],[100],"",0,"",[],"[10319,10333]",0
23,"MoreCasterModWeighting2",24,[20007],[300],"",0,"",[],"[10319,10333]",0
24,"MoreElementalModWeighting1",25,[20040],[100],"",0,"",[],"[10319,10333]",0
25,"MoreElementalModWeighting2",26,[20040],[300],"",0,"",[],"[10319,10333]",0
26,"MoreDefencesModWeighting1",27,[20041],[200],"",0,"",[],"[10319,10333]",0
27,"MoreDefencesModWeighting2",28,[20041],[500],"",0,"",[],"[10319,10333]",0
28,"MoreCriticalModWeighting1",29,[20042],[200],"",0,"",[],"[10319,10333]",0
29,"MoreCriticalModWeighting2",30,[20042],[500],"",0,"",[],"[10319,10333]",0
30,"MoreSpeedModWeighting1",31,[20043],[200],"",0,"",[],"[10319,10333]",0
31,"MoreSpeedModWeighting2",32,[20043],[500],"",0,"",[],"[10319,10333]",0
32,"MoreAttributeModWeighting1",33,[20044],[200],"",0,"",[],"[10319,10333]",0
33,"MoreAttributeModWeighting2",34,[20044],[500],"",0,"",[],"[10319,10333]",0
34,"MoreResistanceModWeighting1",35,[20045],[200],"",0,"",[],"[10319,10333]",0
35,"MoreResistanceModWeighting2",36,[20045],[500],"",0,"",[],"[10319,10333]",0
36,"MoreGemModWeighting1",37,[20046],[200],"",0,"",[],"[10319,10333]",0
37,"MoreGemModWeighting2",38,[20046],[500],"",0,"",[],"[10319,10333]",0
38,"MoreMinionModWeighting1",39,[20047],[200],"",0,"",[],"[10319,10333]",0
39,"MoreMinionModWeighting2",40,[20047],[500],"",0,"",[],"[10319,10333]",0
40,"RarerPhysicalModWeighting1",41,[20063],[100],"",0,"",[],"[10323,10337]",0
41,"RarerPhysicalModWeighting2",42,[20063],[300],"",0,"",[],"[10323,10337]",0
42,"RarerFireModWeighting1",43,[20064],[100],"",0,"",[],"[10323,10337]",0
43,"RarerFireModWeighting2",44,[20064],[300],"",0,"",[],"[10323,10337]",0
44,"RarerColdModWeighting1",45,[20065],[100],"",0,"",[],"[10323,10337]",0
45,"RarerColdModWeighting2",46,[20065],[300],"",0,"",[],"[10323,10337]",0
46,"RarerLightningModWeighting1",47,[20066],[100],"",0,"",[],"[10323,10337]",0
47,"RarerLightningModWeighting2",48,[20066],[300],"",0,"",[],"[10323,10337]",0
48,"RarerChaosModWeighting1",49,[20067],[100],"",0,"",[],"[10323,10337]",0
49,"RarerChaosModWeighting2",50,[20067],[300],"",0,"",[],"[10323,10337]",0
50,"RarerLifeModWeighting1",51,[20068],[100],"",0,"",[],"[10323,10337]",0
51,"RarerLifeModWeighting2",52,[20068],[300],"",0,"",[],"[10323,10337]",0
52,"RarerManaModWeighting1",53,[20069],[100],"",0,"",[],"[10323,10337]",0
53,"RarerManaModWeighting2",54,[20069],[300],"",0,"",[],"[10323,10337]",0
54,"RarerAttackModWeighting1",55,[20070],[50],"",0,"",[],"[10323,10337]",0
55,"RarerAttackModWeighting2",56,[20070],[150],"",0,"",[],"[10323,10337]",0
56,"RarerCasterModWeighting1",57,[20071],[50],"",0,"",[],"[10323,10337]",0
57,"RarerCasterModWeighting2",58,[20071],[150],"",0,"",[],"[10323,10337]",0
58,"RarerElementalModWeighting1",59,[20072],[50],"",0,"",[],"[10323,10337]",0
59,"RarerElementalModWeighting2",60,[20072],[150],"",0,"",[],"[10323,10337]",0
60,"RarerDefencesModWeighting1",61,[20073],[100],"",0,"",[],"[10323,10337]",0
61,"RarerDefencesModWeighting2",62,[20073],[300],"",0,"",[],"[10323,10337]",0
62,"RarerCriticalModWeighting1",63,[20074],[100],"",0,"",[],"[10323,10337]",0
63,"RarerCriticalModWeighting2",64,[20074],[300],"",0,"",[],"[10323,10337]",0
64,"RarerSpeedModWeighting1",65,[20075],[100],"",0,"",[],"[10323,10337]",0
65,"RarerSpeedModWeighting2",66,[20075],[300],"",0,"",[],"[10323,10337]",0
66,"RarerAttributeModWeighting1",67,[20076],[100],"",0,"",[],"[10323,10337]",0
