"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
0,"GamepadActionSocketJewelInPassiveTree","Socket In Passive Tree","Enchâsser dans l'Arbre des Talents","In Fertigkeitenbaum einfassen","パッシブツリーにソケットする","패시브 트리에 장착하기","Encaixe na Árvore Passiva","Разместить в древе пассивных умений","Engarzar en el árbol de pasivas","ใส่ลงในตารางพาสซีฟ","放入天賦樹插槽中","","","","","","","","","","","",675109749,"",""
1,"MtxOptionBuyMore","Buy More","Acheter plus","Mehr kaufen","さらに購入","더 구입하기","Comprar Mais","Купить ещё","Comprar más","ซื้อเพิ่ม","購買更多","","","","","","","","","","","",-2031315751,"",""
2,"ConsoleActionClearSearch","Clear Search","Effacer la recherche","Suche leeren","検索をクリア","검색 초기화","Limpar Busca","Очистить строку поиска","Borrar búsqueda","ล้างการค้นหา","清除搜尋","","","","","","","","","","","",447930731,"",""
3,"WorldPanelGamepadToHideout","Warp to Hideout","Vous téléporter au Repaire","Zum Versteck reisen","隠れ家にワープする","은신처로 차원 이동","Ir até o Refúgio","Перенестись в убежище","Teletransportarse a la guarida","วาร์ปไปยังที่ซ่อน","傳送至藏身處","","","","","","","","","","","",-244808292,"",""
4,"WorldPanelGamepadToLastArea","Return to {0}","Retourner à {0}","Zurückkehren zu {0}","{0}に戻る","{0}(으)로 돌아가기","Voltar para {0}","Вернуться в {0}","Regresar a {0}","กลับไปยัง {0}","返回 {0}","","","","","","","","","","","",-1701404421,"",""
5,"GamepadTargetingModeTitleMelee","Targeting Mode\r\n<bigger>{<valuedefault>{Melee}}","Mode de ciblage\r\n<bigger>{<valuedefault>{Mêlée}}","Zielmodus\r\n<bigger>{<valuedefault>{Nahkampf}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{近接}}","대상 지정 모드\r\n<bigger>{<valuedefault>{근접}}","Modo de Mira\r\n<bigger>{<valuedefault>{Corpo a Corpo}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Ближний бой}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{Cuerpo a cuerpo}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{ประชิด}}","目標鎖定模式\r\n<bigger>{<valuedefault>{近戰}}","","","","","","","","","","","",-422084525,"",""
6,"GamepadTargetingModeTitleRanged","Targeting Mode\r\n<bigger>{<valuedefault>{Ranged}}","Mode de ciblage\r\n<bigger>{<valuedefault>{À distance}}","Zielmodus\r\n<bigger>{<valuedefault>{Fernkampf}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{遠距離}}","대상 지정 모드\r\n<bigger>{<valuedefault>{원거리}}","Modo de Mira\r\n<bigger>{<valuedefault>{Distância}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Дальний бой}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{A distancia}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{ระยะไกล}}","目標鎖定模式\r\n<bigger>{<valuedefault>{遠程}}","","","","","","","","","","","",-1193362761,"",""
7,"GamepadTargetingModeTitleCustom","Targeting Mode\r\n<bigger>{<valuedefault>{Custom}}","Mode de ciblage\r\n<bigger>{<valuedefault>{Personnalisé}}","Zielmodus\r\n<bigger>{<valuedefault>{Benutzerdefiniert}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{カスタム}}","대상 지정 모드\r\n<bigger>{<valuedefault>{사용자 지정}}","Modo de Mira\r\n<bigger>{<valuedefault>{Customizado}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Настраиваемый}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{Personalizado}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{ปรับแต่ง}}","目標鎖定模式\r\n<bigger>{<valuedefault>{自訂}}","","","","","","","","","","","",321987256,"",""
8,"GamepadTargetingSelectTitle","Select Targeting Mode","Choisir le mode de ciblage","Zielmodus wählen","ターゲティングモードを選択","대상 지정 모드 선택","Selecionar Modo de Mira","Выберите режим прицеливания","Elige un modo de selección de objetivos","เลือกโหมดเลือกเป้าหมาย","選擇目標選擇模式","","","","","","","","","","","",-1690848260,"",""
9,"GamepadTargetingMeleeDescription","<subtitle>{Melee}\r\nPrecise and responsive targeting.\r\n\r\n<italic>{<subtitle>{Select to always use Melee mode.}}","<subtitle>{Mêlée}\r\nCiblage précis et réactif.\r\n\r\n<italic>{<subtitle>{Sélectionner pour toujours utiliser le mode Mêlée.}}","<subtitle>{Nahkampf}\r\nPräzises und reaktionsschnelles Zielen.\r\n\r\n<italic>{<subtitle>{Mit dieser Einstellung wird immer der Nahkampfmodus verwendet.}}","<subtitle>{近接}\r\n正確で高い応答性のターゲティング。\r\n\r\n<italic>{<subtitle>{常に近接モードを使用するように設定}}","<subtitle>{근접}\r\n정밀하고 반응이 빠른 대상 지정 모드입니다.\r\n\r\n<italic>{<subtitle>{선택하면 항상 근접 모드를 사용합니다.}}","<subtitle>{Corpo a Corpo} \r\nMira precisa e responsiva. \r\n\r\n<italic>{<subtitle>{Selecione para sempre usar o modo Corpo a Corpo.}} ","<subtitle>{Ближний бой}\r\nТочное и отзывчивое целеуказание.\r\n\r\n<italic>{<subtitle>{Выберите, чтобы всегда использовать режим ближнего боя.}}\""","<subtitle>{Cuerpo a cuerpo}\r\nSelección de objetivos precisa y adaptativa.\r\n\r\n<italic>{<subtitle>{Establécelo para utilizar siempre el modo Cuerpo a cuerpo.}}","<subtitle>{ประชิด}\r\nเลือกเป้าหมายแม่นยำอย่างรวดเร็ว\r\n\r\n<italic>{<subtitle>{เลือกเพื่อใช้โหมดประชิดเท่านั้น}}","<subtitle>{近戰}\r\n精確且靈敏地鎖定目標。\r\n\r\n<italic>{<subtitle>{選擇永遠使用近戰模式。}}","","","","","","","","","","","",-845343387,"",""
