"rownum","Id","bool_8","bool_9","DisableChanceStat","DisableStat","LeagueChanceStat","AdditionalLeagueChanceStat","BaseLeagueChanceStat","ForcedSpawnStat","LeagueCountOverrideStat","rid_122","i32_138","bool_142","rid_143","bool_159","bool_160","[rid]_161","bool_177","rid_178"
0,"Anarchy",1,1,17189,[1895],17230,14013,"","[2282,3316]",5567,"",10,"",1396,"","",[],"",""
1,"Shrine",1,1,17190,[],17231,14010,"","[2506,9999,9998,20902,20908]",5730,"",10,"","",1,"",[],"",""
2,"VaalSideArea",1,1,17191,[],13836,"",2361,[5944],"","",1,"","",1,"",[2361],"",""
3,"Ambush",1,1,17192,[2572],17232,"","",[2505],5773,"",2,"","","","",[],"",""
4,"Beyond",1,1,"",[],16704,"","",[],"","",1,"","","",1,[],"",""
5,"Torment",1,1,17193,[2823],17233,14009,"","[2824,3317]",5694,"",10,"","","","",[],"",""
6,"Essence",1,1,17194,[],17234,15732,"","[4960,5708]",5579,"",10,"","","","",[],"",""
7,"Breach","",1,16347,[9424],13508,"",17263,"[21773,22731]","","",1,"","",1,"",[17263],1,""
8,"Harbinger",1,1,"",[16914],14011,"","",[6418],"","",10,"","","","",[],"",""
9,"Abyss",1,"",16346,[9424],13955,"",17261,"[6757,6758]","","",10,"","",1,"",[17261],1,""
10,"MasterMission",1,1,"",[2383],"","","",[5021],"","",1,"","",1,1,[],"",""
11,"Bestiary",1,1,"",[2383],20085,"",14015,[20137],"","",1,"","",1,1,[14015],"",""
12,"Incursion","",1,"",[2383],20086,"",14018,[20138],"","",1,"","",1,1,[14018],"",""
13,"Delve","",1,"",[2383],20088,"",14016,[20140],"","",1,"","",1,1,[14016],"",""
14,"Betrayal","",1,"",[2383],20087,"",14017,[20141],"","",1,"","",1,1,[14017],"",""
15,"Legion","",1,16349,[],13725,"",17267,[9497],"","",1,"","",1,"",[17267],1,""
16,"Blight",1,1,16351,[],13869,16099,17262,[10206],"","",1,"","",1,"",[17262],1,""
17,"Delirium","",1,16354,[],13861,"",17264,[12647],"","",1,"","","","",[17264],1,""
18,"Harvest","",1,16345,[],13518,"",17266,[11971],"","",1,"","",1,"",[17266],1,""
19,"Heist","",1,16353,[],13895,"",13831,"[13445,14363]","","",1,"","","","",[13831],1,""
20,"Ritual",1,"",16352,[],14252,"",17269,[14251],"","",1,"","","","",[17269],1,""
21,"Expedition","",1,16348,[],14934,"",17265,[14418],"","",1,"","","",1,[17265],1,""
22,"Sanctum","",1,"",[],"","","",[17183],"","",1,1,"",1,"",[],"",""
23,"Crucible","",1,"",[],"","","",[17910],"","",1,1,"",1,"",[],"",""
24,"Ultimatum","","",19230,[],19231,"",19232,[19233],"","",1,"","",1,1,[19232],1,""
25,"Azmeri","",1,"",[],"","","",[19234],"","",1,1,"",1,1,[],"",""
26,"Sentinel",1,1,"",[21373],"","","",[21277],"","",1,1,"","","",[],"",""
27,"Settlers","",1,21177,[21181],21178,21180,21179,"[21328,21329]","","",2,"","",1,"",[21179],1,21377
28,"Mercenaries","",1,21221,[21224],21222,"",21223,[21220],"","",1,"","","",1,[21223],1,""
