"rownum","string_0","i32_8","[i32]_12","string_28","[f32]_36","[f32]_52","rid_68","bool_84","i32_85","[i32]_89","[i32]_105"
0,"Map",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]","",1,0,"[0,0]","[5,235,517,160,186,77,163,155,172,378,184,58]"
1,"ShaperGuardian",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]",18,1,3,"[0,0]","[5,235,517,160,186,77,163,155,172,378,184,58]"
2,"VaalTemple",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]",17,1,3,"[0,0]","[5,235,517,160,186,77,163,155,172,378,184,58]"
3,"NightmareBoss",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]",19,1,3,"[0,0]","[5,235,517,160,186,77,163,155,172,378,184,58]"
4,"BlightedMap",4,"[6,7]","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapDeviceBacking","[0,-178,-89,0,89,178]","[238,84,84,84,84,84]","",1,2,"[0,0]","[5,235,517,160,186,77,163,155,172,378,184,58]"
5,"ReliquaryMap",1,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial1x1",[1],[109],16,"",3,"[83,117]","[130,123,216,241]"
6,"UniqueMap",1,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial1x1",[1],[109],"","",1,"[83,117]","[130,123,216,241]"
7,"SingleItemRecipe",1,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial1x1",[1],[109],"","",4,"[83,117]","[130,123,216,241]"
8,"FourSlotRecipe",4,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial4x1","[-49,-49,46,46]","[193,99,193,99]","","",4,"[76,110]","[124,131,224,322]"
9,"FiveSlotRecipe",5,[],"Art/2DArt/UIImages/InGame/AtlasScreen/AtlasMapBackingSpecial5x1","[-96,101,101,-96,3]","[258,258,74,74,167]","","",4,"[72,106]","[71,121,334,323]"
