"rownum","Id","i32_8","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","string_20","string_20 (French)","string_20 (German)","string_20 (Japanese)","string_20 (Korean)","string_20 (Portuguese)","string_20 (Russian)","string_20 (Spanish)","string_20 (Thai)","string_20 (Traditional Chinese)","Description1","Description1 (French)","Description1 (German)","Description1 (Japanese)","Description1 (Korean)","Description1 (Portuguese)","Description1 (Russian)","Description1 (Spanish)","Description1 (Thai)","Description1 (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)","Type","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","rid_60","rid_76","ShopTag","string_108","i32_116","i32_120","i32_124","i32_128","i32_132","bool_136","string_137","bool_145","bool_146","bool_147","string_148","string_148 (French)","string_148 (German)","string_148 (Japanese)","string_148 (Korean)","string_148 (Portuguese)","string_148 (Russian)","string_148 (Spanish)","string_148 (Thai)","string_148 (Traditional Chinese)","string_156","string_156 (French)","string_156 (German)","string_156 (Japanese)","string_156 (Korean)","string_156 (Portuguese)","string_156 (Russian)","string_156 (Spanish)","string_156 (Thai)","string_156 (Traditional Chinese)","string_164","string_164 (French)","string_164 (German)","string_164 (Japanese)","string_164 (Korean)","string_164 (Portuguese)","string_164 (Russian)","string_164 (Spanish)","string_164 (Thai)","string_164 (Traditional Chinese)","string_172","string_172 (French)","string_172 (German)","string_172 (Japanese)","string_172 (Korean)","string_172 (Portuguese)","string_172 (Russian)","string_172 (Spanish)","string_172 (Thai)","string_172 (Traditional Chinese)"
0,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetUpgradeScroll",234032333,"Pet Upgrade Scroll","Parchemin d'amélioration de Familier","Pet Upgrade Scroll","ペットアップグレードスクロール","애완동물 업그레이드 주문서","Tencent","Pet Upgrade Scroll","Pergamino de mejora de mascota","แผ่นอัพเกรดสัตว์เลี้ยง","寵物升級卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Pet","Cette MTX peut être utilisée sur un Familier améliorable","Can be used with an Upgradeable Pet","アップグレード可能なペットと共に使用できます","업그레이드 가능한 애완동물에 사용 가능","Pode ser usado com um Mascote Aprimorável","Можно использовать с улучшаемым питомцем","Puede usarse con una mascota mejorable","ใช้กับ สัตว์เลี้ยง​ที่​อัพเกรด​ได้","可以用於可升級的寵物","Combine this item with an Upgradeable Pet to use it","Combinez cet objet avec un Familier améliorable afin de l'utiliser.","Combine this item with an Upgradeable Pet to use it","このアイテムをアップグレード可能なペットと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 애완동물과 조합하십시오.","Combine este item com um Mascote Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемым питомцем","Combina este objeto con una mascota mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สัตว์เลี้ยงที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的寵物和此物品合成","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetUpgradeScroll",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToNormalScroll",1025707758,"Pet Convert to Normal Scroll","Parchemin de conversion de Familier : Normal","Pet Convert to Normal Scroll","ペット通常変換スクロール","애완동물 일반 전환 주문서","Tencent","Pet Convert to Normal Scroll","Pergamino de conversión de mascota a normal","แผ่นแปลงเป็นปกติสัตว์เลี้ยง","寵物轉化卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Pet","Cette MTX peut être utilisée sur un Familier améliorable","Can be used with an Upgradeable Pet","アップグレード可能なペットと共に使用できます","업그레이드 가능한 애완동물에 사용 가능","Pode ser usado com um Mascote Aprimorável","Можно использовать с улучшаемым питомцем","Puede usarse con una mascota mejorable","ใช้กับ สัตว์เลี้ยง​ที่​อัพเกรด​ได้","可以用於可升級的寵物","Combine this item with an Upgradeable Pet to use it","Combinez cet objet avec un Familier améliorable afin de l'utiliser.","Combine this item with an Upgradeable Pet to use it","このアイテムをアップグレード可能なペットと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 애완동물과 조합하십시오.","Combine este item com um Mascote Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемым питомцем","Combina este objeto con una mascota mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สัตว์เลี้ยงที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的寵物和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentConvertToNormalScroll",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToSpecialScroll",-1711290524,"Pet Convert to Special Scroll","Parchemin de conversion de Familier : Spécial","Pet Convert to Special Scroll","ペット特殊変換スクロール","애완동물 특수 전환 주문서","Tencent","Pet Convert to Special Scroll","Pergamino de conversión de mascota a especial","แผ่นแปลงเป็นพิเศษสัตว์เลี้ยง","寵物轉化卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Pet","Cette MTX peut être utilisée sur un Familier améliorable","Can be used with an Upgradeable Pet","アップグレード可能なペットと共に使用できます","업그레이드 가능한 애완동물에 사용 가능","Pode ser usado com um Mascote Aprimorável","Можно использовать с улучшаемым питомцем","Puede usarse con una mascota mejorable","ใช้กับ สัตว์เลี้ยง​ที่​อัพเกรด​ได้","可以用於可升級的寵物","Combine this item with an Upgradeable Pet to use it","Combinez cet objet avec un Familier améliorable afin de l'utiliser.","Combine this item with an Upgradeable Pet to use it","このアイテムをアップグレード可能なペットと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 애완동물과 조합하십시오.","Combine este item com um Mascote Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемым питомцем","Combina este objeto con una mascota mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สัตว์เลี้ยงที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的寵物和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertStylesScroll",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertAndUpgradeScroll",-1103115581,"Pet Convert Styles and Upgrade Scroll","Parchemin de conversion de Familier : Style et Amélioration","Pet Convert Styles and Upgrade Scroll","ペットスタイルおよびアップグレード変換スクロール","애완동물 스타일 변경 및 업그레이드 주문서","Tencent","Pet Convert Styles and Upgrade Scroll","Pergamino de mejora y conversión de estilos de mascota","แผ่นแปลงสไตล์และอัพเกรดสัตว์เลี้ยง","寵物轉化型態和升級卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Pet","Cette MTX peut être utilisée sur un Familier améliorable","Can be used with an Upgradeable Pet","アップグレード可能なペットと共に使用できます","업그레이드 가능한 애완동물에 사용 가능","Pode ser usado com um Mascote Aprimorável","Можно использовать с улучшаемым питомцем","Puede usarse con una mascota mejorable","ใช้กับ สัตว์เลี้ยง​ที่​อัพเกรด​ได้","可以用於可升級的寵物","Combine this item with an Upgradeable Pet to use it","Combinez cet objet avec un Familier améliorable afin de l'utiliser.","Combine this item with an Upgradeable Pet to use it","このアイテムをアップグレード可能なペットと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 애완동물과 조합하십시오.","Combine este item com um Mascote Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемым питомцем","Combina este objeto con una mascota mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สัตว์เลี้ยงที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的寵物和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertAndUpgradeScroll",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToNormalScrollSpringDaughterOfSin",1695817319,"Spring Daughter of Sin Pet Convert to Normal Scroll","Parchemin de conversion de Fille de Péché (Printemps) : Normal","Spring Daughter of Sin Pet Convert to Normal Scroll","春のシンの娘ペット変換ノーマルスクロール","봄 씬의 딸 애완동물 일반 전환 주문서","Tencent","Spring Daughter of Sin Pet Convert to Normal Scroll","Spring Daughter of Sin Pet Convert to Normal Scroll","แผ่นแปลงเป็นปกติ สัตว์เลี้ยง Spring Daughter of Sin","春日罪孽之女寵物轉化為普通卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Microtransaction","Peut être utilisé sur une Microtransaction améliorable","Can be used with an Upgradeable Microtransaction","アップグレード可能なマイクロトランザクションと共に使用できます","업그레이드 가능한 포인트 아이템에 사용 가능","Pode ser usado com uma Microtransação Aprimorável","Можно использовать с улучшаемой микротранзакцией","Puede usarse con una microtransacción mejorable","ใช้กับ สินค้าแฟชั่น​ที่​อัพเกรด​ได้","可以用於可升級的商城道具","Combine this item with an Upgradeable Microtransaction to use it","Combinez cet objet avec une Microtransaction améliorable.","Combine this item with an Upgradeable Microtransaction to use it","このアイテムをアップグレード可能なマイクロトランザクションと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 포인트 아이템과 조합하십시오.","Combine este item com uma Microtransação Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемой микротранзакцией","Combina este objeto con una microtransacción mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สินค้า​แฟชั่น​ที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的商城道具和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertToNormalScrollSpringDaughterOfSin",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToSpecialScrollSpringDaughterOfSin",1493497742,"Spring Daughter of Sin Pet Convert to Special Scroll","Parchemin de conversion de Fille de Péché (Printemps) : Spécial","Spring Daughter of Sin Pet Convert to Special Scroll","春のシンの娘ペット変換スペシャルスクロール","봄 씬의 딸 애완동물 특수 전환 주문서","Tencent","Spring Daughter of Sin Pet Convert to Special Scroll","Spring Daughter of Sin Pet Convert to Special Scroll","แผ่นแปลงเป็นพิเศษ สัตว์เลี้ยง Spring Daughter of Sin","春日罪孽之女寵物轉化為特殊卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Microtransaction","Peut être utilisé sur une Microtransaction améliorable","Can be used with an Upgradeable Microtransaction","アップグレード可能なマイクロトランザクションと共に使用できます","업그레이드 가능한 포인트 아이템에 사용 가능","Pode ser usado com uma Microtransação Aprimorável","Можно использовать с улучшаемой микротранзакцией","Puede usarse con una microtransacción mejorable","ใช้กับ สินค้าแฟชั่น​ที่​อัพเกรด​ได้","可以用於可升級的商城道具","Combine this item with an Upgradeable Microtransaction to use it","Combinez cet objet avec une Microtransaction améliorable.","Combine this item with an Upgradeable Microtransaction to use it","このアイテムをアップグレード可能なマイクロトランザクションと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 포인트 아이템과 조합하십시오.","Combine este item com uma Microtransação Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемой микротранзакцией","Combina este objeto con una microtransacción mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สินค้า​แฟชั่น​ที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的商城道具和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertToSpecialScrollSpringDaughterOfSin",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertAndUpgradeScrollSpringDaughterOfSin",476187717,"Spring Daughter of Sin Pet Convert Styles and Upgrade Scroll","Parchemin de conversion de Fille de Péché (Printemps) : Style et Amélioration","Spring Daughter of Sin Pet Convert Styles and Upgrade Scroll","春のシンの娘ペットスタイル変換およびアップグレードスクロール","봄 씬의 딸 애완동물 스타일 변경 및 업그레이드 주문서","Tencent","Spring Daughter of Sin Pet Convert Styles and Upgrade Scroll","Spring Daughter of Sin Pet Convert Styles and Upgrade Scroll","แผ่นแปลงสไตล์และอัพเกรด สัตว์เลี้ยง Spring Daughter of Sin","春日罪孽之女寵物轉化型態和升級卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Microtransaction","Peut être utilisé sur une Microtransaction améliorable","Can be used with an Upgradeable Microtransaction","アップグレード可能なマイクロトランザクションと共に使用できます","업그레이드 가능한 포인트 아이템에 사용 가능","Pode ser usado com uma Microtransação Aprimorável","Можно использовать с улучшаемой микротранзакцией","Puede usarse con una microtransacción mejorable","ใช้กับ สินค้าแฟชั่น​ที่​อัพเกรด​ได้","可以用於可升級的商城道具","Combine this item with an Upgradeable Microtransaction to use it","Combinez cet objet avec une Microtransaction améliorable.","Combine this item with an Upgradeable Microtransaction to use it","このアイテムをアップグレード可能なマイクロトランザクションと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 포인트 아이템과 조합하십시오.","Combine este item com uma Microtransação Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемой микротранзакцией","Combina este objeto con una microtransacción mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สินค้า​แฟชั่น​ที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的商城道具和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertAndUpgradeScrollSpringDaughterOfSin",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToNormalScrollSpringHasina",-1585418902,"Spring Hasina Pet Convert to Normal Scroll","Parchemin de conversion de Familier d'Hasina (Printemps) : Normal","Spring Hasina Pet Convert to Normal Scroll","春のハシナペット変換ノーマルスクロール","봄 하시나 애완동물 일반 전환 주문서","Tencent","Spring Hasina Pet Convert to Normal Scroll","Spring Hasina Pet Convert to Normal Scroll","แผ่นแปลงเป็นปกติ สัตว์เลี้ยง Spring Hasina","春日哈希娜寵物轉化為普通卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Microtransaction","Peut être utilisé sur une Microtransaction améliorable","Can be used with an Upgradeable Microtransaction","アップグレード可能なマイクロトランザクションと共に使用できます","업그레이드 가능한 포인트 아이템에 사용 가능","Pode ser usado com uma Microtransação Aprimorável","Можно использовать с улучшаемой микротранзакцией","Puede usarse con una microtransacción mejorable","ใช้กับ สินค้าแฟชั่น​ที่​อัพเกรด​ได้","可以用於可升級的商城道具","Combine this item with an Upgradeable Microtransaction to use it","Combinez cet objet avec une Microtransaction améliorable.","Combine this item with an Upgradeable Microtransaction to use it","このアイテムをアップグレード可能なマイクロトランザクションと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 포인트 아이템과 조합하십시오.","Combine este item com uma Microtransação Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемой микротранзакцией","Combina este objeto con una microtransacción mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สินค้า​แฟชั่น​ที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的商城道具和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertToNormalScrollSpringHasina",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertToSpecialScrollSpringHasina",734384000,"Spring Hasina Pet Convert to Special Scroll","Parchemin de conversion de Familier d'Hasina (Printemps) : Spécial","Spring Hasina Pet Convert to Special Scroll","春のハシナペット変換スペシャルスクロール","봄 하시나 애완동물 특수 전환 주문서","Tencent","Spring Hasina Pet Convert to Special Scroll","Spring Hasina Pet Convert to Special Scroll","แผ่นแปลงเป็นพิเศษ สัตว์เลี้ยง Spring Hasina","春日哈希娜寵物轉化為特殊卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Microtransaction","Peut être utilisé sur une Microtransaction améliorable","Can be used with an Upgradeable Microtransaction","アップグレード可能なマイクロトランザクションと共に使用できます","업그레이드 가능한 포인트 아이템에 사용 가능","Pode ser usado com uma Microtransação Aprimorável","Можно использовать с улучшаемой микротранзакцией","Puede usarse con una microtransacción mejorable","ใช้กับ สินค้าแฟชั่น​ที่​อัพเกรด​ได้","可以用於可升級的商城道具","Combine this item with an Upgradeable Microtransaction to use it","Combinez cet objet avec une Microtransaction améliorable.","Combine this item with an Upgradeable Microtransaction to use it","このアイテムをアップグレード可能なマイクロトランザクションと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 포인트 아이템과 조합하십시오.","Combine este item com uma Microtransação Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемой микротранзакцией","Combina este objeto con una microtransacción mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สินค้า​แฟชั่น​ที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的商城道具和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertToSpecialScrollSpringHasina",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"Metadata/Items/MicrotransactionCurrency/MicrotransactionPetConvertAndUpgradeScrollSpringHasina",1073969766,"Spring Hasina Pet Convert Styles and Upgrade Scroll","Parchemin de conversion de Familier d'Hasina (Printemps) : Style et Amélioration","Spring Hasina Pet Convert Styles and Upgrade Scroll","春のハシナペットスタイル変換およびアップグレードスクロール","봄 하시나 애완동물 스타일 변경 및 업그레이드 주문서","Tencent","Spring Hasina Pet Convert Styles and Upgrade Scroll","Spring Hasina Pet Convert Styles and Upgrade Scroll","แผ่นแปลงสไตล์และอัพเกรด สัตว์เลี้ยง Spring Hasina","春日哈希娜寵物轉化型態和升級卷軸","","M","N","","","N","M","M","","","Can be used with an Upgradeable Microtransaction","Peut être utilisé sur une Microtransaction améliorable","Can be used with an Upgradeable Microtransaction","アップグレード可能なマイクロトランザクションと共に使用できます","업그레이드 가능한 포인트 아이템에 사용 가능","Pode ser usado com uma Microtransação Aprimorável","Можно использовать с улучшаемой микротранзакцией","Puede usarse con una microtransacción mejorable","ใช้กับ สินค้าแฟชั่น​ที่​อัพเกรด​ได้","可以用於可升級的商城道具","Combine this item with an Upgradeable Microtransaction to use it","Combinez cet objet avec une Microtransaction améliorable.","Combine this item with an Upgradeable Microtransaction to use it","このアイテムをアップグレード可能なマイクロトランザクションと組み合わせて使用します。","사용하려면 해당 아이템을 업그레이드 가능한 포인트 아이템과 조합하십시오.","Combine este item com uma Microtransação Aprimorável para utilizá-lo","Объедините этот предмет с улучшаемой микротранзакцией","Combina este objeto con una microtransacción mejorable para usarlo","ผสม​ไอเทม​ชิ้น​นี้​เข้า​กับ สินค้า​แฟชั่น​ที่​อัพเกรด​ได้ เพื่อ​ใช้​งาน","使用可升級的商城道具和此物品合成。","","","","","","","","","","","","","","","","","","","","","","",438,"",3,1,1,1,5,"","TencentPetConvertAndUpgradeScrollSpringHasina",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
