"rownum","Id","Rarity","[rid]_24","[rid]_40","i32_56","bool_60","[i32]_61","i32_77","bool_81","[rid]_82","Stats"
0,"MicrotransactionBreachHandOnKill","[2,3]",[],[],1,"","[50,100]",0,"",[],[]
1,"MicrotransactionRareUnique","[2,3]",[],[],1,"",[],0,"",[],[]
2,"MicrotransactionRare",[2],[],[],1,"",[],0,"",[],[]
3,"MicrotransactionAllRarities","[0,1,2,3]",[],[],1,"",[],0,"",[],[]
4,"MicrotransactionUnique",[3],[],[],1,"",[],0,"",[],[]
5,"SandwraithMastodon","[0,1,2,3]",[],[],40,"",[],0,"",[],[]
6,"MicrotransactionCursedNormal20Percent",[0],[],[],1,"",[20],0,"",[],[721]
7,"MicrotransactionCursedMagic",[1],[],[],1,"",[],0,"",[],[721]
8,"MicrotransactionCursedRare",[2],[],[],1,"",[],0,"",[],[721]
9,"MicrotransactionCursedUnique",[3],[],[],1,"",[],0,"",[],[721]
10,"MicrotransactionAllRaritiesPhrecian","[0,1,2,3]",[],[],1,"","[30,60,100,100]",0,"",[],[]
