"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","IsUpgradableEssenceSlot"
0,"Metadata/Items/Currency/CurrencyEssenceHatred1",98,480,183,0,1,1,1
1,"Metadata/Items/Currency/CurrencyEssenceHatred2",99,408,183,1,1,1,1
2,"Metadata/Items/Currency/CurrencyEssenceHatred3",100,335,183,2,1,1,1
3,"Metadata/Items/Currency/CurrencyEssenceHatred4",101,263,183,3,1,1,1
4,"Metadata/Items/Currency/CurrencyEssenceHatred5",102,190,183,4,1,1,1
5,"Metadata/Items/Currency/CurrencyEssenceHatred6",103,117,183,5,1,1,1
6,"Metadata/Items/Currency/CurrencyEssenceHatred7",104,44,183,6,1,1,""
7,"Metadata/Items/Currency/CurrencyEssenceWoe1",105,480,256,7,1,1,1
8,"Metadata/Items/Currency/CurrencyEssenceWoe2",106,408,256,8,1,1,1
9,"Metadata/Items/Currency/CurrencyEssenceWoe3",107,335,256,9,1,1,1
10,"Metadata/Items/Currency/CurrencyEssenceWoe4",108,263,256,10,1,1,1
11,"Metadata/Items/Currency/CurrencyEssenceWoe5",109,190,256,11,1,1,1
12,"Metadata/Items/Currency/CurrencyEssenceWoe6",110,117,256,12,1,1,1
13,"Metadata/Items/Currency/CurrencyEssenceWoe7",111,44,256,13,1,1,""
14,"Metadata/Items/Currency/CurrencyEssenceGreed1",112,480,38,14,1,1,1
15,"Metadata/Items/Currency/CurrencyEssenceGreed2",113,408,38,15,1,1,1
16,"Metadata/Items/Currency/CurrencyEssenceGreed3",114,335,38,16,1,1,1
17,"Metadata/Items/Currency/CurrencyEssenceGreed4",115,263,38,17,1,1,1
18,"Metadata/Items/Currency/CurrencyEssenceGreed5",116,190,38,18,1,1,1
19,"Metadata/Items/Currency/CurrencyEssenceGreed6",117,117,38,19,1,1,1
20,"Metadata/Items/Currency/CurrencyEssenceGreed7",118,44,38,20,1,1,""
21,"Metadata/Items/Currency/CurrencyEssenceContempt1",119,480,111,21,1,1,1
22,"Metadata/Items/Currency/CurrencyEssenceContempt2",120,408,111,22,1,1,1
23,"Metadata/Items/Currency/CurrencyEssenceContempt3",121,335,111,23,1,1,1
24,"Metadata/Items/Currency/CurrencyEssenceContempt4",122,263,111,24,1,1,1
25,"Metadata/Items/Currency/CurrencyEssenceContempt5",123,190,111,25,1,1,1
26,"Metadata/Items/Currency/CurrencyEssenceContempt6",124,117,111,26,1,1,1
27,"Metadata/Items/Currency/CurrencyEssenceContempt7",125,44,111,27,1,1,""
28,"Metadata/Items/Currency/CurrencyEssenceSorrow1",126,408,547,28,1,1,1
29,"Metadata/Items/Currency/CurrencyEssenceSorrow2",127,335,547,29,1,1,1
30,"Metadata/Items/Currency/CurrencyEssenceSorrow3",128,263,547,30,1,1,1
