"rownum","BuffDefinitions","[i32]_16","StatsKeys","i32_48","[i32]_52","i32_68","i32_72","[i32]_76"
0,876,[],"[479,449]",0,[],0,0,[]
1,895,[],"[6352,6356]",0,[],1,0,[]
2,921,[],[347],25,"[1,2,0]",2,0,[]
3,923,"[1,1]",[479],0,[],3,0,[]
4,925,[],"[175,174,6360,1119]",0,[],4,0,[]
5,927,[],"[24,479,70,179]",0,[],5,0,[]
6,1115,[],"[24,70,218,179,479]",0,[],6,0,[]
7,919,[],"[6492,6493,6494]",0,[],7,0,[]
8,1176,[1],[],30,[2],8,0,[]
9,1284,[],[],0,[],9,0,[]
10,1337,[],"[179,70]",0,[],10,0,[]
11,1416,[],[24],0,[],11,0,[]
12,1427,[],"[719,24]",0,[],12,0,[]
13,1453,[],"[43,44,613,5079,479]",0,[],13,0,[]
14,1454,[],"[50,51,7549,479]",0,[],14,0,[]
15,1455,[],"[57,58,7550,479,661]",0,[],15,0,[]
16,1456,[],"[28,29,479,1949]",0,[],16,0,[]
17,1464,[],[141],0,[],17,0,[]
18,1471,[],[1999],200,"[2,9,13]",18,100,[]
19,1471,[],[1999],200,"[2,9,13]",19,85,[]
20,1471,[],[1999],200,"[2,9,13]",20,70,[]
21,1471,[],[1999],200,"[2,9,13]",21,55,[]
22,1471,[],[1999],200,"[2,9,13]",22,35,[]
23,1440,[],"[5979,5980,5982,5983,347]",74,"[2,9,10]",23,0,[]
24,1441,[],"[5979,5980,5982,5983,347]",55,"[2,9,10]",24,0,[]
25,1482,[],"[5979,5980,5982,5983,347]",74,"[2,9,18]",25,0,[]
26,1483,[],"[5979,5980,5982,5983,347]",55,"[2,9,18]",26,0,[]
27,928,[],"[24,479,70,179,3472]",0,[],28,0,[]
28,924,"[1,1,1]",[479],0,[],29,0,[]
29,926,[],"[175,174,6360,1119,10766]",0,[],30,0,[]
30,922,[],[347],35,"[1,0]",31,0,[]
31,929,[],"[597,661]",0,[],32,0,[]
32,1688,[],[1998],23,"[2,4,9]",33,0,[]
33,1688,[],[1998],11,"[2,4,9]",34,0,[]
34,1750,[],"[479,153,155]",16,"[2,10]",35,0,[]
35,1753,[],[347],0,[],36,0,[]
36,1770,[-8],[2002],120,"[2,9,10]",37,0,[]
37,1774,[],[479],28,"[1,9,14]",38,0,[]
38,1752,[],[347],120,"[0,1,2,9]",39,0,[]
39,1781,[],"[140,139]",0,[],40,0,[]
40,1688,[],[1998],23,"[2,3,9]",41,0,[]
41,1688,[],[1998],11,"[2,3,9]",42,0,[]
42,1811,[],[355],14,[2],43,0,[]
43,1812,[],[355],14,[2],44,0,[400]
44,1839,[],[],0,[],45,0,[]
45,1900,[],[1996],150,"[2,9,13]",46,55,[]
46,2007,[],"[3400,2000,17249]",38,"[2,13]",47,25,[]
47,2027,[],"[70,218,216,15688]",0,[],48,0,[]
48,1441,[],"[5979,5980,5982,5983,347]",48,"[2,9,10]",49,0,[]
49,2137,[],[2002],15,"[2,9]",50,0,[]
50,2280,[],[],0,[],51,0,[]
51,2238,[],[8558],31,"[2,14]",52,0,[]
52,2239,[],"[1055,140]",32,"[1,14]",53,0,[]
53,2240,[],[455],25,"[2,14]",54,0,[]
54,235,[30],[],0,[],55,0,[]
55,2248,[100],[],0,[],56,0,[]
56,215,"[20,20,20]",[],30,[1],57,0,[]
57,2289,[1000],[],0,[],58,0,[]
58,2292,[100],[],40,"[1,14]",59,0,[]
59,2293,[100],[],40,"[1,14]",60,0,[]
60,1521,[],[],40,"[2,14]",61,0,"[13,50]"
61,2305,[-75],[],60,"[2,14]",62,0,[]
62,1094,[-100],[],30,"[1,14]",63,0,[]
63,2320,[40],[],20,"[2,4,9]",64,0,[]
64,1440,[],"[5979,5980,5982,5983,347]",37,"[2,9,10]",65,0,[]
65,1441,[],"[5979,5980,5982,5983,347]",28,"[2,9,10]",66,0,[]
66,1482,[],"[5979,5980,5982,5983,347]",37,"[2,9,18]",67,0,[]
67,1483,[],"[5979,5980,5982,5983,347]",28,"[2,9,18]",68,0,[]
68,2368,[],"[45,46,66,67]",80,[1],69,0,[]
69,2376,[],[],0,[],70,0,[]
70,2377,[],"[66,67]",80,[1],71,0,[]
71,2381,[10],[],0,[],72,0,[]
72,2380,[],[455],25,"[2,14]",73,0,[]
73,2381,[30],[],80,[1],74,0,[]
74,2389,[],[25],60,[1],75,0,[]
75,2402,[20],[],80,[1],76,0,[]
76,1841,[10],[],0,[],1000,0,"[1,50]"
77,2436,[],[347],35,"[1,0,9]",77,0,[]
78,2608,"[15,15]",[],30,"[0,1]",78,0,[]
79,2609,[10],[],0,[],79,0,[]
80,2405,[1],[],50,[],80,0,[]
81,848,"[1,1]",[],0,[],81,0,[]
82,2717,[-30],[],0,[],82,0,[]
