"rownum","string_0","[rid]_8","string_24","rid_32","i32_48","string_52","rid_60"
0,"开一愀椀氀攀搀䜀爀愀昀琀䐀愀攀洀漀渀䄀爀洀䰀⸀愀漀",[],"Metadata/Monsters/Daemon/GraftDaemon/GraftDaemonArmR.ao","",13,"",""
1,"_NailedGraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_GraftDaemonArmR.ao",765,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolHandSlam.ais",11038
2,"NailedGraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_NailedGraftDaemonArmR.ao",766,6,"",11039
3,"ailedGraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedArmourGraftDaemonArmR.ao",767,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolImpaleBuff.ais",11040
4,"iledGraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_PHYS/PHYS_RedGraftDaemonArmR.ao",768,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/UulNetolLowLifeBuff.ais",11041
5,"ledGraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_GraftDaemonArmR.ao",761,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophMoltenShell.ais",11042
6,"edGraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_NailedGraftDaemonArmR.ao",762,1,"",11043
7,"dGraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedArmourGraftDaemonArmR.ao",763,4,"",11044
8,"GraftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_FIRE/FIRE_RedGraftDaemonArmR.ao",764,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/XophAilmentBuff.ais",11045
9,"raftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_GraftDaemonArmR.ao",769,1,"",11046
10,"aftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_NailedGraftDaemonArmR.ao",770,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/EshLightningClones.ais",11047
11,"ftDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedArmourGraftDaemonArmR.ao",771,1,"",11048
12,"tDaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/ARMS_LIGHT/LIGHT_RedGraftDaemonArmR.ao",772,3,"",11049
13,"DaemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_GraftDaemonArmR.ao",773,1,"",11050
14,"aemonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_NailedGraftDaemonArmR.ao",774,2,"Metadata/Monsters/Daemon/GraftDaemon/GraftAI/TulIceMortar.ais",11051
15,"emonArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedArmourGraftDaemonArmR.ao",775,5,"",11052
16,"monArmL.ao",[],"Metadata/Monsters/Daemon/GraftDaemon/Arms_COLD/COLD_RedGraftDaemonArmR.ao",776,12,"",11053
