"rownum","Id","i32_8","i32_12","bool_16"
0,"NeglectBoss_DivineProj_Erase",7500,10000,""
1,"NeglectBoss_DivineProj_Invocate",7500,10000,""
2,"NeglectBoss_DivineProj_Providence",7500,10000,""
3,"Merc_UltimateSkill",60000,120000,""
4,"Merc_Inspect",5000,7500,""
5,"Merc_WalkAway",5000,7500,""
6,"Merc_UniqueKill",30000,40000,""
7,"Merc_ChangeGear",10000,20000,""
8,"Merc_Rehire",5000,7500,""
9,"Merc_Reserve",5000,7500,""
10,"Merc_EnemyUltimateSkill",8000,15000,""
11,"Merc_PlayerDies",3000,3000,""
12,"BenevolenceBoss_ZanaRose",4000,5000,""
13,"FragmentBoss_GenericCooldown",4000,5000,""
14,"DjinnMTXApproach",30000,45000,""
15,"GenericShop",15000,20000,""
16,"AsyncTradeBuy",45000,45000,""
17,"AsyncTradeDelist",45000,45000,""
18,"AsyncPriceAdjust",45000,45000,""
19,"AsyncTradeSold",45000,45000,""
20,"AsyncTradeGeneric",45000,45000,""
21,"Vruun_WildBreachBoss",5000,7500,""
22,"Ailith_BeingHit",10000,14000,""
23,"Treasurer_ControlZone",20000,20000,""
24,"Treasurer_BoughtOrSold",20000,30000,""
25,"Ailith_Fertilise",15000,15000,""
26,"Ailith_Ability",4000,4000,""
27,"AtziriMirrorPortalMTX",240000,500000,""
28,"Saresh_Ability",5500,10000,""
29,"KiracReroll",20000,30000,""
30,"Zarokh_SareshFight",7000,13000,""
31,"Zarokh_MirageWilds",19500,29000,""
32,"FaridunWildBoss_Ability",6750,9000,""
33,"VampireTraderApproach",300000,450000,""
34,"CurrencyExchangePlaceOrder",15000,20000,""
35,"CurrencyExchangeRecieveShipment",15000,20000,""
36,"AsyncTradePriceChange",15000,18000,""
37,"AsyncTradeListItem",8000,15000,""
38,"AsyncTradeBuyItem",15000,20000,""
39,"AsyncTradeSellItemWild",60000,60000,""
40,"VampireServantIdle",300000,450000,""
41,"Finnegan_Approach",300000,450000,""
42,"Finnegan_Idle",300000,450000,""
43,"Val_LanternShrink",100000,100000,""
44,"Val_PlaceLantern",60000,60000,""
45,"Val_Drowning",60000,60000,""
46,"Brinerot_Swordsman",5000,10000,""
47,"Vesper_WeakCrafting",30000,30000,""
48,"Vesper_Craft",24000,32000,""
49,"DavinBossHead_Idle",300000,450000,""
50,"DavinBossHead_Approach",300000,450000,""
51,"Zarokh_Sekhema",750000,750000,""
52,"Velka_Combat",6150,10500,""
53,"Velka_CombatSpecial",7500,9250,""
54,"PlaceChart_Val",60000,60000,""
55,"PlaceChartBoss_Val",60000,60000,""
56,"TimeRewindPortal",30000,60000,""
