"rownum","Mtx","i32_16","rid_20","MtxPack"
0,42,50,2,6802
1,5050,50,2,6805
2,267,20,2,6799
3,266,15,3,6800
4,264,10,0,6798
5,42,10,2,6801
6,5050,10,2,6804
7,5050,5,1,6803
8,5797,1,8,""
9,5600,1,8,""
10,5402,1,8,""
11,5194,1,0,""
12,5801,1,2,""
13,5802,1,2,""
14,5684,1,7,""
15,5792,1,3,""
16,5796,1,3,""
17,5516,1,9,""
18,5419,1,4,""
19,5225,1,4,""
20,5685,1,7,""
21,5803,1,2,""
22,5683,1,0,""
23,5539,1,2,""
24,5601,1,4,""
25,5798,1,8,""
26,5258,1,2,""
27,5804,1,2,""
28,5303,1,2,""
29,5456,1,8,""
30,5464,1,3,""
31,5559,1,1,""
32,5686,1,7,""
33,551,1,8,""
34,547,1,8,""
35,4669,1,8,""
36,143,1,9,""
37,279,1,2,""
38,78,1,2,""
39,244,1,2,""
40,245,1,2,""
41,246,1,2,""
42,610,1,2,""
43,247,1,2,""
44,591,1,2,""
45,592,1,2,""
46,606,1,2,""
47,142,1,8,""
48,284,1,2,""
49,285,1,3,""
50,406,1,0,""
51,404,1,0,""
52,171,1,0,""
53,405,1,0,""
54,403,1,0,""
55,329,1,0,""
56,96,1,0,""
57,163,1,0,""
58,276,1,3,""
59,277,1,7,""
60,278,1,3,""
61,270,1,3,""
62,556,1,8,""
63,472,1,2,""
64,470,1,2,""
65,471,1,2,""
66,469,1,2,""
67,514,1,1,""
68,625,1,2,""
69,623,1,2,""
70,624,1,2,""
71,622,1,2,""
72,620,1,2,""
73,609,1,2,""
74,316,1,1,""
75,515,1,1,""
76,81,1,7,""
77,74,1,7,""
78,510,1,1,""
79,508,1,1,""
80,509,1,1,""
81,507,1,1,""
82,511,1,1,""
83,168,1,1,""
84,517,1,1,""
85,583,1,2,""
86,577,1,2,""
87,579,1,2,""
88,578,1,2,""
89,580,1,2,""
90,588,1,2,""
91,582,1,2,""
92,587,1,2,""
93,585,1,2,""
94,586,1,2,""
95,584,1,2,""
96,581,1,2,""
97,589,1,2,""
98,280,1,2,""
99,127,1,1,""
100,342,1,2,""
101,340,1,2,""
102,341,1,2,""
103,339,1,2,""
104,80,1,2,""
105,259,1,1,""
106,282,1,2,""
107,607,1,2,""
108,76,1,7,""
109,593,1,2,""
110,172,1,3,""
111,148,1,3,""
112,59,1,1,""
113,66,1,4,""
114,328,1,2,""
115,281,1,2,""
116,402,1,9,""
117,400,1,9,""
118,181,1,9,""
119,401,1,9,""
120,399,1,9,""
121,182,1,9,""
122,167,1,9,""
123,455,1,3,""
124,453,1,3,""
