"rownum","string_0","rid_8","rid_24","rid_40","rid_56","[i32]_72","string_88","rid_96"
0,"MTXBlackStarRing",6567,"",16437,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,7012435,7077989,7602277,7209071,6619212,6619254,5570668,112,4456448,7077989,7929953,2097192,3014705,2883637,8060960,7077968,7929953,6684741,6619238,7602275,2555944,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220]","",1
1,"MTXFieryLevelUp",6528,"",16331,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,7012435,7077989,7602277,7209071,6619212,6619254,5570668,112,4456448,7077989,7929953,2097192,3014705,2883637,8060960,7077968,7929953,6684741,6619238,7602275,2555944,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220]","",""
2,"MTXSkeletonLevelUp","",678,19942,1426,"[6619204,6357100,2621561,3211296,3473454,2097196,5243003,6357100,4522105,6684774,6488165,2621556,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304,7667795,6619248,7209074,7733359,3080289,7667827,6619248]","",""
3,"MTXFlyingParadeTwilightLevelUp","","",20744,"","[6619204,6357100,2621561,3211296,3145774,2097196,2097275,7274564,6357074,6553710,7143535,852008,589834,589833,852091,589834,589833,7077897,6488175,7077985,7340064,7471201,6553697,2097253,2097213,7077968,7929953,6684741,6619238,7602275,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106]","",""
4,"MTXDeshretsBlessingLevelUp","",727,21085,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,7012435,7077989,7602277,7209071,6619212,6619254,5570668,112,4456448,7077989,7929953,2097192,3014705,2883637,8060960,7077968,7929953,6684741,6619238,7602275,2555944,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220]","",""
5,"MTXValkyrieWingsLevelUp","",730,21092,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,7012435,7077989,7602277,7209071,6619212,6619254,5570668,112,4456448,7077989,7929953,2097192,3014705,2883637,8060960,7077968,7929953,6684741,6619238,7602275,2555944,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220]","",1
6,"MTXBloodyLevelUp",7802,"",21667,"","[6553665,4522084,6684774,6488165,5242996,6488161,2621547,2555936,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,7077954,7274607,7929956,6619212,6619254,7667820,2556016,2687008,59,5046272,5767252,6881351,6553708,6553701,6619212,6619254,5570668,112,4456448,7077989,7929953,2097192,3014704,2883641,8060960,852000,589834,589833]","",""
7,"MTXGildedLevelUp",7803,"",21668,"","[6619204,6357100,2621561,3145760,3735598,2097196,2097275,655373,589833,589833,6619218,7274605,6619254,6684741,6619238,7602275,6357072,7012451,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304]","",""
8,"MTXCrystalLevelUp",7804,"",21669,"","[6619204,6357100,2621561,3145760,3473454,2097196,2097275,655373,589833,589833,6619218,7274605,6619254,6684741,6619238,7602275,6357072,7012451,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304]","",""
9,"MTXMagicNatureLevelUp","","",22121,"","[7077968,7929953,6684741,6619238,7602275,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304,6357069,6881383,5111907,7602273,7471221,3080293,6357101,6881383,7209059,7602273,7471221,6226021,7733356]","",""
