"rownum","Id","bool_8","bool_9","bool_10","Mainhand_AnimationKey","Offhand_AnimationKey","bool_27","Stat","row_44","bool_52","row_53","[string]_61"
0,"Idle",1,"","","","","","","","","",[]
1,"Melee","","","","",3,"","","","","",[]
2,"MeleeWithStep","","","","","","","","","","",[]
3,"OffMelee","","","",1,"","","","","","",[]
4,"Run",1,"",1,"","","",16644,"","","",[]
5,"TakeHit","","","","","","","","","","",[]
6,"Death",1,"","","","","","","","","",[]
7,"Stomp","","","","","","","","","","",[]
8,"Impale","","","","","","","","","","",[]
9,"Cleave","","","","","","","","","","",[]
10,"Charge",1,1,"","","","","","","","",[]
11,"ChargeEnd","","","","","","","","","","",[]
12,"ChargeEndAlt","","","",11,"","","","","","",[]
13,"GroundSlam","",1,"","",104,"","","","","",[]
14,"LeapSlam","",1,"","",105,"","","","","",[]
15,"DoubleStrike","","","","",106,"","","","","",[]
16,"DoubleSlash","","","","","","","","","","",[]
17,"DoubleSlashOffhand","","","",18,"","","","","","",[]
18,"DoubleSlashMainhand","","","","",17,"","","","","",[]
19,"Sweep","","","","","","","","","","",[]
20,"SpellProjectile","","","","","","",16339,"","","",[]
21,"SpellProjectileUpward","","","","","","","","","","",[]
22,"SpellAreaOfEffect","","","","","","","","","","",[]
23,"SpellBuff","","","","","","","","","","",[]
24,"SpellProjectileFire","","","","","","","","","","",[]
25,"SpellProjectileCold","","","","","","","","","","",[]
26,"SpellProjectileLightning","","","","","","","","","","",[]
27,"SpellProjectileChaos","","","","","","","","","","",[]
28,"SpellProjectileUpwardFire","","","","","","","","","","",[]
29,"SpellProjectileUpwardCold","","","","","","","","","","",[]
30,"SpellProjectileUpwardLightning","","","","","","","","","","",[]
31,"SpellProjectileUpwardChaos","","","","","","","","","","",[]
32,"SpellAreaOfEffectFire","","","","","","","","","","",[]
33,"SpellAreaOfEffectCold","","","","","","","","","","",[]
34,"SpellAreaOfEffectLightning","","","","","","","","","","",[]
35,"SpellAreaOfEffectChaos","","","","","","","","","","",[]
36,"SpellBuffFire","","","","","","","","","","",[]
37,"SpellBuffCold","","","","","","","","","","",[]
38,"SpellBuffLightning","","","","","","","","","","",[]
39,"SpellBuffChaos","","","","","","","","","","",[]
40,"Throw","","","","",99,"","","","","",[]
41,"Flurry","",1,"","","","","","","","",[]
42,"LayTrap","","","","","","","","","","",[]
43,"Emerge","","","","","","","","","","",[]
44,"DualStrike","","","","","","","","","","",[]
45,"Snipe","","","","","","","","","","",[]
46,"Block","","","","","","","","","","",[]
47,"GlacialHammer","","","","",48,"","","","","",[]
48,"OffGlacialHammer","","","",47,"","","","","","",[]
49,"Emerge2","","","","","","","","","","",[]
50,"Emerge3","","","","","","","","","","",[]
51,"HeavyStrike","","","","",52,"","","","","",[]
52,"OffHeavyStrike","","","",51,"","","","","","",[]
53,"RainOfArrows","","","","","","","","","","",[]
54,"BlastRain","","","","","","","","","","",[]
55,"CloneShot","","","","","","","","","","",[]
56,"Backstab","","","","",57,"","","","","",[]
57,"OffBackstab","","","",56,"","","","","","",[]
58,"Frenzy","","","","",59,"","","","","",[]
59,"OffFrenzy","","","",58,"","","","","","",[]
60,"PowerShot","","","","",61,"","","","","",[]
61,"OffPowerShot","","","",60,"","","","","","",[]
62,"Taunt","","","","","","","","","","",[]
63,"ChangeToStance1","","","","","","","","","","",[]
64,"ChangeToStance2","","","","","","","","","","",[]
65,"ChangeToStance3","","","","","","","","","","",[]
66,"Revive","","","","","","","","","","",[]
67,"ShadowProjectiles","","","","","","","","","","",[]
68,"HookOut","",1,"","","","","","","","",[]
69,"HookIn","",1,"","","","","","","","",[]
70,"Dance",1,"","","","","","","","","",[]
71,"Channel",1,1,"","","","","","","","",[]
72,"AttackChannel",1,1,"","","","","","","","",[]
73,"Cyclone",1,1,"","","","","","","","",[]
74,"Hide","",1,"","","","","","","","",[]
75,"Hide2","",1,"","","","","","","","",[]
76,"Hide3","",1,"","","","","","","","",[]
77,"BarrageStart","",1,"","","","","","","","",[]
78,"BarrageFireMain","","","","",79,"","","","","",[]
79,"BarrageFireOff","","","",78,"","","","","","",[]
80,"LongOpen",1,"","","","","","","","","",[]
81,"Submerge","",1,"","","","","","","","",[]
82,"Puncture","","","","",83,"","","","","",[]
83,"OffPuncture","","","",82,"","","","","","",[]
84,"DodgeLeft","",1,"","","","","","","","",[]
85,"DodgeRight","",1,"","","","","","","","",[]
86,"DodgeForward","",1,"","","","","","","","",[]
87,"DodgeBack","",1,"","","","","","","","",[]
88,"SpellBuffFast","","","","","","","","","","",[]
89,"IncreasingPulses","","","","","","","","","","",[]
90,"Pant","","","","","","","","","","",[]
91,"CastFast","","","","","","","","","","",[]
92,"ChannelEnd","","","","","","","","","","",[]
93,"ChannelUnleash","","","","","","","","","","",[]
94,"ChannelAttackUnleash","","","","","","","","","","",[]
95,"SpectralThrow","","","","",96,"","","","","",[]
96,"SpectralThrowOff","","","",95,"","","","","","",[]
97,"Teleport","","","","","","","","","","",[]
98,"Knockdown","",1,"","","","","","","","",[]
99,"ThrowOff","","","",40,"","","","","","",[]
100,"IdleRelaxed",1,"","","","","","","","","",[]
101,"ChannelBow","",1,"","","","","","","","",[]
102,"ChannelBowEnd","","","","","","","","","","",[]
103,"RainOfSpores","","","","","","","","","","",[]
104,"GroundSlamOffhand","","","",13,"","","","","","",[]
105,"LeapSlamOffhand","","","",14,"","","","","","",[]
